Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,League,league_name,season,season_start
vs Bayern Munich,29,34.0,10814.0,14425.0,75.0,195452.0,82516.0,4948.0,5827.0,84.9,4271.0,5186.0,82.4,1311.0,2483.0,52.8,41.0,32.5,29.0,8.5,271.0,792.0,187.0,57.0,1028.0,Bundesliga 2020-2021,bundesliga,2020-2021,2020
vs Dortmund,26,34.0,11643.0,15088.0,77.2,207362.0,78200.0,5148.0,5974.0,86.2,4826.0,5746.0,84.0,1289.0,2389.0,54.0,33.0,26.7,28.0,6.3,275.0,787.0,212.0,60.0,1113.0,Bundesliga 2020-2021,bundesliga,2020-2021,2020
vs Eint Frankfurt,25,34.0,11768.0,15827.0,74.4,215957.0,89114.0,5032.0,5945.0,84.6,4812.0,5905.0,81.5,1519.0,2887.0,52.6,40.0,33.3,34.7,6.7,329.0,895.0,248.0,65.0,1251.0,Bundesliga 2020-2021,bundesliga,2020-2021,2020
vs Freiburg,24,34.0,14286.0,17984.0,79.4,259656.0,94014.0,6033.0,6925.0,87.1,6416.0,7422.0,86.4,1495.0,2698.0,55.4,35.0,36.0,40.4,-1.0,382.0,1038.0,244.0,81.0,1269.0,Bundesliga 2020-2021,bundesliga,2020-2021,2020
vs Gladbach,23,34.0,13907.0,17721.0,78.5,252111.0,90887.0,5819.0,6750.0,86.2,6268.0,7275.0,86.2,1467.0,2681.0,54.7,44.0,31.3,32.3,12.7,339.0,982.0,245.0,77.0,1269.0,Bundesliga 2020-2021,bundesliga,2020-2021,2020
vs Hertha BSC,32,34.0,12941.0,16634.0,77.8,232092.0,88702.0,5644.0,6558.0,86.1,5448.0,6436.0,84.6,1445.0,2597.0,55.6,35.0,32.9,38.2,2.1,321.0,1037.0,300.0,77.0,1403.0,Bundesliga 2020-2021,bundesliga,2020-2021,2020
vs Hoffenheim,30,34.0,13485.0,17328.0,77.8,246356.0,90902.0,5746.0,6657.0,86.3,5735.0,6780.0,84.6,1614.0,2804.0,57.6,38.0,36.6,37.5,1.4,290.0,938.0,264.0,63.0,1344.0,Bundesliga 2020-2021,bundesliga,2020-2021,2020
vs Köln,28,34.0,14912.0,18677.0,79.8,275186.0,99865.0,6059.0,6994.0,86.6,6785.0,7803.0,87.0,1683.0,2839.0,59.3,43.0,38.9,40.1,4.1,321.0,1084.0,257.0,72.0,1482.0,Bundesliga 2020-2021,bundesliga,2020-2021,2020
vs Leverkusen,30,34.0,10912.0,14689.0,74.3,203775.0,84282.0,4506.0,5371.0,83.9,4819.0,5837.0,82.6,1316.0,2595.0,50.7,27.0,28.7,28.2,-1.7,250.0,774.0,208.0,56.0,1033.0,Bundesliga 2020-2021,bundesliga,2020-2021,2020
vs Mainz 05,31,34.0,16142.0,20270.0,79.6,300422.0,107385.0,6424.0,7425.0,86.5,7298.0,8467.0,86.2,1967.0,3244.0,60.6,35.0,37.6,40.1,-2.6,344.0,1195.0,269.0,82.0,1510.0,Bundesliga 2020-2021,bundesliga,2020-2021,2020
vs RB Leipzig,25,34.0,10611.0,14505.0,73.2,196625.0,78812.0,4411.0,5377.0,82.0,4612.0,5588.0,82.5,1281.0,2592.0,49.4,27.0,21.7,23.0,5.3,192.0,634.0,168.0,50.0,873.0,Bundesliga 2020-2021,bundesliga,2020-2021,2020
vs Schalke 04,42,34.0,14720.0,18465.0,79.7,264074.0,93050.0,6345.0,7265.0,87.3,6244.0,7257.0,86.0,1679.0,2805.0,59.9,65.0,51.6,49.0,13.4,434.0,1124.0,332.0,92.0,1480.0,Bundesliga 2020-2021,bundesliga,2020-2021,2020
vs Stuttgart,29,34.0,12966.0,16812.0,77.1,238489.0,91302.0,5416.0,6293.0,86.1,5719.0,6771.0,84.5,1495.0,2844.0,52.6,38.0,35.9,38.1,2.1,337.0,965.0,327.0,84.0,1291.0,Bundesliga 2020-2021,bundesliga,2020-2021,2020
vs Union Berlin,27,34.0,15603.0,19632.0,79.5,282942.0,98213.0,6539.0,7572.0,86.4,6969.0,8061.0,86.5,1699.0,2969.0,57.2,31.0,31.1,31.6,-0.1,278.0,1049.0,216.0,52.0,1373.0,Bundesliga 2020-2021,bundesliga,2020-2021,2020
vs Werder Bremen,27,34.0,15964.0,19910.0,80.2,286794.0,99296.0,6845.0,7858.0,87.1,6859.0,7934.0,86.5,1786.0,2945.0,60.6,41.0,38.9,40.9,2.1,351.0,1296.0,301.0,96.0,1529.0,Bundesliga 2020-2021,bundesliga,2020-2021,2020
vs Wolfsburg,26,34.0,12302.0,16502.0,74.5,226381.0,91149.0,5196.0,6222.0,83.5,5231.0,6382.0,82.0,1500.0,2759.0,54.4,27.0,29.0,29.7,-2.0,259.0,931.0,238.0,76.0,1197.0,Bundesliga 2020-2021,bundesliga,2020-2021,2020
vs Arsenal,29,38.0,15355.0,19093.0,80.4,264758.0,88749.0,7194.0,8000.0,89.9,6173.0,7125.0,86.6,1478.0,2802.0,52.7,25.0,31.8,26.6,-6.8,304.0,1095.0,262.0,64.0,1175.0,Premier League 2020-2021,premier league,2020-2021,2020
vs Aston Villa,24,38.0,14251.0,18381.0,77.5,241489.0,88874.0,6833.0,7727.0,88.4,5491.0,6601.0,83.2,1347.0,2806.0,48.0,30.0,31.1,30.1,-1.1,375.0,1068.0,362.0,84.0,1549.0,Premier League 2020-2021,premier league,2020-2021,2020
vs Brighton,27,38.0,15268.0,19240.0,79.4,256988.0,89029.0,7274.0,8189.0,88.8,6040.0,7081.0,85.3,1385.0,2707.0,51.2,30.0,23.3,25.0,6.7,264.0,1097.0,264.0,66.0,1302.0,Premier League 2020-2021,premier league,2020-2021,2020
vs Burnley,25,38.0,16991.0,21670.0,78.4,285021.0,96838.0,8139.0,9265.0,87.8,6585.0,7792.0,84.5,1580.0,3182.0,49.7,47.0,42.5,37.7,4.5,454.0,1151.0,402.0,83.0,1665.0,Premier League 2020-2021,premier league,2020-2021,2020
vs Chelsea,27,38.0,12794.0,16703.0,76.6,221196.0,80474.0,5957.0,6857.0,86.9,5039.0,6036.0,83.5,1311.0,2614.0,50.2,26.0,20.2,19.6,5.8,241.0,860.0,188.0,32.0,1062.0,Premier League 2020-2021,premier league,2020-2021,2020
vs Crystal Palace,24,38.0,19019.0,23089.0,82.4,325965.0,104917.0,8788.0,9789.0,89.8,7498.0,8536.0,87.8,1917.0,3121.0,61.4,47.0,42.7,37.4,4.3,401.0,1457.0,389.0,113.0,1807.0,Premier League 2020-2021,premier league,2020-2021,2020
vs Everton,29,38.0,17667.0,21555.0,82.0,296851.0,101275.0,8437.0,9335.0,90.4,7182.0,8211.0,87.5,1488.0,2758.0,54.0,33.0,33.8,29.0,-0.8,367.0,1264.0,313.0,59.0,1664.0,Premier League 2020-2021,premier league,2020-2021,2020
vs Fulham,28,38.0,15762.0,20041.0,78.6,280391.0,92136.0,6859.0,7867.0,87.2,6751.0,7825.0,86.3,1645.0,3103.0,53.0,34.0,37.4,33.9,-3.4,302.0,1150.0,268.0,82.0,1327.0,Premier League 2020-2021,premier league,2020-2021,2020
vs Leeds United,23,38.0,11293.0,15291.0,73.9,188301.0,85040.0,5672.0,6628.0,85.6,3968.0,4993.0,79.5,1131.0,2498.0,45.3,36.0,39.3,30.7,-3.3,422.0,864.0,277.0,36.0,1201.0,Premier League 2020-2021,premier league,2020-2021,2020
vs Leicester City,27,38.0,13803.0,17998.0,76.7,243608.0,83750.0,6134.0,7146.0,85.8,5785.0,6853.0,84.4,1440.0,2807.0,51.3,29.0,33.0,30.7,-4.0,277.0,984.0,267.0,64.0,1254.0,Premier League 2020-2021,premier league,2020-2021,2020
vs Liverpool,28,38.0,11890.0,15989.0,74.4,211742.0,83742.0,5450.0,6345.0,85.9,4442.0,5433.0,81.8,1470.0,2956.0,49.7,29.0,27.1,19.3,1.9,240.0,789.0,198.0,55.0,972.0,Premier League 2020-2021,premier league,2020-2021,2020
vs Manchester City,24,38.0,12270.0,15654.0,78.4,210049.0,76181.0,5835.0,6612.0,88.2,4783.0,5559.0,86.0,1198.0,2471.0,48.5,17.0,15.0,14.9,2.0,200.0,707.0,180.0,43.0,850.0,Premier League 2020-2021,premier league,2020-2021,2020
vs Manchester Utd,29,38.0,14217.0,18081.0,78.6,248094.0,86185.0,6334.0,7157.0,88.5,6059.0,6998.0,86.6,1350.0,2750.0,49.1,28.0,28.7,23.7,-0.7,314.0,983.0,241.0,58.0,1229.0,Premier League 2020-2021,premier league,2020-2021,2020
vs Newcastle Utd,27,38.0,19529.0,23488.0,83.1,331914.0,107230.0,9151.0,10102.0,90.6,7970.0,9045.0,88.1,1779.0,3027.0,58.8,41.0,40.5,38.1,0.5,435.0,1562.0,377.0,82.0,1771.0,Premier League 2020-2021,premier league,2020-2021,2020
vs Sheffield Utd,27,38.0,18988.0,23109.0,82.2,332024.0,108633.0,8549.0,9548.0,89.5,7891.0,8978.0,87.9,1931.0,3231.0,59.8,45.0,45.0,38.5,0.0,415.0,1211.0,322.0,62.0,1606.0,Premier League 2020-2021,premier league,2020-2021,2020
vs Southampton,29,38.0,13758.0,18167.0,75.7,242975.0,90628.0,6165.0,7308.0,84.4,5661.0,6801.0,83.2,1460.0,2755.0,53.0,44.0,34.6,30.0,9.4,316.0,1025.0,297.0,63.0,1407.0,Premier League 2020-2021,premier league,2020-2021,2020
vs Tottenham,24,38.0,15362.0,19385.0,79.2,259562.0,90518.0,7308.0,8243.0,88.7,6007.0,7044.0,85.3,1461.0,2785.0,52.5,24.0,31.8,31.9,-7.8,376.0,1138.0,345.0,77.0,1514.0,Premier League 2020-2021,premier league,2020-2021,2020
vs West Brom,30,38.0,18892.0,23277.0,81.2,316702.0,107899.0,9018.0,10152.0,88.8,7663.0,8828.0,86.8,1599.0,2948.0,54.2,52.0,44.1,42.0,7.9,452.0,1470.0,395.0,84.0,1802.0,Premier League 2020-2021,premier league,2020-2021,2020
vs West Ham,24,38.0,18302.0,22463.0,81.5,304474.0,101522.0,8776.0,9741.0,90.1,7354.0,8481.0,86.7,1485.0,2815.0,52.8,34.0,36.6,32.8,-2.6,359.0,1427.0,353.0,83.0,1698.0,Premier League 2020-2021,premier league,2020-2021,2020
vs Wolves,27,38.0,16265.0,19966.0,81.5,278356.0,95675.0,7713.0,8610.0,89.6,6476.0,7483.0,86.5,1534.0,2713.0,56.5,34.0,31.1,30.4,2.9,326.0,1166.0,324.0,71.0,1574.0,Premier League 2020-2021,premier league,2020-2021,2020
vs Alavés,30,38.0,15323.0,19621.0,78.1,272108.0,93122.0,6945.0,7955.0,87.3,6055.0,7146.0,84.7,1778.0,3256.0,54.6,44.0,37.1,34.2,6.9,292.0,1086.0,299.0,78.0,1479.0,La Liga 2020-2021,la liga,2020-2021,2020
vs Athletic Club,27,38.0,14283.0,18323.0,78.0,257670.0,93431.0,6622.0,7507.0,88.2,5355.0,6400.0,83.7,1797.0,3229.0,55.7,29.0,27.1,30.0,1.9,282.0,1022.0,280.0,94.0,1380.0,La Liga 2020-2021,la liga,2020-2021,2020
vs Atlético Madrid,25,38.0,15160.0,19039.0,79.6,269657.0,90693.0,6763.0,7647.0,88.4,5993.0,6942.0,86.3,1807.0,3152.0,57.3,15.0,27.7,28.9,-12.7,271.0,1175.0,243.0,77.0,1394.0,La Liga 2020-2021,la liga,2020-2021,2020
vs Barcelona,25,38.0,11743.0,15011.0,78.2,208239.0,80182.0,5511.0,6256.0,88.1,4485.0,5238.0,85.6,1354.0,2515.0,53.8,20.0,25.4,25.7,-5.4,234.0,806.0,223.0,56.0,1038.0,La Liga 2020-2021,la liga,2020-2021,2020
vs Betis,25,38.0,13194.0,17222.0,76.6,238320.0,88022.0,5750.0,6649.0,86.5,5379.0,6415.0,83.9,1595.0,2971.0,53.7,31.0,30.1,29.1,0.9,259.0,928.0,245.0,68.0,1311.0,La Liga 2020-2021,la liga,2020-2021,2020
vs Cádiz,34,38.0,18990.0,23128.0,82.1,325229.0,109780.0,8929.0,9933.0,89.9,7698.0,8790.0,87.6,1736.0,2988.0,58.1,41.0,39.3,44.2,1.7,340.0,1523.0,367.0,100.0,1881.0,La Liga 2020-2021,la liga,2020-2021,2020
vs Celta Vigo,30,38.0,12833.0,16949.0,75.7,234551.0,90752.0,5767.0,6732.0,85.7,4864.0,5911.0,82.3,1703.0,3093.0,55.1,37.0,35.7,33.2,1.3,285.0,965.0,248.0,79.0,1249.0,La Liga 2020-2021,la liga,2020-2021,2020
vs Eibar,30,38.0,12572.0,17650.0,71.2,235599.0,96981.0,5489.0,6648.0,82.6,4928.0,6296.0,78.3,1719.0,3524.0,48.8,40.0,35.2,26.3,4.8,264.0,842.0,230.0,62.0,1056.0,La Liga 2020-2021,la liga,2020-2021,2020
vs Elche,30,38.0,15678.0,19233.0,81.5,280780.0,94332.0,6907.0,7794.0,88.6,6608.0,7543.0,87.6,1700.0,2817.0,60.3,43.0,44.0,42.8,-1.0,369.0,1247.0,346.0,84.0,1647.0,La Liga 2020-2021,la liga,2020-2021,2020
vs Getafe,31,38.0,14007.0,18783.0,74.6,254282.0,98526.0,6282.0,7408.0,84.8,5491.0,6728.0,81.6,1739.0,3372.0,51.6,26.0,25.8,23.2,0.2,223.0,935.0,204.0,58.0,1195.0,La Liga 2020-2021,la liga,2020-2021,2020
vs Granada,34,38.0,15039.0,19293.0,78.0,268348.0,97780.0,6817.0,7821.0,87.2,5922.0,7064.0,83.8,1751.0,3151.0,55.6,41.0,38.2,36.5,2.8,363.0,1126.0,324.0,96.0,1449.0,La Liga 2020-2021,la liga,2020-2021,2020
vs Huesca,27,38.0,15344.0,19259.0,79.7,275522.0,98942.0,6855.0,7746.0,88.5,6087.0,7054.0,86.3,1841.0,3242.0,56.8,37.0,35.6,32.8,1.4,324.0,1211.0,298.0,93.0,1447.0,La Liga 2020-2021,la liga,2020-2021,2020
vs Levante,29,38.0,13052.0,16963.0,76.9,238487.0,89708.0,5779.0,6636.0,87.1,5179.0,6169.0,84.0,1628.0,3057.0,53.3,42.0,40.0,33.1,2.0,356.0,966.0,304.0,80.0,1299.0,La Liga 2020-2021,la liga,2020-2021,2020
vs Osasuna,28,38.0,15379.0,20219.0,76.1,268013.0,95911.0,7198.0,8271.0,87.0,5912.0,7233.0,81.7,1696.0,3425.0,49.5,31.0,33.2,35.8,-2.2,322.0,1070.0,321.0,89.0,1525.0,La Liga 2020-2021,la liga,2020-2021,2020
vs Real Madrid,30,38.0,13187.0,16672.0,79.1,231875.0,87915.0,6262.0,7020.0,89.2,4926.0,5792.0,85.0,1484.0,2710.0,54.8,17.0,24.4,24.5,-7.4,269.0,956.0,250.0,85.0,1157.0,La Liga 2020-2021,la liga,2020-2021,2020
vs Real Sociedad,30,38.0,11867.0,15816.0,75.0,219009.0,82039.0,5271.0,6122.0,86.1,4510.0,5447.0,82.8,1613.0,3088.0,52.2,24.0,26.1,25.4,-2.1,251.0,805.0,213.0,65.0,1011.0,La Liga 2020-2021,la liga,2020-2021,2020
vs Sevilla,26,38.0,11221.0,14857.0,75.5,203283.0,81513.0,5104.0,5905.0,86.4,4222.0,5116.0,82.5,1428.0,2771.0,51.5,20.0,22.5,21.7,-2.5,244.0,839.0,209.0,62.0,1103.0,La Liga 2020-2021,la liga,2020-2021,2020
vs Valencia,30,38.0,15047.0,18941.0,79.4,264085.0,91502.0,7083.0,7920.0,89.4,5712.0,6772.0,84.3,1694.0,3074.0,55.1,29.0,33.8,37.1,-4.8,392.0,1295.0,342.0,91.0,1644.0,La Liga 2020-2021,la liga,2020-2021,2020
vs Valladolid,32,38.0,14587.0,18827.0,77.5,263843.0,100052.0,6525.0,7550.0,86.4,5667.0,6782.0,83.6,1826.0,3220.0,56.7,44.0,38.3,37.0,5.7,346.0,1153.0,326.0,94.0,1549.0,La Liga 2020-2021,la liga,2020-2021,2020
vs Villarreal,29,38.0,13685.0,17408.0,78.6,241512.0,86192.0,6311.0,7095.0,88.9,5245.0,6202.0,84.6,1561.0,2877.0,54.3,25.0,26.2,27.2,-1.2,290.0,956.0,273.0,106.0,1227.0,La Liga 2020-2021,la liga,2020-2021,2020
vs Atalanta,30,38.0,14274.0,18377.0,77.7,251869.0,98214.0,6531.0,7491.0,87.2,5707.0,6754.0,84.5,1605.0,3053.0,52.6,36.0,26.0,18.4,10.0,228.0,885.0,201.0,43.0,1038.0,Serie A 2020-2021,serie a,2020-2021,2020
vs Benevento,29,38.0,17253.0,20935.0,82.4,307344.0,101369.0,7571.0,8475.0,89.3,7286.0,8312.0,87.7,1892.0,2975.0,63.6,52.0,46.2,42.2,5.8,365.0,1447.0,365.0,87.0,1804.0,Serie A 2020-2021,serie a,2020-2021,2020
vs Bologna,37,38.0,13987.0,18055.0,77.5,246175.0,91097.0,6350.0,7320.0,86.7,5702.0,6735.0,84.7,1501.0,2840.0,52.9,40.0,42.8,32.0,-2.8,404.0,1151.0,380.0,85.0,1577.0,Serie A 2020-2021,serie a,2020-2021,2020
vs Cagliari,32,38.0,17136.0,20838.0,82.2,308562.0,107013.0,7399.0,8254.0,89.6,7248.0,8225.0,88.1,1968.0,3173.0,62.0,45.0,46.9,39.9,-1.9,409.0,1299.0,394.0,94.0,1631.0,Serie A 2020-2021,serie a,2020-2021,2020
vs Crotone,31,38.0,16340.0,20121.0,81.2,289160.0,100650.0,7450.0,8306.0,89.7,6506.0,7545.0,86.2,1856.0,3072.0,60.4,68.0,52.4,39.8,15.6,454.0,1315.0,342.0,83.0,1680.0,Serie A 2020-2021,serie a,2020-2021,2020
vs Fiorentina,30,38.0,16140.0,19765.0,81.7,283269.0,95682.0,7197.0,8103.0,88.8,6843.0,7848.0,87.2,1624.0,2761.0,58.8,39.0,43.2,34.8,-4.2,339.0,1166.0,286.0,71.0,1491.0,Serie A 2020-2021,serie a,2020-2021,2020
vs Genoa,34,38.0,18020.0,22064.0,81.7,324594.0,110174.0,7817.0,8874.0,88.1,7685.0,8822.0,87.1,2065.0,3228.0,64.0,40.0,43.7,39.3,-3.7,406.0,1385.0,349.0,83.0,1796.0,Serie A 2020-2021,serie a,2020-2021,2020
vs Hellas Verona,32,38.0,13153.0,17584.0,74.8,236703.0,96247.0,5875.0,6988.0,84.1,5335.0,6567.0,81.2,1582.0,3092.0,51.2,31.0,32.6,31.7,-1.6,381.0,1065.0,284.0,80.0,1263.0,Serie A 2020-2021,serie a,2020-2021,2020
vs Inter,25,38.0,16623.0,19839.0,83.8,291963.0,92665.0,7618.0,8362.0,91.1,6878.0,7716.0,89.1,1735.0,2771.0,62.6,19.0,25.7,25.6,-6.7,298.0,1172.0,243.0,78.0,1279.0,Serie A 2020-2021,serie a,2020-2021,2020
vs Juventus,30,38.0,14407.0,17590.0,81.9,248758.0,88166.0,6912.0,7665.0,90.2,5569.0,6456.0,86.3,1512.0,2503.0,60.4,21.0,25.0,24.2,-4.0,315.0,1142.0,270.0,78.0,1355.0,Serie A 2020-2021,serie a,2020-2021,2020
vs Lazio,30,38.0,14738.0,18534.0,79.5,265774.0,93729.0,6493.0,7369.0,88.1,6147.0,7163.0,85.8,1723.0,2959.0,58.2,33.0,28.6,25.5,4.4,303.0,1117.0,244.0,67.0,1325.0,Serie A 2020-2021,serie a,2020-2021,2020
vs Milan,29,38.0,14481.0,18132.0,79.9,257047.0,98240.0,6545.0,7439.0,88.0,5803.0,6777.0,85.6,1631.0,2752.0,59.3,26.0,33.3,28.4,-7.3,346.0,1196.0,308.0,76.0,1533.0,Serie A 2020-2021,serie a,2020-2021,2020
vs Napoli,25,38.0,14839.0,18101.0,82.0,272618.0,94152.0,6066.0,6827.0,88.9,6831.0,7634.0,89.5,1616.0,2700.0,59.9,26.0,27.7,24.9,-1.7,285.0,964.0,242.0,77.0,1324.0,Serie A 2020-2021,serie a,2020-2021,2020
vs Parma,42,38.0,16664.0,20320.0,82.0,292089.0,100172.0,7450.0,8351.0,89.2,7032.0,8021.0,87.7,1694.0,2789.0,60.7,62.0,46.6,38.5,15.4,399.0,1398.0,347.0,99.0,1757.0,Serie A 2020-2021,serie a,2020-2021,2020
vs Roma,31,38.0,15055.0,18427.0,81.7,263823.0,92491.0,6811.0,7582.0,89.8,6285.0,7132.0,88.1,1513.0,2589.0,58.4,36.0,30.5,26.9,5.5,281.0,907.0,256.0,57.0,1126.0,Serie A 2020-2021,serie a,2020-2021,2020
vs Sampdoria,27,38.0,17299.0,21424.0,80.7,299525.0,105787.0,8058.0,9011.0,89.4,7011.0,8126.0,86.3,1730.0,3008.0,57.5,35.0,35.8,32.0,-0.8,370.0,1301.0,340.0,100.0,1638.0,Serie A 2020-2021,serie a,2020-2021,2020
vs Sassuolo,28,38.0,12070.0,15458.0,78.1,219906.0,85514.0,5424.0,6178.0,87.8,4852.0,5770.0,84.1,1482.0,2634.0,56.3,46.0,41.4,34.8,4.6,406.0,943.0,315.0,85.0,1250.0,Serie A 2020-2021,serie a,2020-2021,2020
vs Spezia,35,38.0,14228.0,18160.0,78.3,260183.0,94302.0,6042.0,6935.0,87.1,6268.0,7241.0,86.6,1606.0,2969.0,54.1,50.0,44.5,35.6,5.5,314.0,961.0,271.0,67.0,1327.0,Serie A 2020-2021,serie a,2020-2021,2020
vs Torino,29,38.0,15621.0,19345.0,80.7,283942.0,99606.0,6803.0,7719.0,88.1,6615.0,7615.0,86.9,1848.0,3011.0,61.4,48.0,41.5,32.7,6.5,369.0,1190.0,337.0,100.0,1562.0,Serie A 2020-2021,serie a,2020-2021,2020
vs Udinese,33,38.0,16888.0,20420.0,82.7,304427.0,100722.0,7358.0,8189.0,89.9,7144.0,8163.0,87.5,1952.0,2977.0,65.6,35.0,32.9,30.3,2.1,337.0,1380.0,310.0,77.0,1684.0,Serie A 2020-2021,serie a,2020-2021,2020
vs Angers,31,38.0,17811.0,21744.0,81.9,305474.0,108256.0,8206.0,9182.0,89.4,7376.0,8447.0,87.3,1660.0,2897.0,57.3,41.0,36.8,32.1,4.2,293.0,1296.0,240.0,59.0,1639.0,Ligue 1 2020-2021,ligue 1,2020-2021,2020
vs Bordeaux,28,38.0,15866.0,19657.0,80.7,282592.0,98267.0,7089.0,7927.0,89.4,6659.0,7697.0,86.5,1683.0,2997.0,56.2,37.0,37.6,36.1,-0.6,348.0,1266.0,262.0,69.0,1568.0,Ligue 1 2020-2021,ligue 1,2020-2021,2020
vs Brest,26,38.0,16431.0,20261.0,81.1,293073.0,108704.0,7317.0,8223.0,89.0,6813.0,7830.0,87.0,1779.0,3080.0,57.8,43.0,37.2,38.3,5.8,356.0,1443.0,296.0,74.0,1720.0,Ligue 1 2020-2021,ligue 1,2020-2021,2020
vs Dijon,33,38.0,16968.0,20911.0,81.1,305984.0,108280.0,7446.0,8364.0,89.0,7227.0,8348.0,86.6,1892.0,3205.0,59.0,44.0,48.0,42.3,-4.0,391.0,1225.0,327.0,103.0,1693.0,Ligue 1 2020-2021,ligue 1,2020-2021,2020
vs Lens,27,38.0,14243.0,18286.0,77.9,257715.0,95950.0,6234.0,7200.0,86.6,5933.0,7010.0,84.6,1656.0,3027.0,54.7,25.0,27.7,26.8,-2.7,278.0,1030.0,215.0,56.0,1214.0,Ligue 1 2020-2021,ligue 1,2020-2021,2020
vs Lille,21,38.0,14859.0,18810.0,79.0,271281.0,97669.0,6344.0,7285.0,87.1,6419.0,7470.0,85.9,1722.0,3095.0,55.6,17.0,22.5,20.6,-5.5,245.0,886.0,181.0,60.0,1258.0,Ligue 1 2020-2021,ligue 1,2020-2021,2020
vs Lorient,27,38.0,17386.0,21369.0,81.4,314083.0,110006.0,7602.0,8565.0,88.8,7446.0,8536.0,87.2,1918.0,3245.0,59.1,44.0,33.8,32.4,10.2,342.0,1316.0,295.0,68.0,1577.0,Ligue 1 2020-2021,ligue 1,2020-2021,2020
vs Lyon,29,38.0,13965.0,17698.0,78.9,244883.0,91624.0,6464.0,7270.0,88.9,5565.0,6575.0,84.6,1506.0,2817.0,53.5,24.0,25.1,23.6,-1.1,321.0,960.0,210.0,72.0,1192.0,Ligue 1 2020-2021,ligue 1,2020-2021,2020
vs Marseille,31,38.0,13749.0,17666.0,77.8,244596.0,90061.0,6149.0,7040.0,87.3,5731.0,6788.0,84.4,1469.0,2797.0,52.5,36.0,35.1,29.2,0.9,332.0,1059.0,252.0,90.0,1329.0,Ligue 1 2020-2021,ligue 1,2020-2021,2020
vs Metz,27,38.0,16391.0,20494.0,80.0,289574.0,110994.0,7370.0,8361.0,88.1,6887.0,8070.0,85.3,1699.0,2998.0,56.7,25.0,30.7,32.5,-5.7,337.0,1212.0,257.0,60.0,1572.0,Ligue 1 2020-2021,ligue 1,2020-2021,2020
vs Monaco,30,38.0,13479.0,17419.0,77.4,243301.0,90813.0,6029.0,7009.0,86.0,5464.0,6439.0,84.9,1598.0,2958.0,54.0,25.0,23.0,21.7,2.0,233.0,906.0,168.0,66.0,1181.0,Ligue 1 2020-2021,ligue 1,2020-2021,2020
vs Montpellier,25,38.0,16330.0,20043.0,81.5,292920.0,106669.0,7207.0,8140.0,88.5,6954.0,7951.0,87.5,1771.0,2997.0,59.1,39.0,45.2,43.5,-6.2,421.0,1342.0,320.0,92.0,1721.0,Ligue 1 2020-2021,ligue 1,2020-2021,2020
vs Nantes,25,38.0,17198.0,21456.0,80.2,311414.0,111246.0,7439.0,8432.0,88.2,7319.0,8488.0,86.2,1963.0,3395.0,57.8,29.0,34.0,32.6,-5.0,323.0,1263.0,285.0,81.0,1601.0,Ligue 1 2020-2021,ligue 1,2020-2021,2020
vs Nice,31,38.0,14737.0,18253.0,80.7,268611.0,96550.0,6472.0,7254.0,89.2,6161.0,7095.0,86.8,1744.0,2954.0,59.0,28.0,37.2,33.5,-9.2,367.0,1133.0,269.0,77.0,1380.0,Ligue 1 2020-2021,ligue 1,2020-2021,2020
vs Nîmes,33,38.0,17110.0,21162.0,80.9,306006.0,108080.0,7596.0,8598.0,88.3,7254.0,8311.0,87.3,1800.0,3088.0,58.3,52.0,46.6,44.5,5.4,387.0,1421.0,325.0,117.0,1771.0,Ligue 1 2020-2021,ligue 1,2020-2021,2020
vs Paris S-G,33,38.0,12123.0,15345.0,79.0,215387.0,82641.0,5739.0,6446.0,89.0,4505.0,5306.0,84.9,1485.0,2647.0,56.1,17.0,30.0,26.3,-13.0,289.0,754.0,197.0,48.0,1067.0,Ligue 1 2020-2021,ligue 1,2020-2021,2020
vs Reims,29,38.0,17443.0,21250.0,82.1,305302.0,105372.0,7821.0,8748.0,89.4,7391.0,8463.0,87.3,1685.0,2897.0,58.2,34.0,40.7,40.1,-6.7,375.0,1297.0,291.0,81.0,1628.0,Ligue 1 2020-2021,ligue 1,2020-2021,2020
vs Rennes,32,38.0,12782.0,16512.0,77.4,228308.0,84558.0,5750.0,6524.0,88.1,5181.0,6148.0,84.3,1419.0,2789.0,50.9,30.0,26.5,24.9,3.5,261.0,859.0,200.0,63.0,1188.0,Ligue 1 2020-2021,ligue 1,2020-2021,2020
vs Saint-Étienne,40,38.0,14835.0,19010.0,78.0,268699.0,98126.0,6484.0,7432.0,87.2,6347.0,7525.0,84.3,1639.0,3038.0,53.9,34.0,32.5,31.0,1.5,292.0,1162.0,231.0,60.0,1503.0,Ligue 1 2020-2021,ligue 1,2020-2021,2020
vs Strasbourg,26,38.0,16696.0,20605.0,81.0,291850.0,106931.0,7550.0,8562.0,88.2,6971.0,8025.0,86.9,1664.0,2874.0,57.9,38.0,35.1,33.8,2.9,295.0,1248.0,252.0,70.0,1578.0,Ligue 1 2020-2021,ligue 1,2020-2021,2020
