Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att.1,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,League,league_name,season,season_start
Heerenveen,2,34.0,50,7.0,0.0,9.0,1.0,43.2,0.24,-5.8,-0.17,216.0,603.0,35.8,999.0,159.0,43.6,35.1,331.0,50.5,41.7,505.0,12.0,2.4,31.0,0.91,13.8,Eredivisie 2021-2022,eredivisie,2021-2022,2021
Heracles Almelo,2,34.0,49,2.0,1.0,7.0,2.0,48.3,0.26,1.3,0.04,179.0,506.0,35.4,968.0,173.0,35.4,38.8,252.0,64.7,49.7,412.0,22.0,5.3,35.0,1.03,11.4,Eredivisie 2021-2022,eredivisie,2021-2022,2021
NEC Nijmegen,1,34.0,52,3.0,0.0,9.0,1.0,49.7,0.29,-1.3,-0.04,121.0,445.0,27.2,749.0,201.0,36.8,33.6,339.0,49.9,40.3,606.0,29.0,4.8,18.0,0.53,11.4,Eredivisie 2021-2022,eredivisie,2021-2022,2021
PSV Eindhoven,2,34.0,42,2.0,0.0,3.0,2.0,33.8,0.28,-6.2,-0.18,111.0,350.0,31.7,711.0,129.0,34.5,33.0,200.0,52.5,41.7,315.0,16.0,5.1,32.0,0.94,14.7,Eredivisie 2021-2022,eredivisie,2021-2022,2021
RKC Waalwijk,3,34.0,51,6.0,0.0,9.0,0.0,55.4,0.28,4.4,0.13,344.0,787.0,43.7,1135.0,226.0,50.7,52.9,310.0,68.4,52.0,584.0,40.0,6.8,59.0,1.74,41.0,Eredivisie 2021-2022,eredivisie,2021-2022,2021
Sparta R'dam,3,34.0,48,5.0,2.0,7.0,2.0,49.3,0.27,3.3,0.1,275.0,724.0,38.0,785.0,133.0,62.0,39.6,303.0,78.2,56.8,600.0,23.0,3.8,22.0,0.65,17.2,Eredivisie 2021-2022,eredivisie,2021-2022,2021
Twente,2,34.0,37,0.0,1.0,4.0,2.0,39.3,0.29,4.3,0.13,193.0,569.0,33.9,912.0,164.0,47.7,34.3,212.0,63.2,45.8,466.0,31.0,6.7,77.0,2.26,17.2,Eredivisie 2021-2022,eredivisie,2021-2022,2021
Utrecht,3,34.0,46,3.0,1.0,7.0,3.0,40.7,0.27,-2.3,-0.07,191.0,449.0,42.5,788.0,157.0,42.9,30.5,243.0,45.7,37.9,467.0,15.0,3.2,45.0,1.32,17.1,Eredivisie 2021-2022,eredivisie,2021-2022,2021
Vitesse,2,34.0,51,5.0,0.0,5.0,2.0,44.8,0.31,-4.2,-0.12,191.0,612.0,31.2,1059.0,200.0,42.9,36.8,274.0,57.7,45.7,419.0,20.0,4.8,62.0,1.82,16.5,Eredivisie 2021-2022,eredivisie,2021-2022,2021
Willem II,4,34.0,57,2.0,0.0,12.0,2.0,48.5,0.28,-6.5,-0.19,303.0,770.0,39.4,1091.0,146.0,52.7,47.5,282.0,69.1,50.3,479.0,31.0,6.5,73.0,2.15,6.6,Eredivisie 2021-2022,eredivisie,2021-2022,2021
Zwolle,1,34.0,52,3.0,3.0,7.0,3.0,54.2,0.3,5.2,0.15,284.0,737.0,38.5,1246.0,162.0,45.7,37.0,268.0,62.7,47.0,424.0,25.0,5.9,59.0,1.74,17.5,Eredivisie 2021-2022,eredivisie,2021-2022,2021
Arouca,4,34.0,54,4.0,0.0,2.0,2.0,53.5,0.33,1.5,0.04,203.0,544.0,37.3,911.0,158.0,42.7,38.5,249.0,62.2,46.3,463.0,33.0,7.1,65.0,1.91,14.3,Primeira Liga 2021-2022,primeira liga,2021-2022,2021
B-SAD,2,34.0,55,5.0,0.0,6.0,1.0,58.1,0.31,4.1,0.12,177.0,548.0,32.3,818.0,121.0,42.7,42.8,303.0,65.7,48.8,529.0,25.0,4.7,30.0,0.88,14.9,Primeira Liga 2021-2022,primeira liga,2021-2022,2021
Benfica,2,34.0,30,1.0,1.0,6.0,1.0,34.8,0.31,5.8,0.17,71.0,204.0,34.8,819.0,177.0,19.3,29.3,221.0,20.8,29.4,378.0,11.0,2.9,31.0,0.91,15.0,Primeira Liga 2021-2022,primeira liga,2021-2022,2021
Boavista,2,34.0,52,6.0,0.0,6.0,1.0,46.1,0.29,-4.9,-0.14,216.0,576.0,37.5,841.0,176.0,46.3,39.0,265.0,70.6,50.8,490.0,54.0,11.0,61.0,1.79,15.0,Primeira Liga 2021-2022,primeira liga,2021-2022,2021
Braga,3,34.0,31,2.0,2.0,2.0,1.0,32.1,0.26,2.1,0.06,154.0,430.0,35.8,1099.0,175.0,30.2,32.1,248.0,39.5,34.9,435.0,21.0,4.8,48.0,1.41,15.3,Primeira Liga 2021-2022,primeira liga,2021-2022,2021
Estoril,2,34.0,43,3.0,0.0,2.0,2.0,39.3,0.25,-1.7,-0.05,156.0,404.0,38.6,1149.0,150.0,21.6,31.3,331.0,47.1,40.6,555.0,20.0,3.6,21.0,0.62,9.8,Primeira Liga 2021-2022,primeira liga,2021-2022,2021
Famalicão,3,34.0,51,6.0,0.0,7.0,2.0,43.7,0.26,-5.3,-0.16,195.0,433.0,45.0,795.0,180.0,37.1,32.1,239.0,57.7,45.7,481.0,29.0,6.0,75.0,2.21,4.0,Primeira Liga 2021-2022,primeira liga,2021-2022,2021
Gil Vicente FC,4,34.0,42,8.0,2.0,4.0,2.0,44.4,0.26,4.4,0.13,149.0,406.0,36.7,800.0,156.0,32.0,30.6,293.0,51.2,42.5,501.0,27.0,5.4,44.0,1.29,10.7,Primeira Liga 2021-2022,primeira liga,2021-2022,2021
Marítimo,2,34.0,44,7.0,2.0,3.0,0.0,49.0,0.27,5.0,0.15,184.0,481.0,38.3,936.0,179.0,35.4,29.0,306.0,49.0,39.5,519.0,25.0,4.8,36.0,1.06,13.1,Primeira Liga 2021-2022,primeira liga,2021-2022,2021
Moreirense,2,34.0,51,5.0,1.0,8.0,0.0,49.8,0.32,-1.2,-0.04,207.0,586.0,35.3,756.0,116.0,50.4,41.1,255.0,80.4,55.9,470.0,25.0,5.3,46.0,1.35,15.5,Primeira Liga 2021-2022,primeira liga,2021-2022,2021
Paços de Ferreira,3,34.0,44,4.0,3.0,6.0,0.0,52.7,0.28,8.7,0.26,215.0,537.0,40.0,771.0,118.0,42.7,,305.0,68.2,46.1,464.0,27.0,5.8,47.0,1.38,18.0,Primeira Liga 2021-2022,primeira liga,2021-2022,2021
Portimonense,3,34.0,45,2.0,0.0,5.0,2.0,51.4,0.31,8.4,0.25,304.0,752.0,40.4,1059.0,113.0,45.5,34.4,350.0,77.1,53.4,507.0,24.0,4.7,24.0,0.71,7.9,Primeira Liga 2021-2022,primeira liga,2021-2022,2021
Porto,4,34.0,22,2.0,0.0,3.0,0.0,23.9,0.3,1.9,0.05,164.0,431.0,38.1,1100.0,138.0,33.8,33.1,172.0,34.3,35.6,296.0,22.0,7.4,43.0,1.26,14.0,Primeira Liga 2021-2022,primeira liga,2021-2022,2021
Santa Clara,3,34.0,54,8.0,0.0,5.0,0.0,45.8,0.27,-8.2,-0.24,243.0,652.0,37.3,945.0,105.0,54.0,35.0,265.0,53.6,43.3,496.0,25.0,5.0,21.0,0.62,14.5,Primeira Liga 2021-2022,primeira liga,2021-2022,2021
Sporting CP,3,34.0,23,1.0,1.0,1.0,2.0,23.7,0.28,2.7,0.08,97.0,250.0,38.8,937.0,129.0,21.9,22.0,192.0,23.4,28.0,314.0,15.0,4.8,36.0,1.06,17.0,Primeira Liga 2021-2022,primeira liga,2021-2022,2021
Tondela,2,34.0,67,8.0,1.0,4.0,1.0,64.7,0.32,-1.3,-0.04,233.0,597.0,39.0,906.0,173.0,46.1,33.5,332.0,53.9,41.5,526.0,24.0,4.6,27.0,0.79,15.1,Primeira Liga 2021-2022,primeira liga,2021-2022,2021
Vitória,2,34.0,41,5.0,1.0,4.0,0.0,47.3,0.29,6.3,0.18,205.0,521.0,39.3,800.0,119.0,40.9,32.9,276.0,70.3,49.7,399.0,12.0,3.0,34.0,1.0,15.4,Primeira Liga 2021-2022,primeira liga,2021-2022,2021
Vizela,3,34.0,58,9.0,1.0,4.0,2.0,51.6,0.28,-4.4,-0.13,122.0,364.0,33.5,572.0,176.0,35.3,39.0,304.0,53.3,42.4,555.0,24.0,4.3,20.0,0.61,6.5,Primeira Liga 2021-2022,primeira liga,2021-2022,2021
Barnsley,2,46.0,73,3.0,0.0,10.0,1.0,77.0,0.33,5.0,0.11,248.0,895.0,27.7,1286.0,234.0,49.8,39.7,390.0,65.1,50.0,684.0,35.0,5.1,142.0,3.09,19.1,Championship 2021-2022,championship,2021-2022,2021
Birmingham City,4,46.0,75,8.0,1.0,13.0,2.0,64.9,0.28,-8.1,-0.18,393.0,1164.0,33.8,1177.0,137.0,71.3,39.1,340.0,95.6,65.8,589.0,48.0,8.1,124.0,2.7,19.5,Championship 2021-2022,championship,2021-2022,2021
Blackburn,2,46.0,50,1.0,0.0,5.0,2.0,53.4,0.3,5.4,0.12,246.0,888.0,27.7,1170.0,226.0,50.0,53.9,338.0,89.6,59.4,604.0,35.0,5.8,98.0,2.13,7.0,Championship 2021-2022,championship,2021-2022,2021
Blackpool,3,46.0,58,0.0,1.0,7.0,0.0,64.8,0.34,6.8,0.15,417.0,1094.0,38.1,1623.0,198.0,51.8,54.7,340.0,74.7,52.2,604.0,21.0,3.5,55.0,1.2,0.0,Championship 2021-2022,championship,2021-2022,2021
Bournemouth,2,46.0,39,3.0,0.0,7.0,3.0,39.3,0.24,3.3,0.07,120.0,454.0,26.4,1026.0,214.0,31.6,24.6,313.0,41.5,36.0,623.0,18.0,2.9,29.0,0.63,4.0,Championship 2021-2022,championship,2021-2022,2021
Bristol City,2,46.0,77,7.0,0.0,10.0,1.0,70.6,0.3,-5.4,-0.12,394.0,1052.0,37.5,1235.0,207.0,61.4,37.7,393.0,74.8,54.9,712.0,36.0,5.1,64.0,1.39,12.7,Championship 2021-2022,championship,2021-2022,2021
Cardiff City,2,46.0,68,2.0,0.0,7.0,2.0,55.4,0.32,-10.6,-0.23,359.0,975.0,36.8,1112.0,185.0,63.1,44.7,357.0,76.5,54.8,602.0,28.0,4.7,43.0,0.93,13.8,Championship 2021-2022,championship,2021-2022,2021
Coventry City,2,46.0,59,6.0,0.0,7.0,2.0,57.7,0.32,0.7,0.01,166.0,513.0,32.4,1234.0,324.0,32.7,27.8,341.0,32.3,34.8,619.0,45.0,7.3,43.0,0.93,16.7,Championship 2021-2022,championship,2021-2022,2021
Derby County,2,46.0,53,2.0,1.0,4.0,2.0,49.4,0.26,-1.6,-0.04,309.0,1108.0,27.9,2113.0,158.0,44.2,34.4,371.0,46.9,39.3,678.0,34.0,5.0,56.0,1.22,18.1,Championship 2021-2022,championship,2021-2022,2021
Fulham,2,46.0,43,5.0,0.0,4.0,2.0,40.4,0.27,-0.6,-0.01,140.0,396.0,35.4,1016.0,180.0,27.0,27.4,314.0,38.9,36.6,486.0,18.0,3.7,33.0,0.72,16.3,Championship 2021-2022,championship,2021-2022,2021
Huddersfield,3,46.0,47,3.0,0.0,7.0,2.0,51.6,0.25,6.6,0.14,210.0,678.0,31.0,1236.0,306.0,40.0,34.4,404.0,45.5,36.9,747.0,48.0,6.4,33.0,0.72,12.2,Championship 2021-2022,championship,2021-2022,2021
Hull City,3,46.0,54,4.0,2.0,12.0,0.0,65.1,0.28,11.1,0.24,238.0,761.0,31.3,1071.0,221.0,47.6,38.2,379.0,66.2,50.3,678.0,41.0,6.0,61.0,1.33,16.4,Championship 2021-2022,championship,2021-2022,2021
Luton Town,6,46.0,55,4.0,0.0,6.0,1.0,47.6,0.27,-6.4,-0.14,320.0,933.0,34.3,1114.0,197.0,57.5,44.4,395.0,73.9,53.7,732.0,32.0,4.4,41.0,0.89,14.1,Championship 2021-2022,championship,2021-2022,2021
Middlesbrough,2,46.0,50,1.0,0.0,5.0,6.0,39.5,0.28,-4.5,-0.1,260.0,892.0,29.1,1221.0,184.0,53.8,41.9,334.0,70.4,52.5,517.0,41.0,7.9,86.0,1.87,15.4,Championship 2021-2022,championship,2021-2022,2021
Millwall,1,46.0,45,2.0,0.0,6.0,5.0,46.2,0.27,6.2,0.13,258.0,789.0,32.7,862.0,181.0,56.1,41.9,374.0,81.6,55.9,638.0,20.0,3.1,29.0,0.63,13.6,Championship 2021-2022,championship,2021-2022,2021
Nott'ham Forest,2,46.0,40,5.0,0.0,2.0,2.0,45.4,0.24,7.4,0.16,228.0,717.0,31.8,1662.0,296.0,34.3,30.3,344.0,42.7,38.2,591.0,41.0,6.9,45.0,0.98,12.2,Championship 2021-2022,championship,2021-2022,2021
P'borough Utd,3,46.0,87,3.0,1.0,11.0,4.0,72.5,0.33,-10.5,-0.23,318.0,956.0,33.3,1240.0,219.0,50.4,36.9,497.0,66.6,49.1,733.0,23.0,3.1,19.0,0.41,11.1,Championship 2021-2022,championship,2021-2022,2021
Preston,2,46.0,56,3.0,0.0,5.0,2.0,56.5,0.31,2.5,0.05,293.0,910.0,32.2,1207.0,242.0,53.1,,385.0,69.9,51.0,633.0,49.0,7.7,41.0,0.89,,Championship 2021-2022,championship,2021-2022,2021
QPR,4,46.0,59,4.0,2.0,9.0,3.0,58.6,0.29,2.6,0.06,211.0,700.0,30.1,1367.0,271.0,38.0,39.2,375.0,48.3,40.9,637.0,33.0,5.2,34.0,0.74,9.0,Championship 2021-2022,championship,2021-2022,2021
Reading,4,46.0,87,4.0,0.0,13.0,3.0,74.9,0.31,-9.1,-0.2,243.0,811.0,30.0,1262.0,196.0,43.1,44.3,385.0,69.4,49.0,751.0,44.0,5.9,48.0,1.04,19.4,Championship 2021-2022,championship,2021-2022,2021
Sheffield Utd,4,46.0,45,2.0,0.0,4.0,2.0,43.7,0.28,0.7,0.02,182.0,567.0,32.1,1078.0,231.0,39.0,32.0,316.0,46.5,39.7,524.0,37.0,7.1,36.0,0.78,8.2,Championship 2021-2022,championship,2021-2022,2021
Stoke City,3,46.0,52,1.0,2.0,6.0,2.0,45.9,0.28,-4.1,-0.09,185.0,671.0,27.6,1172.0,220.0,42.0,34.2,353.0,50.7,41.5,636.0,41.0,6.4,54.0,1.17,14.9,Championship 2021-2022,championship,2021-2022,2021
Swansea City,3,46.0,68,6.0,1.0,6.0,2.0,61.5,0.29,-4.5,-0.1,206.0,641.0,32.1,1842.0,210.0,29.2,28.6,342.0,30.4,30.5,624.0,39.0,6.3,82.0,1.78,16.6,Championship 2021-2022,championship,2021-2022,2021
West Brom,2,46.0,45,3.0,0.0,4.0,1.0,41.8,0.32,-2.2,-0.05,381.0,975.0,39.1,1392.0,187.0,55.6,39.1,302.0,66.6,50.5,475.0,12.0,2.5,154.0,3.35,21.0,Championship 2021-2022,championship,2021-2022,2021
Arminia,1,34.0,52,5.0,0.0,5.0,1.0,54.1,0.29,3.1,0.09,436.0,938.0,46.5,1698.0,121.0,45.9,38.6,250.0,63.2,49.1,525.0,17.0,3.2,44.0,1.29,16.8,Bundesliga 2020-2021,bundesliga,2020-2021,2020
Augsburg,1,34.0,54,6.0,0.0,2.0,3.0,53.2,0.26,2.2,0.07,193.0,565.0,34.2,1087.0,214.0,36.6,34.1,297.0,56.2,44.7,619.0,33.0,5.3,36.0,1.06,16.0,Bundesliga 2020-2021,bundesliga,2020-2021,2020
Bayern Munich,2,34.0,44,1.0,0.0,6.0,0.0,45.4,0.35,1.4,0.04,124.0,259.0,47.9,1159.0,190.0,20.3,28.8,194.0,12.4,26.9,361.0,6.0,1.7,105.0,3.09,23.6,Bundesliga 2020-2021,bundesliga,2020-2021,2020
Dortmund,2,34.0,46,6.0,0.0,7.0,1.0,43.4,0.28,-1.6,-0.05,137.0,321.0,42.7,945.0,179.0,24.3,29.5,233.0,39.1,37.3,363.0,12.0,3.3,21.0,0.62,16.3,Bundesliga 2020-2021,bundesliga,2020-2021,2020
Eint Frankfurt,2,34.0,53,4.0,1.0,5.0,2.0,45.4,0.26,-5.6,-0.17,226.0,591.0,38.2,1118.0,172.0,41.3,34.4,278.0,46.4,40.9,473.0,15.0,3.2,53.0,1.56,15.7,Bundesliga 2020-2021,bundesliga,2020-2021,2020
Freiburg,2,34.0,52,4.0,2.0,3.0,2.0,52.6,0.28,2.6,0.08,194.0,615.0,31.5,1156.0,161.0,34.2,37.1,298.0,73.8,55.9,464.0,7.0,1.5,38.0,1.12,11.9,Bundesliga 2020-2021,bundesliga,2020-2021,2020
Gladbach,2,34.0,56,6.0,0.0,6.0,0.0,45.0,0.26,-11.0,-0.32,145.0,373.0,38.9,1124.0,133.0,25.3,28.7,258.0,34.5,33.3,468.0,8.0,1.7,35.0,1.03,16.5,Bundesliga 2020-2021,bundesliga,2020-2021,2020
Hertha BSC,2,34.0,52,7.0,1.0,4.0,1.0,46.9,0.28,-4.1,-0.12,181.0,429.0,42.2,905.0,155.0,30.2,38.7,293.0,53.2,43.6,497.0,12.0,2.4,22.0,0.65,12.0,Bundesliga 2020-2021,bundesliga,2020-2021,2020
Hoffenheim,2,34.0,54,6.0,1.0,4.0,2.0,53.5,0.32,1.5,0.04,143.0,427.0,33.5,1232.0,195.0,28.7,26.5,224.0,33.0,31.2,443.0,14.0,3.2,56.0,1.65,22.0,Bundesliga 2020-2021,bundesliga,2020-2021,2020
Köln,2,34.0,60,8.0,1.0,5.0,0.0,54.9,0.29,-5.1,-0.15,240.0,541.0,44.4,1102.0,124.0,40.2,35.5,252.0,38.9,34.5,484.0,15.0,3.1,30.0,0.88,15.2,Bundesliga 2020-2021,bundesliga,2020-2021,2020
Leverkusen,3,34.0,39,1.0,1.0,0.0,2.0,37.9,0.33,0.9,0.03,162.0,454.0,35.7,1377.0,219.0,28.2,31.5,232.0,28.0,30.0,378.0,21.0,5.6,67.0,1.97,18.2,Bundesliga 2020-2021,bundesliga,2020-2021,2020
Mainz 05,2,34.0,56,6.0,1.0,4.0,1.0,49.5,0.27,-5.5,-0.16,136.0,472.0,28.8,883.0,215.0,37.3,35.4,277.0,51.6,43.8,519.0,35.0,6.7,41.0,1.21,14.5,Bundesliga 2020-2021,bundesliga,2020-2021,2020
RB Leipzig,2,34.0,32,3.0,0.0,2.0,0.0,27.7,0.3,-4.3,-0.13,99.0,235.0,42.1,1047.0,176.0,19.6,27.7,174.0,17.2,25.3,328.0,15.0,4.6,67.0,1.97,19.7,Bundesliga 2020-2021,bundesliga,2020-2021,2020
Schalke 04,3,34.0,86,7.0,1.0,17.0,5.0,69.8,0.28,-11.2,-0.33,146.0,500.0,29.2,969.0,194.0,33.1,33.5,304.0,58.9,43.4,548.0,20.0,3.6,38.0,1.12,12.6,Bundesliga 2020-2021,bundesliga,2020-2021,2020
Stuttgart,2,34.0,55,5.0,1.0,3.0,1.0,55.3,0.3,1.3,0.04,128.0,325.0,39.4,970.0,213.0,27.6,29.4,289.0,19.7,25.2,490.0,18.0,3.7,42.0,1.24,8.8,Bundesliga 2020-2021,bundesliga,2020-2021,2020
Union Berlin,2,34.0,43,4.0,0.0,5.0,2.0,40.7,0.27,-0.3,-0.01,197.0,528.0,37.3,1000.0,117.0,38.2,40.4,236.0,61.9,43.8,423.0,20.0,4.7,21.0,0.62,8.6,Bundesliga 2020-2021,bundesliga,2020-2021,2020
Werder Bremen,1,34.0,57,4.0,0.0,7.0,3.0,48.7,0.28,-5.3,-0.16,211.0,461.0,45.8,863.0,168.0,37.9,33.9,281.0,47.7,40.8,567.0,17.0,3.0,30.0,0.88,14.4,Bundesliga 2020-2021,bundesliga,2020-2021,2020
Wolfsburg,2,34.0,37,3.0,1.0,4.0,1.0,36.1,0.26,0.1,0.0,202.0,490.0,41.2,1101.0,171.0,32.0,32.6,220.0,62.7,48.4,485.0,25.0,5.2,57.0,1.68,17.3,Bundesliga 2020-2021,bundesliga,2020-2021,2020
Arsenal,3,38.0,39,2.0,0.0,3.0,4.0,36.0,0.26,1.0,0.03,81.0,303.0,26.7,1021.0,206.0,16.7,28.2,238.0,55.5,42.3,518.0,24.0,4.6,37.0,0.97,,Premier League 2020-2021,premier league,2020-2021,2020
Aston Villa,1,38.0,46,5.0,2.0,4.0,1.0,49.2,0.24,4.2,0.11,247.0,639.0,38.7,1056.0,177.0,45.0,37.1,256.0,64.1,46.9,613.0,42.0,6.9,34.0,0.89,14.2,Premier League 2020-2021,premier league,2020-2021,2020
Brighton,2,38.0,46,6.0,0.0,8.0,2.0,35.9,0.24,-8.1,-0.21,193.0,522.0,37.0,1280.0,179.0,32.1,28.8,233.0,47.6,39.1,476.0,28.0,5.9,33.0,0.87,10.6,Premier League 2020-2021,premier league,2020-2021,2020
Burnley,3,38.0,55,3.0,0.0,8.0,1.0,49.1,0.26,-4.9,-0.13,317.0,841.0,37.7,846.0,143.0,69.1,54.5,298.0,85.9,59.7,600.0,34.0,5.7,78.0,2.05,10.0,Premier League 2020-2021,premier league,2020-2021,2020
Chelsea,3,38.0,36,3.0,1.0,5.0,1.0,31.4,0.26,-3.6,-0.1,93.0,253.0,36.8,1066.0,169.0,17.7,21.6,231.0,27.7,26.6,412.0,20.0,4.9,31.0,0.82,28.0,Premier League 2020-2021,premier league,2020-2021,2020
Crystal Palace,2,38.0,66,3.0,1.0,9.0,0.0,51.2,0.28,-14.8,-0.39,226.0,669.0,33.8,775.0,158.0,51.0,48.9,323.0,84.8,56.3,622.0,20.0,3.2,26.0,0.68,23.3,Premier League 2020-2021,premier league,2020-2021,2020
Everton,3,38.0,48,3.0,1.0,5.0,1.0,47.8,0.28,0.8,0.02,268.0,692.0,38.7,1092.0,177.0,47.6,35.6,271.0,63.5,47.7,560.0,25.0,4.5,35.0,0.92,12.3,Premier League 2020-2021,premier league,2020-2021,2020
Fulham,2,38.0,53,7.0,0.0,3.0,1.0,54.5,0.29,2.5,0.07,150.0,402.0,37.3,800.0,179.0,32.5,30.2,258.0,55.0,39.5,518.0,27.0,5.2,33.0,0.87,14.0,Premier League 2020-2021,premier league,2020-2021,2020
Leeds United,2,38.0,54,8.0,1.0,11.0,2.0,49.9,0.21,-2.1,-0.06,105.0,319.0,32.9,1166.0,306.0,19.1,27.4,298.0,32.2,28.9,477.0,28.0,5.9,20.0,0.53,11.9,Premier League 2020-2021,premier league,2020-2021,2020
Leicester City,1,38.0,50,4.0,0.0,9.0,2.0,42.2,0.29,-5.8,-0.15,159.0,425.0,37.4,1038.0,181.0,32.1,33.2,210.0,43.8,37.9,484.0,20.0,4.1,19.0,0.5,13.6,Premier League 2020-2021,premier league,2020-2021,2020
Liverpool,3,38.0,42,4.0,1.0,6.0,0.0,43.9,0.29,1.9,0.05,87.0,237.0,36.7,1107.0,196.0,16.4,31.3,209.0,26.8,29.5,403.0,21.0,5.2,95.0,2.5,17.0,Premier League 2020-2021,premier league,2020-2021,2020
Manchester City,3,38.0,32,8.0,0.0,3.0,1.0,32.0,0.23,1.0,0.03,108.0,271.0,39.9,998.0,171.0,20.2,27.0,168.0,41.1,37.3,333.0,19.0,5.7,44.0,1.16,,Premier League 2020-2021,premier league,2020-2021,2020
Manchester Utd,2,38.0,44,4.0,1.0,9.0,2.0,39.3,0.25,-2.7,-0.07,86.0,266.0,32.3,647.0,154.0,28.1,29.7,266.0,31.6,29.4,479.0,11.0,2.3,47.0,1.24,16.8,Premier League 2020-2021,premier league,2020-2021,2020
Newcastle Utd,2,38.0,62,4.0,1.0,4.0,3.0,53.8,0.26,-5.2,-0.14,245.0,671.0,36.5,820.0,159.0,52.8,32.5,338.0,70.4,50.0,645.0,27.0,4.2,21.0,0.55,12.6,Premier League 2020-2021,premier league,2020-2021,2020
Sheffield Utd,1,38.0,63,3.0,0.0,8.0,3.0,54.3,0.26,-5.7,-0.15,263.0,817.0,32.2,866.0,128.0,64.5,45.5,281.0,91.8,64.5,578.0,33.0,5.7,34.0,0.89,12.8,Premier League 2020-2021,premier league,2020-2021,2020
Southampton,2,38.0,68,8.0,1.0,3.0,1.0,56.2,0.27,-10.8,-0.28,139.0,569.0,24.4,1106.0,159.0,38.4,35.3,236.0,61.0,41.9,507.0,29.0,5.7,45.0,1.18,15.6,Premier League 2020-2021,premier league,2020-2021,2020
Tottenham,1,38.0,45,10.0,0.0,3.0,3.0,45.6,0.24,3.6,0.1,159.0,408.0,39.0,814.0,180.0,38.6,32.4,264.0,35.6,28.1,590.0,23.0,3.9,24.0,0.63,13.1,Premier League 2020-2021,premier league,2020-2021,2020
West Brom,2,38.0,76,7.0,2.0,8.0,3.0,68.0,0.25,-5.0,-0.13,301.0,916.0,32.9,1019.0,183.0,63.7,41.8,308.0,86.7,57.1,670.0,20.0,3.0,38.0,1.0,7.0,Premier League 2020-2021,premier league,2020-2021,2020
West Ham,2,38.0,47,3.0,0.0,7.0,4.0,42.0,0.27,-1.0,-0.03,250.0,648.0,38.6,780.0,159.0,54.9,40.4,296.0,74.3,51.4,565.0,26.0,4.6,17.0,0.45,10.8,Premier League 2020-2021,premier league,2020-2021,2020
Wolves,2,38.0,52,7.0,1.0,9.0,3.0,46.2,0.25,-2.8,-0.07,161.0,389.0,41.4,557.0,156.0,43.1,33.2,275.0,54.2,36.7,577.0,24.0,4.2,12.0,0.32,8.7,Premier League 2020-2021,premier league,2020-2021,2020
Alavés,2,38.0,57,3.0,0.0,5.0,0.0,51.1,0.35,-5.9,-0.16,309.0,615.0,50.2,792.0,116.0,53.7,40.3,306.0,62.1,44.8,545.0,19.0,3.5,37.0,0.97,14.5,La Liga 2020-2021,la liga,2020-2021,2020
Athletic Club,2,38.0,42,5.0,1.0,6.0,1.0,37.5,0.29,-3.5,-0.09,206.0,493.0,41.8,817.0,210.0,36.5,35.2,270.0,72.2,52.2,555.0,24.0,4.3,36.0,0.95,15.1,La Liga 2020-2021,la liga,2020-2021,2020
Atlético Madrid,1,38.0,25,1.0,0.0,5.0,3.0,33.1,0.25,11.1,0.29,202.0,539.0,37.5,709.0,131.0,49.6,39.1,294.0,63.6,45.9,513.0,14.0,2.7,27.0,0.71,15.7,La Liga 2020-2021,la liga,2020-2021,2020
Barcelona,2,38.0,38,5.0,1.0,5.0,2.0,36.0,0.24,0.0,0.0,92.0,207.0,44.4,1068.0,193.0,14.8,24.8,215.0,22.8,29.3,369.0,19.0,5.1,40.0,1.05,13.9,La Liga 2020-2021,la liga,2020-2021,2020
Betis,2,38.0,50,8.0,1.0,4.0,3.0,46.9,0.28,-0.1,0.0,212.0,606.0,35.0,953.0,163.0,48.1,37.8,250.0,59.2,45.1,505.0,21.0,4.2,48.0,1.26,19.0,La Liga 2020-2021,la liga,2020-2021,2020
Cádiz,3,38.0,58,9.0,2.0,4.0,1.0,53.8,0.3,-3.2,-0.09,396.0,998.0,39.7,846.0,72.0,78.7,54.1,349.0,95.1,65.0,606.0,33.0,5.4,26.0,0.68,27.0,La Liga 2020-2021,la liga,2020-2021,2020
Celta Vigo,2,38.0,57,7.0,2.0,4.0,1.0,49.7,0.32,-6.3,-0.17,194.0,607.0,32.0,1025.0,156.0,40.0,32.7,315.0,62.5,46.6,553.0,10.0,1.8,45.0,1.18,15.7,La Liga 2020-2021,la liga,2020-2021,2020
Eibar,2,38.0,52,3.0,0.0,5.0,0.0,47.5,0.33,-4.5,-0.12,340.0,847.0,40.1,938.0,124.0,65.9,40.2,250.0,91.6,68.4,406.0,14.0,3.4,63.0,1.66,24.3,La Liga 2020-2021,la liga,2020-2021,2020
Elche,2,38.0,55,6.0,0.0,6.0,1.0,58.8,0.32,4.8,0.13,267.0,604.0,44.2,1039.0,168.0,36.6,45.0,353.0,63.5,45.3,537.0,10.0,1.9,34.0,0.89,12.4,La Liga 2020-2021,la liga,2020-2021,2020
