Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att.1,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,League,league_name,season,season_start
Gladbach,2,34.0,67,6.0,0.0,7.0,0.0,58.4,0.26,-8.6,-0.25,144.0,405.0,35.6,1059.0,177.0,28.7,32.3,266.0,38.0,33.6,538.0,28.0,5.2,34.0,1.0,15.3,Bundesliga 2023-2024,bundesliga,2023-2024,2023
Heidenheim,1,34.0,55,7.0,0.0,7.0,3.0,53.6,0.27,1.6,0.05,249.0,595.0,41.8,1162.0,167.0,35.3,35.9,318.0,58.2,46.0,495.0,24.0,4.8,17.0,0.5,13.2,Bundesliga 2023-2024,bundesliga,2023-2024,2023
Hoffenheim,1,34.0,66,2.0,3.0,9.0,1.0,68.6,0.31,3.6,0.11,208.0,529.0,39.3,1112.0,165.0,35.2,32.7,296.0,46.6,39.6,545.0,31.0,5.7,73.0,2.15,16.7,Bundesliga 2023-2024,bundesliga,2023-2024,2023
Köln,1,34.0,60,3.0,0.0,10.0,0.0,62.0,0.36,2.0,0.06,135.0,372.0,36.3,1037.0,101.0,31.4,31.4,260.0,17.7,23.9,504.0,14.0,2.8,21.0,0.62,13.4,Bundesliga 2023-2024,bundesliga,2023-2024,2023
Leverkusen,2,34.0,24,0.0,0.0,4.0,0.0,27.9,0.27,3.9,0.11,71.0,202.0,35.1,715.0,171.0,20.3,22.1,183.0,31.1,31.2,316.0,28.0,8.9,40.0,1.18,15.0,Bundesliga 2023-2024,bundesliga,2023-2024,2023
Mainz 05,2,34.0,51,3.0,2.0,2.0,1.0,51.7,0.34,1.7,0.05,198.0,570.0,34.7,985.0,160.0,46.6,34.7,207.0,53.6,43.6,431.0,46.0,10.7,50.0,1.47,11.3,Bundesliga 2023-2024,bundesliga,2023-2024,2023
RB Leipzig,2,34.0,39,4.0,1.0,8.0,1.0,35.6,0.27,-2.4,-0.07,79.0,234.0,33.8,1189.0,147.0,14.2,25.7,237.0,27.4,30.8,426.0,23.0,5.4,51.0,1.5,17.6,Bundesliga 2023-2024,bundesliga,2023-2024,2023
Stuttgart,2,34.0,39,3.0,0.0,6.0,3.0,35.8,0.26,-0.2,-0.01,148.0,352.0,42.0,1180.0,147.0,26.1,31.0,214.0,20.6,23.4,396.0,31.0,7.8,62.0,1.82,16.6,Bundesliga 2023-2024,bundesliga,2023-2024,2023
Union Berlin,2,34.0,58,5.0,2.0,7.0,1.0,52.9,0.28,-4.1,-0.12,202.0,535.0,37.8,1081.0,178.0,36.4,34.1,269.0,52.4,41.0,552.0,54.0,9.8,37.0,1.09,5.0,Bundesliga 2023-2024,bundesliga,2023-2024,2023
Werder Bremen,2,34.0,54,6.0,0.0,5.0,1.0,54.1,0.3,1.1,0.03,176.0,415.0,42.4,1069.0,198.0,32.3,34.2,298.0,23.5,28.6,516.0,41.0,7.9,39.0,1.15,14.4,Bundesliga 2023-2024,bundesliga,2023-2024,2023
