Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,League,league_name,season,season_start
vs NEC Nijmegen,25,51.4,34.0,21044.0,2433.0,6714.0,9036.0,5484.0,813.0,21042.0,628.0,273.0,43.5,314.0,50.0,11291.0,61333.0,31304.0,647.0,468.0,163.0,546.0,275.0,13245.0,1437.0,Eredivisie 2024-2025,eredivisie,2024-2025,2024
vs PSV Eindhoven,32,32.5,34.0,15341.0,2988.0,7080.0,5615.0,2860.0,498.0,15339.0,523.0,229.0,43.8,276.0,52.8,7273.0,40362.0,19312.0,392.0,267.0,99.0,505.0,264.0,7814.0,764.0,Eredivisie 2024-2025,eredivisie,2024-2025,2024
vs RKC Waalwijk,29,56.1,34.0,22558.0,1950.0,6081.0,10533.0,6140.0,1064.0,22550.0,577.0,231.0,40.0,313.0,54.2,12784.0,69060.0,37502.0,762.0,498.0,224.0,500.0,312.0,14873.0,1708.0,Eredivisie 2024-2025,eredivisie,2024-2025,2024
vs Sparta R'dam,29,51.1,34.0,21000.0,2380.0,6473.0,9150.0,5590.0,875.0,20995.0,566.0,261.0,46.1,285.0,50.4,11780.0,64979.0,33684.0,636.0,498.0,157.0,525.0,290.0,13334.0,1413.0,Eredivisie 2024-2025,eredivisie,2024-2025,2024
vs Twente,29,46.7,34.0,19366.0,2745.0,7125.0,8147.0,4265.0,688.0,19364.0,565.0,255.0,45.1,274.0,48.5,10319.0,55709.0,28273.0,517.0,346.0,132.0,527.0,283.0,11769.0,1059.0,Eredivisie 2024-2025,eredivisie,2024-2025,2024
vs Utrecht,27,53.4,34.0,21509.0,2483.0,7378.0,9649.0,4678.0,719.0,21505.0,579.0,266.0,45.9,283.0,48.9,11726.0,61457.0,30314.0,533.0,430.0,155.0,577.0,367.0,13775.0,1236.0,Eredivisie 2024-2025,eredivisie,2024-2025,2024
vs Willem II,26,56.0,34.0,22665.0,1746.0,5817.0,10862.0,6192.0,958.0,22659.0,570.0,259.0,45.4,277.0,48.6,13289.0,72026.0,37499.0,675.0,454.0,165.0,468.0,284.0,15290.0,1719.0,Eredivisie 2024-2025,eredivisie,2024-2025,2024
vs Zwolle,26,49.8,34.0,20387.0,2108.0,6620.0,9004.0,4964.0,886.0,20381.0,619.0,286.0,46.2,300.0,48.5,11053.0,58210.0,29189.0,563.0,392.0,175.0,561.0,331.0,12500.0,1335.0,Eredivisie 2024-2025,eredivisie,2024-2025,2024
vs Arouca,28,47.7,34.0,18571.0,2007.0,6460.0,7915.0,4389.0,718.0,18562.0,600.0,268.0,44.7,282.0,47.0,9521.0,49118.0,25086.0,488.0,329.0,116.0,491.0,270.0,11282.0,1177.0,Primeira Liga 2024-2025,primeira liga,2024-2025,2024
vs AVS Futebol,33,56.0,34.0,21431.0,1919.0,6788.0,9737.0,5067.0,809.0,21427.0,602.0,252.0,41.9,308.0,51.2,11773.0,58212.0,28549.0,573.0,377.0,135.0,537.0,254.0,14160.0,1434.0,Primeira Liga 2024-2025,primeira liga,2024-2025,2024
