Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,League,league_name,season,season_start
vs Vitesse,29,47.8,34.0,19642.0,2324.0,6668.0,9022.0,4161.0,667.0,19636.0,614.0,345.0,56.2,269.0,43.8,10054.0,51189.0,24741.0,514.0,359.0,139.0,612.0,328.0,10992.0,1117.0,Eredivisie 2021-2022,eredivisie,2021-2022,2021
vs Willem II,33,55.0,34.0,22474.0,2190.0,7272.0,10290.0,5107.0,781.0,22471.0,570.0,327.0,57.4,243.0,42.6,12496.0,64133.0,32741.0,576.0,433.0,144.0,649.0,322.0,14223.0,1464.0,Eredivisie 2021-2022,eredivisie,2021-2022,2021
vs Zwolle,32,49.5,34.0,20360.0,2218.0,6858.0,8853.0,4871.0,832.0,20356.0,578.0,333.0,57.6,245.0,42.4,10442.0,54700.0,26508.0,509.0,367.0,175.0,650.0,377.0,11583.0,1322.0,Eredivisie 2021-2022,eredivisie,2021-2022,2021
vs Arouca,35,50.4,34.0,19182.0,2038.0,6432.0,8825.0,4118.0,601.0,19176.0,557.0,288.0,51.7,269.0,48.3,10645.0,52613.0,26317.0,496.0,329.0,126.0,502.0,227.0,11633.0,1143.0,Primeira Liga 2021-2022,primeira liga,2021-2022,2021
vs B-SAD,37,,34.0,20481.0,1768.0,5918.0,9503.0,5263.0,816.0,20474.0,528.0,293.0,55.5,235.0,44.5,11460.0,59767.0,30484.0,618.0,427.0,162.0,504.0,220.0,13514.0,1487.0,Primeira Liga 2021-2022,primeira liga,2021-2022,2021
vs Benfica,35,38.6,34.0,16669.0,2244.0,6517.0,6988.0,3367.0,445.0,16667.0,541.0,257.0,47.5,284.0,52.5,8265.0,45579.0,22132.0,439.0,309.0,104.0,507.0,267.0,9576.0,882.0,Primeira Liga 2021-2022,primeira liga,2021-2022,2021
vs Boavista,28,55.4,34.0,20936.0,1796.0,6595.0,9885.0,4671.0,645.0,20929.0,610.0,323.0,53.0,287.0,47.0,11409.0,57306.0,27724.0,476.0,364.0,115.0,557.0,281.0,13731.0,1289.0,Primeira Liga 2021-2022,primeira liga,2021-2022,2021
vs Braga,40,46.0,34.0,19639.0,2354.0,7126.0,9006.0,3729.0,538.0,19637.0,525.0,312.0,59.4,211.0,40.2,10463.0,52635.0,23393.0,426.0,318.0,104.0,602.0,259.0,12150.0,985.0,Primeira Liga 2021-2022,primeira liga,2021-2022,2021
vs Estoril,31,52.7,34.0,19742.0,1910.0,6031.0,8872.0,5026.0,708.0,19737.0,474.0,253.0,53.4,221.0,46.6,11521.0,56974.0,28477.0,550.0,439.0,132.0,489.0,226.0,13107.0,1309.0,Primeira Liga 2021-2022,primeira liga,2021-2022,2021
vs Famalicão,37,52.4,34.0,19917.0,2041.0,6747.0,8992.0,4384.0,605.0,19908.0,611.0,315.0,51.6,296.0,48.4,10811.0,55882.0,27206.0,483.0,335.0,115.0,510.0,254.0,12669.0,1156.0,Primeira Liga 2021-2022,primeira liga,2021-2022,2021
vs Gil Vicente FC,29,45.8,34.0,18277.0,2016.0,6356.0,7949.0,4173.0,673.0,18268.0,447.0,277.0,62.0,170.0,38.0,9932.0,51688.0,25861.0,507.0,364.0,122.0,458.0,260.0,11256.0,1133.0,Primeira Liga 2021-2022,primeira liga,2021-2022,2021
vs Marítimo,30,51.3,34.0,19480.0,1734.0,5845.0,9073.0,4768.0,686.0,19470.0,525.0,276.0,52.6,249.0,47.4,10571.0,53078.0,25795.0,538.0,396.0,140.0,503.0,336.0,12355.0,1337.0,Primeira Liga 2021-2022,primeira liga,2021-2022,2021
vs Moreirense,29,55.9,34.0,20492.0,2098.0,6889.0,9425.0,4356.0,597.0,20487.0,537.0,312.0,58.1,225.0,41.9,10891.0,54754.0,26399.0,454.0,323.0,105.0,581.0,277.0,12904.0,1220.0,Primeira Liga 2021-2022,primeira liga,2021-2022,2021
vs Paços de Ferreira,30,50.9,34.0,19025.0,1859.0,6051.0,8793.0,4400.0,716.0,19019.0,642.0,372.0,57.9,270.0,42.1,10999.0,57567.0,29294.0,589.0,428.0,137.0,529.0,222.0,12034.0,1239.0,Primeira Liga 2021-2022,primeira liga,2021-2022,2021
vs Portimonense,35,51.7,34.0,19360.0,1826.0,5689.0,8779.0,5082.0,743.0,19358.0,497.0,269.0,54.1,228.0,45.9,10532.0,58214.0,30878.0,668.0,433.0,145.0,562.0,245.0,12126.0,1457.0,Primeira Liga 2021-2022,primeira liga,2021-2022,2021
vs Porto,33,36.8,34.0,15413.0,2631.0,6999.0,6132.0,2477.0,312.0,15410.0,573.0,300.0,52.4,273.0,47.6,7437.0,39970.0,19121.0,349.0,258.0,63.0,515.0,280.0,8280.0,683.0,Primeira Liga 2021-2022,primeira liga,2021-2022,2021
vs Santa Clara,32,54.3,34.0,20209.0,1943.0,6452.0,9433.0,4521.0,620.0,20201.0,539.0,277.0,51.4,262.0,48.6,11320.0,54375.0,26374.0,442.0,315.0,92.0,594.0,262.0,13173.0,1236.0,Primeira Liga 2021-2022,primeira liga,2021-2022,2021
vs Sporting CP,31,39.9,34.0,16768.0,2390.0,6667.0,7155.0,3125.0,391.0,16766.0,577.0,315.0,54.6,262.0,45.4,9076.0,45691.0,21200.0,413.0,309.0,84.0,472.0,305.0,9821.0,816.0,Primeira Liga 2021-2022,primeira liga,2021-2022,2021
vs Tondela,27,54.0,34.0,20780.0,1613.0,5596.0,10124.0,5243.0,723.0,20772.0,600.0,294.0,49.0,305.0,50.8,11822.0,58571.0,28757.0,539.0,398.0,123.0,617.0,280.0,13623.0,1439.0,Primeira Liga 2021-2022,primeira liga,2021-2022,2021
vs Vitória,31,51.0,34.0,19488.0,2157.0,6960.0,8969.0,3756.0,590.0,19481.0,516.0,278.0,53.9,238.0,46.1,10703.0,53480.0,27037.0,495.0,312.0,135.0,562.0,232.0,12417.0,1077.0,Primeira Liga 2021-2022,primeira liga,2021-2022,2021
vs Vizela,31,55.4,34.0,20913.0,2175.0,6617.0,9538.0,4926.0,701.0,20902.0,586.0,319.0,54.4,266.0,45.4,11934.0,60212.0,30256.0,523.0,391.0,123.0,506.0,268.0,13560.0,1381.0,Primeira Liga 2021-2022,primeira liga,2021-2022,2021
vs Barnsley,34,55.0,46.0,29129.0,2963.0,10422.0,12351.0,6637.0,1109.0,29123.0,727.0,380.0,52.3,347.0,47.7,15326.0,76914.0,37057.0,801.0,494.0,239.0,821.0,435.0,17182.0,1589.0,Championship 2021-2022,championship,2021-2022,2021
vs Birmingham City,35,56.0,46.0,25963.0,3105.0,9603.0,10781.0,5829.0,916.0,25954.0,640.0,298.0,46.6,342.0,53.4,13510.0,77264.0,39577.0,737.0,452.0,193.0,894.0,419.0,14655.0,1429.0,Championship 2021-2022,championship,2021-2022,2021
vs Blackburn,32,55.2,46.0,26935.0,2734.0,9430.0,11896.0,5864.0,868.0,26934.0,655.0,343.0,52.4,312.0,47.6,14124.0,77809.0,39996.0,702.0,465.0,179.0,796.0,404.0,15953.0,1529.0,Championship 2021-2022,championship,2021-2022,2021
vs Blackpool,34,53.8,46.0,27008.0,2933.0,9889.0,11367.0,6017.0,964.0,27007.0,602.0,339.0,56.3,263.0,43.7,14367.0,73323.0,35758.0,649.0,435.0,195.0,881.0,443.0,16008.0,1474.0,Championship 2021-2022,championship,2021-2022,2021
vs Bournemouth,32,43.0,46.0,23610.0,3003.0,8730.0,9798.0,5317.0,729.0,23607.0,620.0,319.0,51.5,301.0,48.5,11995.0,59527.0,26342.0,501.0,393.0,140.0,726.0,354.0,13117.0,1214.0,Championship 2021-2022,championship,2021-2022,2021
vs Bristol City,30,55.3,46.0,27857.0,2692.0,8669.0,12538.0,6916.0,1101.0,27848.0,646.0,352.0,54.5,294.0,45.5,15440.0,81894.0,41055.0,807.0,546.0,216.0,837.0,409.0,16803.0,1733.0,Championship 2021-2022,championship,2021-2022,2021
vs Cardiff City,32,55.1,46.0,28017.0,2788.0,9042.0,12910.0,6309.0,837.0,28015.0,591.0,302.0,51.1,289.0,48.9,15411.0,83904.0,42716.0,766.0,543.0,182.0,770.0,391.0,17071.0,1615.0,Championship 2021-2022,championship,2021-2022,2021
vs Coventry City,25,46.5,46.0,26689.0,3051.0,9317.0,11579.0,6099.0,787.0,26682.0,769.0,413.0,53.7,355.0,46.2,14194.0,78506.0,38347.0,725.0,526.0,157.0,913.0,389.0,15405.0,1452.0,Championship 2021-2022,championship,2021-2022,2021
vs Derby County,31,48.7,46.0,25745.0,2486.0,8537.0,11299.0,6153.0,971.0,25742.0,614.0,305.0,49.7,309.0,50.3,13418.0,69721.0,34799.0,647.0,447.0,195.0,749.0,306.0,15407.0,1581.0,Championship 2021-2022,championship,2021-2022,2021
vs Fulham,29,39.0,46.0,22915.0,3131.0,8511.0,9836.0,4838.0,655.0,22910.0,629.0,332.0,52.8,297.0,47.2,11685.0,61359.0,29767.0,522.0,385.0,139.0,713.0,327.0,12878.0,1158.0,Championship 2021-2022,championship,2021-2022,2021
vs Huddersfield,28,52.1,46.0,28125.0,2500.0,8013.0,13201.0,7156.0,1013.0,28121.0,534.0,278.0,52.1,258.0,48.3,16472.0,84303.0,40264.0,765.0,542.0,217.0,709.0,328.0,18042.0,1777.0,Championship 2021-2022,championship,2021-2022,2021
vs Hull City,34,53.5,46.0,28217.0,2683.0,8779.0,12975.0,6730.0,991.0,28212.0,705.0,352.0,49.9,353.0,50.1,16456.0,89101.0,46886.0,863.0,598.0,202.0,785.0,366.0,17785.0,1831.0,Championship 2021-2022,championship,2021-2022,2021
vs Luton Town,29,55.8,46.0,26836.0,2841.0,9293.0,11245.0,6520.0,805.0,26831.0,594.0,302.0,50.8,292.0,49.2,13319.0,73917.0,36405.0,732.0,559.0,151.0,853.0,396.0,15204.0,1447.0,Championship 2021-2022,championship,2021-2022,2021
vs Middlesbrough,30,50.7,46.0,24942.0,2823.0,9023.0,10942.0,5235.0,765.0,24941.0,640.0,310.0,48.4,330.0,51.6,12732.0,68840.0,33230.0,637.0,398.0,168.0,795.0,388.0,14487.0,1305.0,Championship 2021-2022,championship,2021-2022,2021
vs Millwall,26,53.4,46.0,27389.0,2737.0,9043.0,12421.0,6202.0,970.0,27385.0,733.0,372.0,50.8,361.0,49.2,14327.0,81241.0,42710.0,802.0,565.0,214.0,826.0,361.0,16099.0,1581.0,Championship 2021-2022,championship,2021-2022,2021
vs Nott'ham Forest,33,49.8,46.0,25381.0,2620.0,8142.0,11239.0,6289.0,837.0,25375.0,623.0,336.0,53.9,287.0,46.1,13217.0,73203.0,37042.0,690.0,552.0,168.0,824.0,413.0,14869.0,1495.0,Championship 2021-2022,championship,2021-2022,2021
vs P'borough Utd,33,52.2,46.0,27902.0,2380.0,7975.0,12947.0,7289.0,1193.0,27897.0,788.0,390.0,49.5,397.0,50.4,15718.0,88292.0,45266.0,901.0,634.0,225.0,772.0,400.0,17326.0,1933.0,Championship 2021-2022,championship,2021-2022,2021
vs Preston,29,50.2,46.0,26189.0,2759.0,8634.0,11646.0,6163.0,868.0,26186.0,689.0,346.0,50.2,344.0,49.9,13556.0,78719.0,40301.0,805.0,576.0,189.0,810.0,410.0,14963.0,1469.0,Championship 2021-2022,championship,2021-2022,2021
vs QPR,27,46.0,46.0,25249.0,2880.0,8787.0,10595.0,6119.0,932.0,25245.0,582.0,289.0,49.7,293.0,50.3,12754.0,71437.0,36033.0,724.0,499.0,212.0,728.0,393.0,14596.0,1509.0,Championship 2021-2022,championship,2021-2022,2021
vs Reading,36,52.4,46.0,28535.0,2478.0,8223.0,13363.0,7235.0,1054.0,28531.0,687.0,375.0,54.6,312.0,45.4,16230.0,88292.0,44712.0,797.0,626.0,172.0,786.0,433.0,18074.0,1900.0,Championship 2021-2022,championship,2021-2022,2021
vs Sheffield Utd,33,42.9,46.0,23904.0,3126.0,8892.0,9868.0,5413.0,728.0,23900.0,615.0,306.0,49.8,309.0,50.2,12395.0,65767.0,31531.0,622.0,462.0,157.0,783.0,381.0,13205.0,1208.0,Championship 2021-2022,championship,2021-2022,2021
vs Stoke City,34,47.6,46.0,25750.0,2827.0,8793.0,11360.0,5864.0,784.0,25746.0,594.0,313.0,52.7,281.0,47.3,13389.0,72352.0,36242.0,696.0,468.0,172.0,774.0,403.0,15107.0,1384.0,Championship 2021-2022,championship,2021-2022,2021
vs Swansea City,31,36.1,46.0,21594.0,2574.0,7790.0,8865.0,5208.0,894.0,21588.0,618.0,332.0,53.7,286.0,46.3,11119.0,57722.0,27635.0,601.0,382.0,210.0,670.0,282.0,12329.0,1225.0,Championship 2021-2022,championship,2021-2022,2021
vs West Brom,29,48.5,46.0,24641.0,3372.0,9589.0,10281.0,4993.0,688.0,24637.0,627.0,321.0,51.2,306.0,48.8,12110.0,60933.0,29114.0,534.0,405.0,124.0,822.0,351.0,13021.0,1206.0,Championship 2021-2022,championship,2021-2022,2021
vs Arminia,26,57.8,34.0,23892.0,1954.0,7208.0,11721.0,5159.0,800.0,23886.0,537.0,322.0,60.0,214.0,39.9,13663.0,73263.0,36545.0,597.0,447.0,162.0,599.0,338.0,16052.0,1691.0,Bundesliga 2020-2021,bundesliga,2020-2021,2020
vs Augsburg,25,58.7,34.0,23777.0,1925.0,6742.0,11504.0,5730.0,911.0,23768.0,503.0,302.0,60.0,201.0,40.0,13799.0,70400.0,37566.0,698.0,481.0,167.0,564.0,308.0,15930.0,1662.0,Bundesliga 2020-2021,bundesliga,2020-2021,2020
vs Bayern Munich,29,38.9,34.0,18509.0,2927.0,7900.0,7239.0,3598.0,538.0,18506.0,541.0,317.0,58.6,224.0,41.4,9792.0,50827.0,24746.0,476.0,340.0,146.0,554.0,286.0,10741.0,1024.0,Bundesliga 2020-2021,bundesliga,2020-2021,2020
vs Dortmund,26,40.2,34.0,18918.0,2464.0,6931.0,8308.0,3905.0,537.0,18912.0,487.0,268.0,55.0,219.0,45.0,10187.0,55829.0,29360.0,534.0,426.0,113.0,529.0,297.0,11562.0,1107.0,Bundesliga 2020-2021,bundesliga,2020-2021,2020
vs Eint Frankfurt,25,46.0,34.0,19904.0,2376.0,7145.0,8659.0,4325.0,728.0,19898.0,597.0,333.0,55.8,263.0,44.1,10344.0,56044.0,28503.0,598.0,426.0,161.0,611.0,331.0,11659.0,1236.0,Bundesliga 2020-2021,bundesliga,2020-2021,2020
vs Freiburg,24,53.0,34.0,21614.0,2289.0,7284.0,9927.0,4634.0,690.0,21608.0,448.0,280.0,62.5,168.0,37.5,12026.0,67661.0,36242.0,670.0,519.0,155.0,560.0,263.0,14164.0,1254.0,Bundesliga 2020-2021,bundesliga,2020-2021,2020
vs Gladbach,23,48.1,34.0,21470.0,2306.0,7309.0,9906.0,4462.0,738.0,21464.0,531.0,316.0,59.5,215.0,40.5,11948.0,59414.0,28930.0,511.0,380.0,139.0,509.0,288.0,13805.0,1264.0,Bundesliga 2020-2021,bundesliga,2020-2021,2020
vs Hertha BSC,32,50.6,34.0,20327.0,1930.0,5898.0,9738.0,4892.0,677.0,20319.0,493.0,288.0,58.4,205.0,41.6,11248.0,61034.0,31353.0,588.0,464.0,114.0,578.0,280.0,12850.0,1394.0,Bundesliga 2020-2021,bundesliga,2020-2021,2020
vs Hoffenheim,30,48.9,34.0,21153.0,2305.0,7107.0,9944.0,4306.0,730.0,21144.0,539.0,310.0,57.5,229.0,42.5,11244.0,62150.0,32167.0,587.0,387.0,160.0,551.0,279.0,13392.0,1331.0,Bundesliga 2020-2021,bundesliga,2020-2021,2020
vs Köln,28,53.7,34.0,22441.0,1936.0,6449.0,11296.0,4891.0,726.0,22432.0,546.0,298.0,54.6,248.0,45.4,12534.0,66478.0,34561.0,551.0,423.0,124.0,590.0,338.0,14818.0,1472.0,Bundesliga 2020-2021,bundesliga,2020-2021,2020
vs Leverkusen,30,40.1,34.0,18528.0,2415.0,7163.0,7899.0,3662.0,613.0,18526.0,499.0,285.0,57.1,213.0,42.7,9391.0,49568.0,25000.0,501.0,317.0,136.0,565.0,287.0,10804.0,1022.0,Bundesliga 2020-2021,bundesliga,2020-2021,2020
vs Mainz 05,31,59.5,34.0,24350.0,2288.0,7770.0,11740.0,5034.0,741.0,24343.0,574.0,316.0,55.1,258.0,44.9,13586.0,68472.0,34782.0,594.0,424.0,128.0,651.0,335.0,16034.0,1502.0,Bundesliga 2020-2021,bundesliga,2020-2021,2020
vs RB Leipzig,25,40.0,34.0,18390.0,2721.0,7532.0,7845.0,3200.0,463.0,18387.0,460.0,270.0,58.7,190.0,41.3,9168.0,47158.0,22670.0,382.0,283.0,83.0,592.0,270.0,10530.0,865.0,Bundesliga 2020-2021,bundesliga,2020-2021,2020
vs Schalke 04,42,55.4,34.0,22218.0,1728.0,5928.0,10979.0,5514.0,940.0,22210.0,546.0,343.0,62.8,203.0,37.2,12453.0,65835.0,34429.0,641.0,497.0,177.0,538.0,349.0,14630.0,1468.0,Bundesliga 2020-2021,bundesliga,2020-2021,2020
vs Stuttgart,29,48.5,34.0,20718.0,2333.0,7138.0,8926.0,4875.0,835.0,20711.0,531.0,296.0,55.7,235.0,44.3,11049.0,59769.0,30399.0,619.0,431.0,166.0,567.0,261.0,12854.0,1278.0,Bundesliga 2020-2021,bundesliga,2020-2021,2020
vs Union Berlin,27,55.1,34.0,23260.0,1955.0,6932.0,12113.0,4383.0,564.0,23255.0,501.0,269.0,53.7,232.0,46.3,13397.0,67991.0,34287.0,479.0,354.0,94.0,585.0,271.0,15507.0,1364.0,Bundesliga 2020-2021,bundesliga,2020-2021,2020
vs Werder Bremen,27,56.2,34.0,23571.0,1826.0,6284.0,11760.0,5724.0,770.0,23565.0,556.0,328.0,59.0,228.0,41.0,13337.0,71235.0,37591.0,660.0,498.0,137.0,612.0,314.0,15854.0,1513.0,Bundesliga 2020-2021,bundesliga,2020-2021,2020
vs Wolfsburg,26,48.6,34.0,20357.0,2392.0,7539.0,8699.0,4299.0,673.0,20352.0,599.0,328.0,54.8,271.0,45.2,10821.0,52404.0,24966.0,449.0,308.0,126.0,604.0,323.0,12227.0,1181.0,Bundesliga 2020-2021,bundesliga,2020-2021,2020
vs Arsenal,29,46.2,38.0,22816.0,2643.0,7657.0,10092.0,5265.0,721.0,22813.0,547.0,335.0,61.2,212.0,38.8,13129.0,66624.0,33414.0,604.0,462.0,162.0,507.0,244.0,15224.0,1165.0,Premier League 2020-2021,premier league,2020-2021,2020
vs Aston Villa,24,51.9,38.0,22498.0,2506.0,7471.0,9303.0,5952.0,955.0,22492.0,582.0,321.0,55.2,261.0,44.8,12009.0,66245.0,35967.0,726.0,508.0,200.0,551.0,269.0,14149.0,1534.0,Premier League 2020-2021,premier league,2020-2021,2020
vs Brighton,27,48.7,38.0,23201.0,2436.0,7588.0,10460.0,5346.0,677.0,23194.0,603.0,351.0,58.2,253.0,42.0,13162.0,68904.0,34879.0,587.0,464.0,141.0,591.0,376.0,15157.0,1290.0,Premier League 2020-2021,premier league,2020-2021,2020
vs Burnley,25,58.3,38.0,25555.0,2502.0,8190.0,11216.0,6361.0,975.0,25552.0,565.0,335.0,59.3,226.0,40.0,14183.0,79915.0,43477.0,884.0,587.0,219.0,568.0,278.0,16861.0,1657.0,Premier League 2020-2021,premier league,2020-2021,2020
vs Chelsea,27,38.6,38.0,20757.0,2531.0,7109.0,9099.0,4733.0,565.0,20753.0,570.0,339.0,59.5,231.0,40.5,10799.0,57273.0,27861.0,497.0,384.0,107.0,572.0,381.0,12689.0,1055.0,Premier League 2020-2021,premier league,2020-2021,2020
vs Crystal Palace,24,59.9,38.0,27170.0,1926.0,7042.0,13508.0,6809.0,890.0,27166.0,620.0,337.0,54.4,283.0,45.6,16162.0,83863.0,43503.0,666.0,508.0,139.0,606.0,353.0,18907.0,1798.0,Premier League 2020-2021,premier league,2020-2021,2020
vs Everton,29,53.5,38.0,25600.0,2093.0,7302.0,12068.0,6454.0,873.0,25596.0,664.0,398.0,59.9,266.0,40.1,14327.0,78959.0,41468.0,794.0,607.0,181.0,635.0,374.0,17537.0,1651.0,Premier League 2020-2021,premier league,2020-2021,2020
vs Fulham,28,50.1,38.0,24188.0,2377.0,7606.0,11296.0,5504.0,752.0,24181.0,581.0,327.0,56.3,254.0,43.7,13523.0,68845.0,34502.0,559.0,456.0,139.0,555.0,347.0,15656.0,1317.0,Premier League 2020-2021,premier league,2020-2021,2020
vs Leeds United,23,42.4,38.0,19786.0,2395.0,6410.0,8265.0,5409.0,875.0,19777.0,769.0,459.0,59.7,311.0,40.4,10613.0,67444.0,35138.0,720.0,557.0,184.0,663.0,431.0,11160.0,1188.0,Premier League 2020-2021,premier league,2020-2021,2020
vs Leicester City,27,45.4,38.0,22044.0,2246.0,7030.0,10289.0,4962.0,656.0,22040.0,676.0,381.0,56.4,295.0,43.6,11744.0,64847.0,33298.0,567.0,452.0,108.0,558.0,386.0,13695.0,1237.0,Premier League 2020-2021,premier league,2020-2021,2020
vs Liverpool,28,37.6,38.0,20455.0,3152.0,8672.0,8259.0,3747.0,575.0,20447.0,543.0,323.0,59.5,220.0,40.5,9976.0,53625.0,26042.0,539.0,338.0,141.0,565.0,306.0,11777.0,952.0,Premier League 2020-2021,premier league,2020-2021,2020
vs Manchester City,24,36.1,38.0,19457.0,2984.0,8113.0,8067.0,3501.0,487.0,19447.0,576.0,342.0,59.4,231.0,40.1,10888.0,58232.0,28483.0,537.0,393.0,125.0,501.0,264.0,12194.0,840.0,Premier League 2020-2021,premier league,2020-2021,2020
vs Manchester Utd,29,44.2,38.0,22325.0,2587.0,8167.0,9359.0,5007.0,700.0,22321.0,578.0,341.0,59.0,237.0,41.0,11878.0,62186.0,30690.0,573.0,389.0,158.0,540.0,314.0,14115.0,1220.0,Premier League 2020-2021,premier league,2020-2021,2020
vs Newcastle Utd,27,61.8,38.0,27300.0,2012.0,6945.0,13456.0,7127.0,997.0,27295.0,548.0,340.0,62.0,207.0,37.8,15912.0,84335.0,43945.0,851.0,628.0,192.0,554.0,305.0,19388.0,1756.0,Premier League 2020-2021,premier league,2020-2021,2020
vs Sheffield Utd,27,58.5,38.0,26977.0,2292.0,8278.0,12514.0,6434.0,912.0,26973.0,720.0,426.0,59.2,294.0,40.8,15796.0,83459.0,44671.0,828.0,570.0,190.0,553.0,340.0,18866.0,1597.0,Premier League 2020-2021,premier league,2020-2021,2020
vs Southampton,29,47.8,38.0,22361.0,2207.0,7097.0,10104.0,5351.0,831.0,22352.0,731.0,390.0,53.4,341.0,46.6,11913.0,57801.0,27190.0,555.0,407.0,187.0,600.0,386.0,13664.0,1389.0,Premier League 2020-2021,premier league,2020-2021,2020
vs Tottenham,24,48.3,38.0,23499.0,2113.0,6735.0,10940.0,6067.0,901.0,23489.0,683.0,406.0,59.4,277.0,40.6,13448.0,73391.0,36871.0,723.0,561.0,196.0,591.0,359.0,15238.0,1499.0,Premier League 2020-2021,premier league,2020-2021,2020
vs West Brom,30,62.4,38.0,27177.0,2092.0,7386.0,12659.0,7357.0,1039.0,27166.0,656.0,385.0,58.7,271.0,41.3,15605.0,87962.0,48418.0,931.0,719.0,209.0,585.0,310.0,18747.0,1778.0,Premier League 2020-2021,premier league,2020-2021,2020
vs West Ham,24,57.1,38.0,26359.0,2267.0,7386.0,12948.0,6281.0,848.0,26353.0,573.0,349.0,60.9,224.0,39.1,15828.0,87700.0,46678.0,826.0,630.0,169.0,554.0,290.0,18163.0,1679.0,Premier League 2020-2021,premier league,2020-2021,2020
vs Wolves,27,50.7,38.0,23864.0,2112.0,6459.0,11712.0,5891.0,832.0,23856.0,611.0,334.0,54.7,277.0,45.3,13753.0,73986.0,39325.0,699.0,525.0,152.0,509.0,311.0,16147.0,1556.0,Premier League 2020-2021,premier league,2020-2021,2020
vs Alavés,30,57.3,38.0,23128.0,2076.0,6655.0,10894.0,5762.0,716.0,23124.0,565.0,368.0,65.1,197.0,34.9,12586.0,68276.0,35717.0,632.0,488.0,139.0,564.0,302.0,15191.0,1461.0,La Liga 2020-2021,la liga,2020-2021,2020
vs Athletic Club,27,50.2,38.0,22249.0,2418.0,7574.0,9636.0,5255.0,664.0,22243.0,515.0,348.0,67.6,167.0,32.4,12503.0,63220.0,31400.0,589.0,465.0,121.0,557.0,294.0,14174.0,1366.0,La Liga 2020-2021,la liga,2020-2021,2020
vs Atlético Madrid,25,47.6,38.0,22889.0,2326.0,6949.0,10656.0,5476.0,577.0,22885.0,631.0,335.0,53.1,296.0,46.9,12371.0,66054.0,32881.0,557.0,531.0,89.0,516.0,326.0,15032.0,1371.0,La Liga 2020-2021,la liga,2020-2021,2020
vs Barcelona,25,45.0,38.0,18887.0,2541.0,6990.0,8060.0,4070.0,606.0,18882.0,522.0,298.0,57.1,224.0,42.9,10362.0,57617.0,29498.0,529.0,402.0,127.0,534.0,275.0,11631.0,1027.0,La Liga 2020-2021,la liga,2020-2021,2020
vs Betis,25,46.1,38.0,20972.0,2314.0,7011.0,9392.0,4770.0,658.0,20962.0,556.0,345.0,62.1,211.0,37.9,11164.0,59828.0,30800.0,551.0,399.0,127.0,505.0,345.0,13078.0,1297.0,La Liga 2020-2021,la liga,2020-2021,2020
vs Cádiz,34,65.7,38.0,26777.0,1848.0,6813.0,13118.0,7046.0,835.0,26767.0,607.0,360.0,59.3,247.0,40.7,15858.0,87187.0,48593.0,820.0,700.0,146.0,569.0,326.0,18861.0,1876.0,La Liga 2020-2021,la liga,2020-2021,2020
vs Celta Vigo,30,46.3,38.0,20854.0,1927.0,6118.0,9489.0,5453.0,714.0,20846.0,694.0,456.0,65.7,238.0,34.3,10960.0,56851.0,27076.0,578.0,430.0,139.0,637.0,424.0,12701.0,1231.0,La Liga 2020-2021,la liga,2020-2021,2020
vs Eibar,30,50.4,38.0,21668.0,2897.0,9306.0,8407.0,4147.0,603.0,21663.0,519.0,315.0,60.7,203.0,39.1,10485.0,51893.0,24904.0,446.0,317.0,125.0,544.0,311.0,12449.0,1036.0,La Liga 2020-2021,la liga,2020-2021,2020
vs Elche,30,52.4,38.0,22919.0,1668.0,5637.0,11438.0,6060.0,824.0,22909.0,578.0,368.0,63.7,210.0,36.3,14099.0,73905.0,40137.0,702.0,575.0,158.0,526.0,341.0,15541.0,1630.0,La Liga 2020-2021,la liga,2020-2021,2020
vs Getafe,31,57.2,38.0,22842.0,2309.0,8032.0,10578.0,4424.0,496.0,22834.0,619.0,378.0,61.1,241.0,38.9,11476.0,56925.0,27910.0,454.0,333.0,87.0,600.0,338.0,13875.0,1180.0,La Liga 2020-2021,la liga,2020-2021,2020
vs Granada,34,59.0,38.0,23132.0,1938.0,6784.0,10742.0,5793.0,792.0,23121.0,468.0,283.0,60.5,186.0,39.7,12755.0,66716.0,33978.0,636.0,503.0,146.0,590.0,314.0,14910.0,1431.0,La Liga 2020-2021,la liga,2020-2021,2020
vs Huesca,27,51.7,38.0,23054.0,2166.0,6647.0,10739.0,5873.0,741.0,23049.0,579.0,340.0,58.7,239.0,41.3,13402.0,66411.0,33322.0,657.0,474.0,141.0,563.0,317.0,15249.0,1433.0,La Liga 2020-2021,la liga,2020-2021,2020
vs Levante,29,47.6,38.0,20773.0,2104.0,6440.0,9282.0,5282.0,800.0,20769.0,543.0,335.0,61.7,209.0,38.5,11550.0,61623.0,32018.0,625.0,486.0,175.0,505.0,304.0,12942.0,1284.0,La Liga 2020-2021,la liga,2020-2021,2020
vs Osasuna,28,56.9,38.0,24102.0,2239.0,7544.0,11030.0,5720.0,776.0,24093.0,553.0,328.0,59.3,224.0,40.5,12972.0,68706.0,36474.0,678.0,529.0,178.0,594.0,300.0,15223.0,1510.0,La Liga 2020-2021,la liga,2020-2021,2020
