Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,League,league_name,season,season_start
Paços de Ferreira,30,34.0,492.0,285.0,239.0,191.0,62.0,270.0,642.0,42.1,372.0,328.0,109.0,219.0,376.0,868.0,637.0,9.0,Primeira Liga 2021-2022,primeira liga,2021-2022,2021
Portimonense,35,34.0,473.0,280.0,250.0,172.0,51.0,228.0,497.0,45.9,269.0,344.0,131.0,213.0,355.0,828.0,669.0,6.0,Primeira Liga 2021-2022,primeira liga,2021-2022,2021
Porto,33,34.0,553.0,340.0,178.0,258.0,117.0,273.0,573.0,47.6,300.0,299.0,52.0,247.0,323.0,876.0,407.0,6.0,Primeira Liga 2021-2022,primeira liga,2021-2022,2021
Santa Clara,32,34.0,524.0,323.0,279.0,198.0,47.0,262.0,539.0,48.6,277.0,322.0,97.0,225.0,378.0,902.0,657.0,11.0,Primeira Liga 2021-2022,primeira liga,2021-2022,2021
Sporting CP,31,34.0,567.0,333.0,237.0,261.0,69.0,262.0,577.0,45.4,315.0,331.0,67.0,264.0,341.0,908.0,427.0,7.0,Primeira Liga 2021-2022,primeira liga,2021-2022,2021
Tondela,27,34.0,586.0,376.0,330.0,207.0,49.0,305.0,599.0,50.9,294.0,318.0,95.0,223.0,348.0,934.0,669.0,6.0,Primeira Liga 2021-2022,primeira liga,2021-2022,2021
Vitória,31,34.0,470.0,290.0,215.0,188.0,67.0,238.0,516.0,46.1,278.0,279.0,77.0,202.0,322.0,792.0,554.0,10.0,Primeira Liga 2021-2022,primeira liga,2021-2022,2021
Vizela,31,34.0,534.0,322.0,271.0,192.0,71.0,266.0,585.0,45.5,319.0,314.0,99.0,215.0,384.0,918.0,695.0,9.0,Primeira Liga 2021-2022,primeira liga,2021-2022,2021
Barnsley,34,46.0,782.0,476.0,376.0,323.0,83.0,347.0,727.0,47.7,380.0,556.0,138.0,418.0,543.0,1325.0,1013.0,10.0,Championship 2021-2022,championship,2021-2022,2021
Birmingham City,35,46.0,761.0,435.0,370.0,319.0,72.0,342.0,640.0,53.4,298.0,471.0,128.0,343.0,518.0,1279.0,890.0,7.0,Championship 2021-2022,championship,2021-2022,2021
Blackburn,32,46.0,716.0,417.0,336.0,298.0,82.0,312.0,655.0,47.6,343.0,485.0,136.0,349.0,497.0,1213.0,902.0,5.0,Championship 2021-2022,championship,2021-2022,2021
Blackpool,34,46.0,706.0,433.0,326.0,281.0,99.0,263.0,602.0,43.7,339.0,486.0,165.0,321.0,445.0,1151.0,881.0,6.0,Championship 2021-2022,championship,2021-2022,2021
Bournemouth,32,46.0,655.0,385.0,303.0,260.0,92.0,301.0,620.0,48.5,319.0,424.0,114.0,310.0,445.0,1100.0,899.0,9.0,Championship 2021-2022,championship,2021-2022,2021
Bristol City,30,46.0,703.0,388.0,328.0,285.0,90.0,294.0,646.0,45.5,352.0,492.0,181.0,311.0,547.0,1250.0,999.0,14.0,Championship 2021-2022,championship,2021-2022,2021
Cardiff City,32,46.0,680.0,402.0,354.0,256.0,70.0,289.0,591.0,48.9,302.0,408.0,141.0,267.0,447.0,1127.0,902.0,8.0,Championship 2021-2022,championship,2021-2022,2021
Coventry City,25,46.0,744.0,448.0,392.0,285.0,67.0,355.0,768.0,46.2,413.0,479.0,151.0,328.0,455.0,1199.0,826.0,5.0,Championship 2021-2022,championship,2021-2022,2021
Derby County,31,46.0,615.0,378.0,304.0,247.0,64.0,309.0,614.0,50.3,305.0,429.0,149.0,280.0,394.0,1009.0,950.0,20.0,Championship 2021-2022,championship,2021-2022,2021
Fulham,29,46.0,624.0,385.0,270.0,283.0,71.0,297.0,629.0,47.2,332.0,423.0,111.0,312.0,449.0,1073.0,692.0,15.0,Championship 2021-2022,championship,2021-2022,2021
Huddersfield,28,46.0,584.0,355.0,274.0,256.0,54.0,256.0,534.0,47.9,278.0,415.0,154.0,261.0,385.0,969.0,1050.0,12.0,Championship 2021-2022,championship,2021-2022,2021
Hull City,34,46.0,719.0,453.0,368.0,266.0,85.0,353.0,705.0,50.1,352.0,462.0,162.0,300.0,487.0,1206.0,939.0,10.0,Championship 2021-2022,championship,2021-2022,2021
Luton Town,29,46.0,688.0,400.0,340.0,260.0,88.0,292.0,594.0,49.2,302.0,493.0,145.0,348.0,491.0,1179.0,1025.0,12.0,Championship 2021-2022,championship,2021-2022,2021
Middlesbrough,30,46.0,718.0,432.0,338.0,295.0,85.0,330.0,640.0,51.6,310.0,464.0,135.0,329.0,396.0,1114.0,685.0,12.0,Championship 2021-2022,championship,2021-2022,2021
Millwall,26,46.0,722.0,412.0,361.0,287.0,74.0,361.0,733.0,49.2,372.0,526.0,198.0,328.0,503.0,1225.0,897.0,10.0,Championship 2021-2022,championship,2021-2022,2021
Nott'ham Forest,33,46.0,700.0,413.0,376.0,250.0,74.0,287.0,623.0,46.1,336.0,478.0,140.0,338.0,486.0,1186.0,842.0,12.0,Championship 2021-2022,championship,2021-2022,2021
P'borough Utd,33,46.0,797.0,452.0,416.0,319.0,62.0,397.0,787.0,50.4,390.0,520.0,174.0,346.0,475.0,1272.0,917.0,14.0,Championship 2021-2022,championship,2021-2022,2021
Preston,29,46.0,753.0,467.0,363.0,301.0,89.0,343.0,689.0,49.8,346.0,507.0,158.0,349.0,537.0,1290.0,891.0,6.0,Championship 2021-2022,championship,2021-2022,2021
QPR,27,46.0,685.0,403.0,350.0,280.0,55.0,293.0,582.0,50.3,289.0,448.0,163.0,285.0,506.0,1191.0,876.0,16.0,Championship 2021-2022,championship,2021-2022,2021
Reading,36,46.0,745.0,442.0,346.0,309.0,90.0,312.0,687.0,45.4,375.0,493.0,185.0,308.0,470.0,1215.0,930.0,14.0,Championship 2021-2022,championship,2021-2022,2021
Sheffield Utd,33,46.0,690.0,402.0,332.0,268.0,90.0,309.0,615.0,50.2,306.0,382.0,101.0,281.0,412.0,1102.0,773.0,13.0,Championship 2021-2022,championship,2021-2022,2021
Stoke City,34,46.0,684.0,424.0,337.0,265.0,82.0,281.0,594.0,47.3,313.0,451.0,128.0,323.0,497.0,1181.0,872.0,13.0,Championship 2021-2022,championship,2021-2022,2021
Swansea City,31,46.0,568.0,355.0,266.0,223.0,79.0,286.0,618.0,46.3,332.0,371.0,110.0,261.0,347.0,915.0,694.0,18.0,Championship 2021-2022,championship,2021-2022,2021
West Brom,29,46.0,657.0,411.0,310.0,274.0,73.0,306.0,627.0,48.8,321.0,448.0,117.0,331.0,472.0,1129.0,795.0,14.0,Championship 2021-2022,championship,2021-2022,2021
Arminia,26,34.0,552.0,328.0,268.0,229.0,55.0,214.0,536.0,39.9,322.0,393.0,122.0,271.0,418.0,970.0,739.0,9.0,Bundesliga 2020-2021,bundesliga,2020-2021,2020
Augsburg,25,34.0,509.0,308.0,251.0,211.0,47.0,201.0,503.0,40.0,302.0,395.0,116.0,279.0,454.0,963.0,852.0,8.0,Bundesliga 2020-2021,bundesliga,2020-2021,2020
Bayern Munich,29,34.0,510.0,316.0,174.0,231.0,105.0,224.0,541.0,41.4,317.0,388.0,75.0,313.0,399.0,909.0,398.0,10.0,Bundesliga 2020-2021,bundesliga,2020-2021,2020
Dortmund,26,34.0,516.0,318.0,221.0,210.0,85.0,219.0,487.0,45.0,268.0,379.0,95.0,284.0,413.0,929.0,472.0,12.0,Bundesliga 2020-2021,bundesliga,2020-2021,2020
Eint Frankfurt,25,34.0,594.0,352.0,273.0,245.0,76.0,263.0,596.0,44.1,333.0,371.0,77.0,294.0,428.0,1022.0,594.0,10.0,Bundesliga 2020-2021,bundesliga,2020-2021,2020
Freiburg,24,34.0,431.0,247.0,188.0,186.0,57.0,168.0,448.0,37.5,280.0,365.0,118.0,247.0,452.0,883.0,631.0,8.0,Bundesliga 2020-2021,bundesliga,2020-2021,2020
Gladbach,23,34.0,503.0,307.0,221.0,221.0,61.0,215.0,531.0,40.5,316.0,424.0,116.0,308.0,436.0,939.0,616.0,6.0,Bundesliga 2020-2021,bundesliga,2020-2021,2020
Hertha BSC,32,34.0,485.0,270.0,242.0,201.0,42.0,205.0,493.0,41.6,288.0,377.0,89.0,288.0,417.0,902.0,687.0,8.0,Bundesliga 2020-2021,bundesliga,2020-2021,2020
Hoffenheim,30,34.0,508.0,296.0,229.0,204.0,75.0,229.0,539.0,42.5,310.0,370.0,90.0,280.0,431.0,939.0,619.0,8.0,Bundesliga 2020-2021,bundesliga,2020-2021,2020
Köln,28,34.0,586.0,328.0,299.0,234.0,53.0,248.0,546.0,45.4,298.0,382.0,101.0,281.0,429.0,1015.0,670.0,8.0,Bundesliga 2020-2021,bundesliga,2020-2021,2020
Leverkusen,30,34.0,500.0,282.0,209.0,238.0,53.0,213.0,498.0,42.8,285.0,368.0,87.0,281.0,322.0,822.0,481.0,10.0,Bundesliga 2020-2021,bundesliga,2020-2021,2020
Mainz 05,31,34.0,593.0,364.0,266.0,239.0,88.0,258.0,574.0,44.9,316.0,419.0,109.0,310.0,500.0,1093.0,662.0,6.0,Bundesliga 2020-2021,bundesliga,2020-2021,2020
RB Leipzig,25,34.0,460.0,305.0,167.0,229.0,64.0,190.0,460.0,41.3,270.0,336.0,63.0,273.0,353.0,813.0,504.0,5.0,Bundesliga 2020-2021,bundesliga,2020-2021,2020
Schalke 04,42,34.0,552.0,337.0,283.0,224.0,45.0,203.0,546.0,37.2,343.0,437.0,143.0,294.0,411.0,963.0,693.0,12.0,Bundesliga 2020-2021,bundesliga,2020-2021,2020
Stuttgart,29,34.0,496.0,294.0,227.0,201.0,68.0,235.0,531.0,44.3,296.0,379.0,108.0,271.0,426.0,922.0,654.0,8.0,Bundesliga 2020-2021,bundesliga,2020-2021,2020
Union Berlin,27,34.0,503.0,283.0,240.0,218.0,45.0,232.0,501.0,46.3,269.0,367.0,85.0,282.0,405.0,908.0,605.0,9.0,Bundesliga 2020-2021,bundesliga,2020-2021,2020
Werder Bremen,27,34.0,542.0,333.0,270.0,217.0,55.0,228.0,556.0,41.0,328.0,368.0,101.0,267.0,407.0,949.0,798.0,10.0,Bundesliga 2020-2021,bundesliga,2020-2021,2020
Wolfsburg,26,34.0,594.0,363.0,271.0,256.0,67.0,271.0,599.0,45.2,328.0,465.0,79.0,386.0,477.0,1071.0,700.0,6.0,Bundesliga 2020-2021,bundesliga,2020-2021,2020
Arsenal,29,38.0,456.0,252.0,206.0,184.0,66.0,212.0,547.0,38.8,335.0,368.0,113.0,255.0,351.0,807.0,643.0,16.0,Premier League 2020-2021,premier league,2020-2021,2020
Aston Villa,24,38.0,530.0,282.0,262.0,202.0,66.0,250.0,571.0,43.8,321.0,438.0,159.0,279.0,387.0,917.0,783.0,17.0,Premier League 2020-2021,premier league,2020-2021,2020
Brighton,27,38.0,628.0,334.0,297.0,251.0,80.0,252.0,603.0,41.8,351.0,417.0,97.0,320.0,425.0,1053.0,604.0,8.0,Premier League 2020-2021,premier league,2020-2021,2020
Burnley,25,38.0,507.0,293.0,241.0,203.0,63.0,229.0,564.0,40.6,335.0,440.0,180.0,260.0,416.0,923.0,824.0,11.0,Premier League 2020-2021,premier league,2020-2021,2020
Chelsea,27,38.0,612.0,341.0,257.0,282.0,73.0,231.0,570.0,40.5,339.0,420.0,83.0,337.0,382.0,994.0,661.0,16.0,Premier League 2020-2021,premier league,2020-2021,2020
Crystal Palace,24,38.0,636.0,366.0,329.0,234.0,73.0,283.0,620.0,45.6,337.0,447.0,138.0,309.0,396.0,1032.0,774.0,13.0,Premier League 2020-2021,premier league,2020-2021,2020
Everton,29,38.0,640.0,381.0,325.0,242.0,73.0,266.0,664.0,40.1,398.0,458.0,157.0,301.0,392.0,1032.0,847.0,19.0,Premier League 2020-2021,premier league,2020-2021,2020
Fulham,28,38.0,601.0,329.0,282.0,231.0,88.0,254.0,581.0,43.7,327.0,356.0,95.0,261.0,437.0,1038.0,794.0,13.0,Premier League 2020-2021,premier league,2020-2021,2020
Leeds United,23,38.0,740.0,417.0,378.0,279.0,83.0,310.0,769.0,40.3,459.0,406.0,149.0,257.0,397.0,1137.0,646.0,26.0,Premier League 2020-2021,premier league,2020-2021,2020
Leicester City,27,38.0,681.0,403.0,319.0,263.0,99.0,295.0,676.0,43.6,381.0,386.0,90.0,296.0,438.0,1119.0,685.0,9.0,Premier League 2020-2021,premier league,2020-2021,2020
Liverpool,28,38.0,526.0,303.0,195.0,231.0,100.0,220.0,543.0,40.5,323.0,338.0,58.0,280.0,347.0,873.0,563.0,20.0,Premier League 2020-2021,premier league,2020-2021,2020
Manchester City,24,38.0,498.0,271.0,198.0,212.0,88.0,234.0,576.0,40.6,342.0,310.0,82.0,228.0,319.0,817.0,453.0,11.0,Premier League 2020-2021,premier league,2020-2021,2020
Manchester Utd,29,38.0,551.0,311.0,252.0,239.0,60.0,231.0,572.0,40.4,341.0,418.0,116.0,302.0,386.0,937.0,634.0,20.0,Premier League 2020-2021,premier league,2020-2021,2020
Newcastle Utd,27,38.0,512.0,268.0,257.0,213.0,42.0,207.0,547.0,37.8,340.0,423.0,160.0,263.0,362.0,874.0,908.0,10.0,Premier League 2020-2021,premier league,2020-2021,2020
Sheffield Utd,27,38.0,634.0,356.0,325.0,239.0,70.0,294.0,720.0,40.8,426.0,442.0,152.0,290.0,351.0,985.0,839.0,19.0,Premier League 2020-2021,premier league,2020-2021,2020
Southampton,29,38.0,727.0,419.0,335.0,325.0,67.0,341.0,731.0,46.6,390.0,439.0,95.0,344.0,401.0,1128.0,681.0,10.0,Premier League 2020-2021,premier league,2020-2021,2020
Tottenham,24,38.0,636.0,361.0,313.0,244.0,79.0,277.0,683.0,40.6,406.0,434.0,147.0,287.0,342.0,978.0,795.0,15.0,Premier League 2020-2021,premier league,2020-2021,2020
West Brom,30,38.0,581.0,328.0,329.0,192.0,60.0,271.0,656.0,41.3,385.0,455.0,159.0,296.0,435.0,1016.0,876.0,13.0,Premier League 2020-2021,premier league,2020-2021,2020
West Ham,24,38.0,514.0,280.0,269.0,195.0,50.0,224.0,573.0,39.1,349.0,405.0,124.0,281.0,437.0,951.0,779.0,11.0,Premier League 2020-2021,premier league,2020-2021,2020
Wolves,27,38.0,588.0,335.0,322.0,220.0,46.0,277.0,611.0,45.3,334.0,359.0,117.0,242.0,432.0,1020.0,727.0,15.0,Premier League 2020-2021,premier league,2020-2021,2020
Alavés,30,38.0,499.0,292.0,263.0,181.0,55.0,197.0,565.0,34.9,368.0,341.0,90.0,251.0,428.0,927.0,766.0,8.0,La Liga 2020-2021,la liga,2020-2021,2020
Athletic Club,27,38.0,461.0,269.0,194.0,200.0,67.0,167.0,515.0,32.4,348.0,341.0,74.0,267.0,344.0,805.0,684.0,9.0,La Liga 2020-2021,la liga,2020-2021,2020
Atlético Madrid,25,38.0,622.0,367.0,291.0,253.0,78.0,296.0,631.0,46.9,335.0,361.0,83.0,278.0,386.0,1008.0,671.0,7.0,La Liga 2020-2021,la liga,2020-2021,2020
Barcelona,25,38.0,499.0,293.0,223.0,195.0,81.0,224.0,522.0,42.9,298.0,325.0,70.0,255.0,361.0,860.0,429.0,16.0,La Liga 2020-2021,la liga,2020-2021,2020
Betis,25,38.0,556.0,314.0,274.0,220.0,62.0,211.0,556.0,37.9,345.0,361.0,74.0,287.0,452.0,1008.0,687.0,11.0,La Liga 2020-2021,la liga,2020-2021,2020
Cádiz,34,38.0,573.0,317.0,305.0,216.0,52.0,247.0,607.0,40.7,360.0,368.0,99.0,269.0,437.0,1010.0,788.0,8.0,La Liga 2020-2021,la liga,2020-2021,2020
Celta Vigo,30,38.0,662.0,368.0,332.0,259.0,71.0,238.0,694.0,34.3,456.0,399.0,89.0,310.0,405.0,1067.0,751.0,12.0,La Liga 2020-2021,la liga,2020-2021,2020
Eibar,30,38.0,514.0,309.0,228.0,204.0,82.0,203.0,518.0,39.2,315.0,360.0,63.0,297.0,434.0,948.0,593.0,11.0,La Liga 2020-2021,la liga,2020-2021,2020
Elche,30,38.0,551.0,335.0,324.0,189.0,38.0,210.0,578.0,36.3,368.0,357.0,97.0,260.0,386.0,937.0,689.0,11.0,La Liga 2020-2021,la liga,2020-2021,2020
Getafe,31,38.0,579.0,352.0,232.0,276.0,71.0,241.0,619.0,38.9,378.0,361.0,53.0,308.0,393.0,972.0,615.0,4.0,La Liga 2020-2021,la liga,2020-2021,2020
Granada,34,38.0,499.0,279.0,226.0,213.0,60.0,185.0,468.0,39.5,283.0,388.0,128.0,260.0,392.0,891.0,764.0,7.0,La Liga 2020-2021,la liga,2020-2021,2020
Huesca,27,38.0,556.0,322.0,309.0,191.0,56.0,239.0,579.0,41.3,340.0,342.0,83.0,259.0,437.0,993.0,616.0,7.0,La Liga 2020-2021,la liga,2020-2021,2020
Levante,29,38.0,512.0,283.0,268.0,189.0,55.0,208.0,543.0,38.3,335.0,336.0,94.0,242.0,432.0,944.0,680.0,15.0,La Liga 2020-2021,la liga,2020-2021,2020
Osasuna,28,38.0,524.0,281.0,223.0,217.0,84.0,224.0,552.0,40.6,328.0,349.0,100.0,249.0,392.0,916.0,774.0,7.0,La Liga 2020-2021,la liga,2020-2021,2020
Real Madrid,30,38.0,531.0,318.0,266.0,188.0,77.0,192.0,532.0,36.1,340.0,344.0,83.0,261.0,398.0,929.0,544.0,12.0,La Liga 2020-2021,la liga,2020-2021,2020
Real Sociedad,30,38.0,547.0,322.0,240.0,227.0,80.0,200.0,480.0,41.7,280.0,353.0,96.0,257.0,315.0,862.0,563.0,5.0,La Liga 2020-2021,la liga,2020-2021,2020
Sevilla,26,38.0,492.0,297.0,220.0,200.0,72.0,184.0,510.0,36.1,326.0,310.0,90.0,220.0,362.0,854.0,636.0,10.0,La Liga 2020-2021,la liga,2020-2021,2020
Valencia,30,38.0,463.0,277.0,241.0,163.0,59.0,198.0,592.0,33.4,394.0,372.0,123.0,249.0,392.0,855.0,785.0,12.0,La Liga 2020-2021,la liga,2020-2021,2020
Valladolid,32,38.0,559.0,321.0,285.0,208.0,66.0,247.0,681.0,36.3,434.0,379.0,102.0,277.0,431.0,990.0,812.0,9.0,La Liga 2020-2021,la liga,2020-2021,2020
Villarreal,29,38.0,539.0,313.0,256.0,205.0,78.0,239.0,588.0,40.6,349.0,358.0,101.0,257.0,371.0,910.0,638.0,17.0,La Liga 2020-2021,la liga,2020-2021,2020
Atalanta,30,38.0,606.0,343.0,252.0,256.0,98.0,265.0,591.0,44.8,326.0,421.0,92.0,329.0,516.0,1122.0,484.0,11.0,Serie A 2020-2021,serie a,2020-2021,2020
Benevento,29,38.0,511.0,288.0,278.0,179.0,54.0,243.0,646.0,37.6,403.0,382.0,123.0,259.0,383.0,894.0,746.0,13.0,Serie A 2020-2021,serie a,2020-2021,2020
Bologna,37,38.0,542.0,313.0,273.0,186.0,83.0,209.0,538.0,38.8,329.0,452.0,147.0,305.0,424.0,966.0,740.0,21.0,Serie A 2020-2021,serie a,2020-2021,2020
Cagliari,32,38.0,589.0,336.0,296.0,229.0,64.0,269.0,647.0,41.6,378.0,421.0,130.0,291.0,388.0,977.0,777.0,6.0,Serie A 2020-2021,serie a,2020-2021,2020
Crotone,31,38.0,540.0,311.0,288.0,196.0,56.0,225.0,556.0,40.5,331.0,406.0,137.0,269.0,380.0,920.0,748.0,12.0,Serie A 2020-2021,serie a,2020-2021,2020
Fiorentina,30,38.0,496.0,263.0,228.0,198.0,70.0,229.0,544.0,42.1,315.0,362.0,127.0,235.0,388.0,884.0,619.0,8.0,Serie A 2020-2021,serie a,2020-2021,2020
Genoa,34,38.0,555.0,309.0,293.0,197.0,65.0,255.0,640.0,39.8,385.0,437.0,123.0,314.0,519.0,1074.0,785.0,12.0,Serie A 2020-2021,serie a,2020-2021,2020
Hellas Verona,32,38.0,465.0,269.0,224.0,183.0,58.0,173.0,413.0,41.9,240.0,374.0,144.0,230.0,492.0,957.0,756.0,12.0,Serie A 2020-2021,serie a,2020-2021,2020
Inter,25,38.0,506.0,286.0,214.0,206.0,86.0,213.0,527.0,40.4,314.0,383.0,102.0,281.0,371.0,877.0,582.0,8.0,Serie A 2020-2021,serie a,2020-2021,2020
Juventus,30,38.0,566.0,323.0,244.0,242.0,80.0,243.0,612.0,39.7,369.0,390.0,114.0,276.0,458.0,1024.0,581.0,14.0,Serie A 2020-2021,serie a,2020-2021,2020
Lazio,30,38.0,595.0,346.0,284.0,244.0,67.0,254.0,678.0,37.5,424.0,404.0,92.0,312.0,445.0,1040.0,649.0,7.0,Serie A 2020-2021,serie a,2020-2021,2020
Milan,29,38.0,627.0,357.0,299.0,257.0,71.0,276.0,605.0,45.6,329.0,435.0,133.0,302.0,382.0,1009.0,732.0,13.0,Serie A 2020-2021,serie a,2020-2021,2020
Napoli,25,38.0,574.0,345.0,280.0,213.0,81.0,257.0,635.0,40.5,378.0,381.0,98.0,283.0,369.0,943.0,532.0,17.0,Serie A 2020-2021,serie a,2020-2021,2020
Parma,42,38.0,585.0,317.0,317.0,215.0,53.0,269.0,695.0,38.7,426.0,412.0,116.0,296.0,463.0,1048.0,806.0,14.0,Serie A 2020-2021,serie a,2020-2021,2020
Roma,31,38.0,478.0,273.0,192.0,218.0,68.0,206.0,582.0,35.4,376.0,360.0,83.0,277.0,489.0,967.0,521.0,26.0,Serie A 2020-2021,serie a,2020-2021,2020
Sampdoria,27,38.0,576.0,326.0,275.0,235.0,66.0,251.0,634.0,39.6,383.0,470.0,154.0,316.0,453.0,1029.0,745.0,6.0,Serie A 2020-2021,serie a,2020-2021,2020
Sassuolo,28,38.0,528.0,310.0,276.0,164.0,88.0,241.0,543.0,44.4,302.0,383.0,141.0,242.0,426.0,954.0,629.0,11.0,Serie A 2020-2021,serie a,2020-2021,2020
Spezia,35,38.0,567.0,318.0,264.0,223.0,80.0,265.0,617.0,42.9,352.0,364.0,101.0,263.0,395.0,962.0,551.0,12.0,Serie A 2020-2021,serie a,2020-2021,2020
Torino,29,38.0,530.0,306.0,241.0,205.0,84.0,247.0,569.0,43.4,322.0,412.0,127.0,285.0,444.0,974.0,727.0,13.0,Serie A 2020-2021,serie a,2020-2021,2020
Udinese,33,38.0,502.0,294.0,264.0,199.0,39.0,209.0,547.0,38.2,338.0,428.0,131.0,297.0,440.0,942.0,683.0,8.0,Serie A 2020-2021,serie a,2020-2021,2020
Angers,31,38.0,626.0,376.0,302.0,256.0,68.0,314.0,754.0,41.6,440.0,330.0,78.0,252.0,443.0,1069.0,654.0,1.0,Ligue 1 2020-2021,ligue 1,2020-2021,2020
Bordeaux,28,38.0,567.0,329.0,294.0,212.0,61.0,253.0,623.0,40.6,370.0,383.0,123.0,260.0,503.0,1070.0,677.0,9.0,Ligue 1 2020-2021,ligue 1,2020-2021,2020
Brest,26,38.0,610.0,355.0,321.0,236.0,53.0,284.0,633.0,44.9,349.0,358.0,109.0,249.0,463.0,1073.0,685.0,12.0,Ligue 1 2020-2021,ligue 1,2020-2021,2020
Dijon,33,38.0,601.0,367.0,329.0,225.0,47.0,278.0,661.0,42.1,383.0,351.0,112.0,239.0,471.0,1072.0,729.0,16.0,Ligue 1 2020-2021,ligue 1,2020-2021,2020
Lens,27,38.0,601.0,358.0,264.0,253.0,84.0,237.0,533.0,44.5,296.0,375.0,92.0,283.0,508.0,1109.0,690.0,12.0,Ligue 1 2020-2021,ligue 1,2020-2021,2020
Lille,21,38.0,653.0,370.0,273.0,288.0,92.0,305.0,707.0,43.1,402.0,339.0,90.0,249.0,424.0,1077.0,590.0,6.0,Ligue 1 2020-2021,ligue 1,2020-2021,2020
Lorient,27,38.0,722.0,424.0,353.0,303.0,66.0,333.0,812.0,41.0,479.0,422.0,114.0,308.0,527.0,1249.0,670.0,11.0,Ligue 1 2020-2021,ligue 1,2020-2021,2020
Lyon,29,38.0,583.0,344.0,250.0,249.0,84.0,264.0,639.0,41.3,375.0,366.0,115.0,251.0,408.0,991.0,595.0,14.0,Ligue 1 2020-2021,ligue 1,2020-2021,2020
Marseille,31,38.0,655.0,391.0,266.0,302.0,87.0,313.0,667.0,46.9,354.0,365.0,105.0,260.0,442.0,1097.0,710.0,12.0,Ligue 1 2020-2021,ligue 1,2020-2021,2020
Metz,27,38.0,685.0,417.0,368.0,252.0,65.0,305.0,675.0,45.2,370.0,394.0,116.0,278.0,572.0,1257.0,745.0,9.0,Ligue 1 2020-2021,ligue 1,2020-2021,2020
Monaco,30,38.0,733.0,432.0,296.0,346.0,91.0,332.0,696.0,47.7,364.0,356.0,66.0,290.0,436.0,1169.0,513.0,15.0,Ligue 1 2020-2021,ligue 1,2020-2021,2020
Montpellier,25,38.0,529.0,334.0,301.0,183.0,45.0,284.0,707.0,40.2,423.0,372.0,150.0,222.0,420.0,949.0,705.0,14.0,Ligue 1 2020-2021,ligue 1,2020-2021,2020
Nantes,25,38.0,696.0,384.0,357.0,271.0,68.0,368.0,777.0,47.4,409.0,392.0,107.0,285.0,465.0,1161.0,708.0,6.0,Ligue 1 2020-2021,ligue 1,2020-2021,2020
Nice,31,38.0,599.0,364.0,281.0,243.0,75.0,256.0,628.0,40.8,372.0,355.0,123.0,232.0,435.0,1034.0,644.0,15.0,Ligue 1 2020-2021,ligue 1,2020-2021,2020
Nîmes,33,38.0,625.0,372.0,301.0,244.0,80.0,310.0,709.0,43.7,399.0,407.0,122.0,285.0,501.0,1126.0,710.0,17.0,Ligue 1 2020-2021,ligue 1,2020-2021,2020
Paris S-G,33,38.0,609.0,385.0,217.0,278.0,114.0,293.0,700.0,41.9,407.0,327.0,81.0,246.0,373.0,982.0,448.0,22.0,Ligue 1 2020-2021,ligue 1,2020-2021,2020
Reims,29,38.0,656.0,372.0,336.0,242.0,78.0,276.0,645.0,42.8,369.0,335.0,121.0,214.0,487.0,1143.0,762.0,18.0,Ligue 1 2020-2021,ligue 1,2020-2021,2020
Rennes,32,38.0,587.0,337.0,242.0,254.0,91.0,234.0,564.0,41.5,330.0,347.0,74.0,273.0,361.0,948.0,510.0,12.0,Ligue 1 2020-2021,ligue 1,2020-2021,2020
Saint-Étienne,40,38.0,716.0,428.0,394.0,253.0,69.0,326.0,700.0,46.6,374.0,374.0,88.0,286.0,471.0,1187.0,665.0,10.0,Ligue 1 2020-2021,ligue 1,2020-2021,2020
Strasbourg,26,38.0,633.0,396.0,313.0,247.0,73.0,280.0,615.0,45.5,335.0,303.0,77.0,226.0,521.0,1154.0,641.0,11.0,Ligue 1 2020-2021,ligue 1,2020-2021,2020
ADO Den Haag,37,34.0,542.0,320.0,324.0,180.0,38.0,241.0,553.0,43.6,312.0,400.0,176.0,224.0,420.0,962.0,789.0,13.0,Eredivisie 2020-2021,eredivisie,2020-2021,2020
Ajax,30,34.0,548.0,327.0,200.0,241.0,107.0,200.0,513.0,39.0,313.0,324.0,64.0,260.0,408.0,956.0,377.0,7.0,Eredivisie 2020-2021,eredivisie,2020-2021,2020
AZ Alkmaar,25,34.0,490.0,276.0,184.0,234.0,72.0,214.0,517.0,41.4,303.0,298.0,83.0,215.0,405.0,895.0,511.0,5.0,Eredivisie 2020-2021,eredivisie,2020-2021,2020
Emmen,32,34.0,553.0,319.0,283.0,215.0,55.0,213.0,572.0,37.2,359.0,345.0,113.0,232.0,375.0,928.0,676.0,16.0,Eredivisie 2020-2021,eredivisie,2020-2021,2020
Feyenoord,30,34.0,572.0,346.0,259.0,239.0,74.0,238.0,569.0,41.8,331.0,331.0,75.0,256.0,410.0,982.0,543.0,12.0,Eredivisie 2020-2021,eredivisie,2020-2021,2020
Fortuna Sittard,30,34.0,574.0,334.0,280.0,227.0,67.0,255.0,613.0,41.6,358.0,355.0,107.0,248.0,459.0,1033.0,782.0,6.0,Eredivisie 2020-2021,eredivisie,2020-2021,2020
