Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,League,league_name,season,season_start
vs Sporting CP,31,34.0,13161.0,11434.0,1640.0,525.0,42.0,120.0,402.0,592.0,98.0,50.0,31.0,1.0,9896.0,87.0,285.0,Primeira Liga 2021-2022,primeira liga,2021-2022,2021
vs Tondela,27,34.0,17123.0,15203.0,1856.0,527.0,41.0,191.0,657.0,834.0,185.0,84.0,55.0,3.0,13728.0,64.0,269.0,Primeira Liga 2021-2022,primeira liga,2021-2022,2021
vs Vitória,31,34.0,15896.0,14010.0,1804.0,590.0,55.0,148.0,507.0,692.0,169.0,63.0,83.0,0.0,12508.0,82.0,231.0,Primeira Liga 2021-2022,primeira liga,2021-2022,2021
vs Vizela,31,34.0,17163.0,15222.0,1899.0,537.0,49.0,157.0,694.0,803.0,202.0,99.0,58.0,1.0,13668.0,42.0,259.0,Primeira Liga 2021-2022,primeira liga,2021-2022,2021
vs Barnsley,34,46.0,23881.0,21230.0,2507.0,601.0,57.0,193.0,879.0,1244.0,263.0,120.0,79.0,7.0,17367.0,144.0,477.0,Championship 2021-2022,championship,2021-2022,2021
vs Birmingham City,35,46.0,20743.0,18034.0,2615.0,605.0,59.0,153.0,755.0,1280.0,242.0,124.0,66.0,14.0,14812.0,94.0,383.0,Championship 2021-2022,championship,2021-2022,2021
vs Blackburn,32,46.0,22058.0,19598.0,2405.0,591.0,42.0,143.0,772.0,1166.0,203.0,127.0,55.0,4.0,16126.0,55.0,400.0,Championship 2021-2022,championship,2021-2022,2021
vs Blackpool,34,46.0,22051.0,19518.0,2431.0,528.0,47.0,133.0,762.0,1211.0,218.0,117.0,63.0,4.0,16199.0,102.0,364.0,Championship 2021-2022,championship,2021-2022,2021
vs Bournemouth,32,46.0,18756.0,16123.0,2490.0,546.0,25.0,173.0,790.0,1190.0,224.0,106.0,51.0,5.0,13201.0,143.0,353.0,Championship 2021-2022,championship,2021-2022,2021
vs Bristol City,30,46.0,22865.0,20411.0,2351.0,542.0,54.0,145.0,936.0,1072.0,279.0,163.0,63.0,8.0,16973.0,103.0,379.0,Championship 2021-2022,championship,2021-2022,2021
vs Cardiff City,32,46.0,23039.0,20526.0,2439.0,611.0,48.0,137.0,750.0,1150.0,233.0,133.0,39.0,4.0,17244.0,74.0,305.0,Championship 2021-2022,championship,2021-2022,2021
vs Coventry City,25,46.0,21182.0,18708.0,2400.0,559.0,32.0,162.0,777.0,1142.0,196.0,93.0,60.0,9.0,15573.0,74.0,388.0,Championship 2021-2022,championship,2021-2022,2021
vs Derby County,31,46.0,20909.0,18565.0,2255.0,505.0,34.0,169.0,869.0,1120.0,224.0,105.0,64.0,9.0,15559.0,89.0,344.0,Championship 2021-2022,championship,2021-2022,2021
vs Fulham,29,46.0,18003.0,15662.0,2236.0,512.0,21.0,126.0,629.0,964.0,187.0,101.0,39.0,12.0,12976.0,105.0,371.0,Championship 2021-2022,championship,2021-2022,2021
vs Huddersfield,28,46.0,23482.0,21213.0,2167.0,476.0,34.0,180.0,958.0,1047.0,224.0,88.0,74.0,10.0,18195.0,102.0,328.0,Championship 2021-2022,championship,2021-2022,2021
vs Hull City,34,46.0,23336.0,20973.0,2303.0,559.0,42.0,141.0,867.0,1075.0,219.0,116.0,61.0,9.0,17960.0,60.0,347.0,Championship 2021-2022,championship,2021-2022,2021
vs Luton Town,29,46.0,21718.0,18993.0,2651.0,647.0,27.0,135.0,909.0,1272.0,225.0,132.0,50.0,6.0,15344.0,74.0,403.0,Championship 2021-2022,championship,2021-2022,2021
vs Middlesbrough,30,46.0,19952.0,17583.0,2308.0,519.0,33.0,107.0,663.0,1107.0,203.0,122.0,37.0,7.0,14646.0,61.0,378.0,Championship 2021-2022,championship,2021-2022,2021
vs Millwall,26,46.0,22174.0,19757.0,2375.0,559.0,36.0,104.0,784.0,1121.0,248.0,130.0,68.0,4.0,16282.0,42.0,378.0,Championship 2021-2022,championship,2021-2022,2021
vs Nott'ham Forest,33,46.0,20418.0,18012.0,2326.0,558.0,32.0,129.0,803.0,1095.0,199.0,112.0,48.0,6.0,15062.0,80.0,402.0,Championship 2021-2022,championship,2021-2022,2021
vs P'borough Utd,33,46.0,22884.0,20600.0,2238.0,540.0,37.0,147.0,952.0,1037.0,259.0,132.0,66.0,18.0,17519.0,46.0,421.0,Championship 2021-2022,championship,2021-2022,2021
vs Preston,29,46.0,20916.0,18355.0,2485.0,605.0,41.0,133.0,817.0,1209.0,221.0,106.0,58.0,12.0,15101.0,76.0,404.0,Championship 2021-2022,championship,2021-2022,2021
vs QPR,27,46.0,20333.0,17890.0,2351.0,533.0,46.0,176.0,823.0,1105.0,239.0,136.0,57.0,11.0,14738.0,92.0,329.0,Championship 2021-2022,championship,2021-2022,2021
vs Reading,36,46.0,23478.0,21225.0,2201.0,513.0,39.0,191.0,966.0,1046.0,237.0,119.0,56.0,9.0,18237.0,52.0,378.0,Championship 2021-2022,championship,2021-2022,2021
vs Sheffield Utd,33,46.0,18841.0,16364.0,2365.0,578.0,46.0,171.0,696.0,1072.0,180.0,78.0,65.0,5.0,13354.0,112.0,336.0,Championship 2021-2022,championship,2021-2022,2021
vs Stoke City,34,46.0,20940.0,18501.0,2337.0,539.0,30.0,174.0,800.0,1126.0,235.0,116.0,68.0,8.0,15247.0,102.0,383.0,Championship 2021-2022,championship,2021-2022,2021
vs Swansea City,31,46.0,16975.0,14834.0,2041.0,499.0,34.0,111.0,790.0,925.0,225.0,117.0,67.0,13.0,12453.0,100.0,314.0,Championship 2021-2022,championship,2021-2022,2021
vs West Brom,29,46.0,19429.0,16798.0,2499.0,540.0,50.0,144.0,618.0,1203.0,181.0,88.0,49.0,14.0,13166.0,132.0,373.0,Championship 2021-2022,championship,2021-2022,2021
vs Arminia,26,34.0,20180.0,18429.0,1675.0,418.0,19.0,157.0,713.0,786.0,186.0,86.0,68.0,1.0,16172.0,76.0,331.0,Bundesliga 2020-2021,bundesliga,2020-2021,2020
vs Augsburg,25,34.0,20111.0,18291.0,1727.0,433.0,20.0,131.0,846.0,804.0,186.0,68.0,89.0,2.0,16032.0,93.0,356.0,Bundesliga 2020-2021,bundesliga,2020-2021,2020
vs Bayern Munich,29,34.0,14425.0,12726.0,1596.0,369.0,38.0,132.0,451.0,632.0,119.0,50.0,41.0,0.0,10814.0,103.0,338.0,Bundesliga 2020-2021,bundesliga,2020-2021,2020
vs Dortmund,26,34.0,15088.0,13550.0,1497.0,406.0,14.0,113.0,456.0,579.0,127.0,50.0,48.0,3.0,11643.0,41.0,310.0,Bundesliga 2020-2021,bundesliga,2020-2021,2020
vs Eint Frankfurt,25,34.0,15827.0,13975.0,1773.0,506.0,23.0,149.0,599.0,713.0,160.0,75.0,64.0,0.0,11768.0,79.0,335.0,Bundesliga 2020-2021,bundesliga,2020-2021,2020
vs Freiburg,24,34.0,17984.0,16318.0,1625.0,461.0,16.0,119.0,604.0,693.0,151.0,65.0,68.0,0.0,14286.0,41.0,291.0,Bundesliga 2020-2021,bundesliga,2020-2021,2020
vs Gladbach,23,34.0,17721.0,16050.0,1603.0,457.0,18.0,92.0,607.0,680.0,140.0,57.0,60.0,0.0,13907.0,68.0,342.0,Bundesliga 2020-2021,bundesliga,2020-2021,2020
vs Hertha BSC,32,34.0,16634.0,14896.0,1695.0,516.0,16.0,140.0,640.0,707.0,160.0,70.0,64.0,1.0,12941.0,43.0,350.0,Bundesliga 2020-2021,bundesliga,2020-2021,2020
vs Hoffenheim,30,34.0,17328.0,15536.0,1682.0,458.0,27.0,139.0,579.0,715.0,159.0,49.0,70.0,0.0,13485.0,110.0,321.0,Bundesliga 2020-2021,bundesliga,2020-2021,2020
vs Köln,28,34.0,18677.0,16928.0,1696.0,448.0,20.0,117.0,616.0,784.0,159.0,70.0,67.0,0.0,14912.0,53.0,323.0,Bundesliga 2020-2021,bundesliga,2020-2021,2020
vs Leverkusen,30,34.0,14689.0,13044.0,1576.0,481.0,19.0,91.0,500.0,623.0,121.0,57.0,49.0,0.0,10912.0,69.0,322.0,Bundesliga 2020-2021,bundesliga,2020-2021,2020
vs Mainz 05,31,34.0,20270.0,18410.0,1808.0,527.0,15.0,130.0,652.0,807.0,162.0,64.0,70.0,0.0,16142.0,52.0,347.0,Bundesliga 2020-2021,bundesliga,2020-2021,2020
vs RB Leipzig,25,34.0,14505.0,12704.0,1725.0,494.0,11.0,87.0,440.0,700.0,123.0,61.0,46.0,0.0,10611.0,76.0,309.0,Bundesliga 2020-2021,bundesliga,2020-2021,2020
vs Schalke 04,42,34.0,18465.0,16697.0,1690.0,454.0,31.0,117.0,681.0,780.0,204.0,81.0,87.0,0.0,14720.0,78.0,334.0,Bundesliga 2020-2021,bundesliga,2020-2021,2020
vs Stuttgart,29,34.0,16812.0,15135.0,1633.0,451.0,13.0,98.0,660.0,681.0,162.0,68.0,70.0,0.0,12966.0,44.0,322.0,Bundesliga 2020-2021,bundesliga,2020-2021,2020
vs Union Berlin,27,34.0,19632.0,17834.0,1749.0,500.0,14.0,126.0,531.0,771.0,141.0,54.0,70.0,0.0,15603.0,49.0,315.0,Bundesliga 2020-2021,bundesliga,2020-2021,2020
vs Werder Bremen,27,34.0,19910.0,18159.0,1670.0,438.0,13.0,148.0,740.0,778.0,170.0,71.0,59.0,0.0,15964.0,81.0,324.0,Bundesliga 2020-2021,bundesliga,2020-2021,2020
vs Wolfsburg,26,34.0,16502.0,14533.0,1914.0,497.0,18.0,135.0,610.0,868.0,178.0,83.0,75.0,1.0,12302.0,55.0,427.0,Bundesliga 2020-2021,bundesliga,2020-2021,2020
vs Arsenal,29,38.0,19093.0,17471.0,1569.0,387.0,14.0,111.0,652.0,657.0,166.0,70.0,55.0,9.0,15355.0,53.0,290.0,Premier League 2020-2021,premier league,2020-2021,2020
vs Aston Villa,24,38.0,18381.0,16552.0,1782.0,473.0,16.0,151.0,784.0,735.0,194.0,86.0,62.0,5.0,14251.0,47.0,321.0,Premier League 2020-2021,premier league,2020-2021,2020
vs Brighton,27,38.0,19240.0,17411.0,1775.0,459.0,16.0,102.0,625.0,752.0,165.0,74.0,40.0,2.0,15268.0,54.0,367.0,Premier League 2020-2021,premier league,2020-2021,2020
vs Burnley,25,38.0,21670.0,19780.0,1811.0,443.0,24.0,162.0,801.0,796.0,237.0,76.0,74.0,7.0,16991.0,79.0,323.0,Premier League 2020-2021,premier league,2020-2021,2020
vs Chelsea,27,38.0,16703.0,14805.0,1844.0,485.0,15.0,101.0,533.0,821.0,160.0,64.0,52.0,7.0,12794.0,54.0,381.0,Premier League 2020-2021,premier league,2020-2021,2020
vs Crystal Palace,24,38.0,23089.0,21282.0,1761.0,440.0,19.0,246.0,795.0,815.0,230.0,99.0,91.0,9.0,19019.0,46.0,374.0,Premier League 2020-2021,premier league,2020-2021,2020
vs Everton,29,38.0,21555.0,19747.0,1766.0,423.0,28.0,136.0,746.0,794.0,226.0,101.0,69.0,9.0,17667.0,42.0,364.0,Premier League 2020-2021,premier league,2020-2021,2020
vs Fulham,28,38.0,20041.0,18089.0,1849.0,485.0,26.0,116.0,693.0,829.0,192.0,68.0,87.0,5.0,15762.0,103.0,326.0,Premier League 2020-2021,premier league,2020-2021,2020
vs Leeds United,23,38.0,15291.0,13322.0,1916.0,478.0,20.0,57.0,613.0,807.0,211.0,104.0,92.0,6.0,11293.0,53.0,312.0,Premier League 2020-2021,premier league,2020-2021,2020
vs Leicester City,27,38.0,17998.0,16109.0,1817.0,458.0,26.0,148.0,647.0,831.0,181.0,107.0,54.0,3.0,13803.0,72.0,352.0,Premier League 2020-2021,premier league,2020-2021,2020
vs Liverpool,28,38.0,15989.0,14280.0,1614.0,431.0,41.0,125.0,531.0,613.0,122.0,70.0,30.0,3.0,11890.0,95.0,313.0,Premier League 2020-2021,premier league,2020-2021,2020
vs Manchester City,24,38.0,15654.0,14096.0,1491.0,391.0,14.0,97.0,426.0,532.0,111.0,56.0,36.0,8.0,12270.0,67.0,251.0,Premier League 2020-2021,premier league,2020-2021,2020
vs Manchester Utd,29,38.0,18081.0,16354.0,1667.0,504.0,18.0,121.0,617.0,648.0,162.0,89.0,45.0,2.0,14217.0,60.0,345.0,Premier League 2020-2021,premier league,2020-2021,2020
vs Newcastle Utd,27,38.0,23488.0,21775.0,1643.0,420.0,19.0,136.0,844.0,723.0,226.0,108.0,80.0,5.0,19529.0,70.0,325.0,Premier League 2020-2021,premier league,2020-2021,2020
vs Sheffield Utd,27,38.0,23109.0,21188.0,1864.0,502.0,24.0,163.0,718.0,841.0,243.0,81.0,101.0,18.0,18988.0,57.0,340.0,Premier League 2020-2021,premier league,2020-2021,2020
vs Southampton,29,38.0,18167.0,16217.0,1861.0,465.0,25.0,120.0,667.0,873.0,196.0,72.0,55.0,11.0,13758.0,89.0,390.0,Premier League 2020-2021,premier league,2020-2021,2020
vs Tottenham,24,38.0,19385.0,17666.0,1643.0,463.0,11.0,109.0,754.0,656.0,201.0,92.0,65.0,12.0,15362.0,76.0,344.0,Premier League 2020-2021,premier league,2020-2021,2020
vs West Brom,30,38.0,23277.0,21362.0,1855.0,441.0,32.0,138.0,841.0,822.0,266.0,129.0,99.0,8.0,18892.0,60.0,355.0,Premier League 2020-2021,premier league,2020-2021,2020
vs West Ham,24,38.0,22463.0,20785.0,1619.0,425.0,34.0,114.0,740.0,670.0,182.0,85.0,59.0,9.0,18302.0,59.0,339.0,Premier League 2020-2021,premier league,2020-2021,2020
vs Wolves,27,38.0,19966.0,18258.0,1643.0,434.0,28.0,148.0,736.0,676.0,185.0,76.0,67.0,7.0,16265.0,65.0,290.0,Premier League 2020-2021,premier league,2020-2021,2020
vs Alavés,30,38.0,19621.0,17574.0,1940.0,561.0,22.0,201.0,731.0,865.0,201.0,72.0,62.0,0.0,15323.0,107.0,305.0,La Liga 2020-2021,la liga,2020-2021,2020
vs Athletic Club,27,38.0,18323.0,16394.0,1846.0,532.0,21.0,242.0,753.0,768.0,157.0,46.0,70.0,1.0,14283.0,83.0,335.0,La Liga 2020-2021,la liga,2020-2021,2020
vs Atlético Madrid,25,38.0,19039.0,17189.0,1820.0,563.0,10.0,211.0,708.0,703.0,160.0,54.0,71.0,0.0,15160.0,30.0,354.0,La Liga 2020-2021,la liga,2020-2021,2020
vs Barcelona,25,38.0,15011.0,13448.0,1515.0,426.0,20.0,141.0,514.0,513.0,140.0,43.0,57.0,1.0,11743.0,48.0,300.0,La Liga 2020-2021,la liga,2020-2021,2020
vs Betis,25,38.0,17222.0,15250.0,1847.0,548.0,36.0,180.0,654.0,788.0,158.0,64.0,60.0,0.0,13194.0,125.0,345.0,La Liga 2020-2021,la liga,2020-2021,2020
vs Cádiz,34,38.0,23128.0,21256.0,1771.0,451.0,31.0,189.0,805.0,809.0,206.0,92.0,61.0,2.0,18990.0,101.0,349.0,La Liga 2020-2021,la liga,2020-2021,2020
vs Celta Vigo,30,38.0,16949.0,14836.0,2062.0,658.0,21.0,196.0,741.0,924.0,166.0,66.0,55.0,0.0,12833.0,51.0,365.0,La Liga 2020-2021,la liga,2020-2021,2020
vs Eibar,30,38.0,17650.0,15366.0,2156.0,534.0,38.0,175.0,545.0,1041.0,141.0,47.0,56.0,2.0,12572.0,128.0,333.0,La Liga 2020-2021,la liga,2020-2021,2020
vs Elche,30,38.0,19233.0,17498.0,1671.0,535.0,28.0,149.0,693.0,692.0,164.0,43.0,64.0,1.0,15678.0,64.0,308.0,La Liga 2020-2021,la liga,2020-2021,2020
vs Getafe,31,38.0,18783.0,16642.0,2054.0,674.0,22.0,214.0,566.0,869.0,145.0,57.0,53.0,1.0,14007.0,87.0,356.0,La Liga 2020-2021,la liga,2020-2021,2020
vs Granada,34,38.0,19293.0,17232.0,2008.0,584.0,22.0,208.0,764.0,882.0,185.0,56.0,79.0,1.0,15039.0,53.0,342.0,La Liga 2020-2021,la liga,2020-2021,2020
vs Huesca,27,38.0,19259.0,17253.0,1932.0,594.0,20.0,182.0,691.0,811.0,161.0,52.0,55.0,0.0,15344.0,74.0,309.0,La Liga 2020-2021,la liga,2020-2021,2020
vs Levante,29,38.0,16963.0,14983.0,1881.0,533.0,22.0,162.0,683.0,790.0,179.0,62.0,66.0,1.0,13052.0,99.0,297.0,La Liga 2020-2021,la liga,2020-2021,2020
vs Osasuna,28,38.0,20219.0,18086.0,2037.0,565.0,34.0,198.0,800.0,906.0,176.0,70.0,40.0,2.0,15379.0,96.0,296.0,La Liga 2020-2021,la liga,2020-2021,2020
vs Real Madrid,30,38.0,16672.0,14886.0,1747.0,462.0,21.0,174.0,637.0,677.0,152.0,55.0,64.0,1.0,13187.0,39.0,319.0,La Liga 2020-2021,la liga,2020-2021,2020
vs Real Sociedad,30,38.0,15816.0,13837.0,1890.0,622.0,18.0,196.0,533.0,756.0,127.0,40.0,46.0,2.0,11867.0,89.0,293.0,La Liga 2020-2021,la liga,2020-2021,2020
vs Sevilla,26,38.0,14857.0,12969.0,1854.0,536.0,16.0,156.0,680.0,723.0,157.0,59.0,62.0,2.0,11221.0,34.0,272.0,La Liga 2020-2021,la liga,2020-2021,2020
vs Valencia,30,38.0,18941.0,17081.0,1787.0,508.0,21.0,216.0,858.0,731.0,200.0,77.0,85.0,0.0,15047.0,73.0,300.0,La Liga 2020-2021,la liga,2020-2021,2020
vs Valladolid,32,38.0,18827.0,16803.0,1954.0,544.0,21.0,218.0,775.0,861.0,194.0,65.0,71.0,4.0,14587.0,70.0,341.0,La Liga 2020-2021,la liga,2020-2021,2020
vs Villarreal,29,38.0,17408.0,15576.0,1756.0,503.0,13.0,188.0,777.0,753.0,147.0,54.0,40.0,1.0,13685.0,76.0,311.0,La Liga 2020-2021,la liga,2020-2021,2020
vs Atalanta,30,38.0,18377.0,16502.0,1835.0,609.0,18.0,89.0,460.0,640.0,120.0,48.0,53.0,0.0,14274.0,40.0,351.0,Serie A 2020-2021,serie a,2020-2021,2020
vs Benevento,29,38.0,20935.0,19091.0,1750.0,525.0,25.0,214.0,808.0,686.0,230.0,83.0,103.0,0.0,17253.0,94.0,303.0,Serie A 2020-2021,serie a,2020-2021,2020
vs Bologna,37,38.0,18055.0,16065.0,1919.0,572.0,27.0,105.0,713.0,753.0,220.0,84.0,105.0,0.0,13987.0,71.0,364.0,Serie A 2020-2021,serie a,2020-2021,2020
vs Cagliari,32,38.0,20838.0,18879.0,1876.0,546.0,31.0,210.0,778.0,744.0,219.0,68.0,105.0,0.0,17136.0,83.0,344.0,Serie A 2020-2021,serie a,2020-2021,2020
vs Crotone,31,38.0,20121.0,18196.0,1822.0,550.0,31.0,171.0,754.0,708.0,228.0,85.0,106.0,0.0,16340.0,103.0,318.0,Serie A 2020-2021,serie a,2020-2021,2020
vs Fiorentina,30,38.0,19765.0,17944.0,1727.0,551.0,31.0,111.0,692.0,677.0,169.0,59.0,72.0,0.0,16140.0,94.0,268.0,Serie A 2020-2021,serie a,2020-2021,2020
vs Genoa,34,38.0,22064.0,20225.0,1802.0,559.0,21.0,116.0,779.0,740.0,214.0,84.0,100.0,0.0,18020.0,37.0,363.0,Serie A 2020-2021,serie a,2020-2021,2020
vs Hellas Verona,32,38.0,17584.0,15609.0,1936.0,677.0,16.0,102.0,657.0,732.0,181.0,71.0,81.0,0.0,13153.0,39.0,281.0,Serie A 2020-2021,serie a,2020-2021,2020
vs Inter,25,38.0,19839.0,18237.0,1570.0,515.0,15.0,166.0,613.0,502.0,137.0,45.0,64.0,0.0,16623.0,32.0,329.0,Serie A 2020-2021,serie a,2020-2021,2020
vs Juventus,30,38.0,17590.0,15813.0,1737.0,565.0,12.0,152.0,644.0,607.0,162.0,47.0,78.0,1.0,14407.0,40.0,318.0,Serie A 2020-2021,serie a,2020-2021,2020
vs Lazio,30,38.0,18534.0,16710.0,1781.0,559.0,6.0,172.0,628.0,666.0,170.0,68.0,79.0,0.0,14738.0,43.0,363.0,Serie A 2020-2021,serie a,2020-2021,2020
vs Milan,29,38.0,18132.0,16208.0,1880.0,584.0,18.0,198.0,730.0,698.0,202.0,92.0,80.0,0.0,14481.0,44.0,363.0,Serie A 2020-2021,serie a,2020-2021,2020
vs Napoli,25,38.0,18101.0,16370.0,1659.0,433.0,12.0,135.0,575.0,618.0,146.0,65.0,59.0,1.0,14839.0,72.0,345.0,Serie A 2020-2021,serie a,2020-2021,2020
vs Parma,42,38.0,20320.0,18458.0,1798.0,577.0,27.0,153.0,846.0,681.0,206.0,73.0,101.0,0.0,16664.0,64.0,373.0,Serie A 2020-2021,serie a,2020-2021,2020
vs Roma,31,38.0,18427.0,16687.0,1618.0,561.0,19.0,119.0,501.0,557.0,146.0,44.0,67.0,0.0,15055.0,122.0,310.0,Serie A 2020-2021,serie a,2020-2021,2020
vs Sampdoria,27,38.0,21424.0,19550.0,1763.0,538.0,17.0,153.0,756.0,708.0,201.0,73.0,82.0,0.0,17299.0,111.0,390.0,Serie A 2020-2021,serie a,2020-2021,2020
vs Sassuolo,28,38.0,15458.0,13647.0,1720.0,512.0,15.0,128.0,690.0,645.0,203.0,75.0,95.0,2.0,12070.0,91.0,295.0,Serie A 2020-2021,serie a,2020-2021,2020
vs Spezia,35,38.0,18160.0,16144.0,1876.0,636.0,31.0,122.0,540.0,770.0,138.0,43.0,67.0,0.0,14228.0,140.0,299.0,Serie A 2020-2021,serie a,2020-2021,2020
vs Torino,29,38.0,19345.0,17471.0,1799.0,609.0,22.0,158.0,732.0,643.0,181.0,61.0,90.0,0.0,15621.0,75.0,334.0,Serie A 2020-2021,serie a,2020-2021,2020
vs Udinese,33,38.0,20420.0,18654.0,1724.0,551.0,16.0,182.0,686.0,630.0,194.0,70.0,73.0,0.0,16888.0,42.0,354.0,Serie A 2020-2021,serie a,2020-2021,2020
vs Angers,31,38.0,21744.0,19953.0,1722.0,472.0,21.0,136.0,652.0,759.0,175.0,85.0,65.0,0.0,17811.0,69.0,310.0,Ligue 1 2020-2021,ligue 1,2020-2021,2020
vs Bordeaux,28,38.0,19657.0,17866.0,1730.0,468.0,17.0,176.0,706.0,731.0,204.0,96.0,82.0,3.0,15866.0,61.0,303.0,Ligue 1 2020-2021,ligue 1,2020-2021,2020
vs Brest,26,38.0,20261.0,18303.0,1914.0,517.0,24.0,140.0,752.0,780.0,192.0,89.0,80.0,3.0,16431.0,44.0,285.0,Ligue 1 2020-2021,ligue 1,2020-2021,2020
vs Dijon,33,38.0,20911.0,18974.0,1865.0,524.0,26.0,172.0,774.0,797.0,234.0,83.0,96.0,1.0,16968.0,72.0,284.0,Ligue 1 2020-2021,ligue 1,2020-2021,2020
vs Lens,27,38.0,18286.0,16194.0,2049.0,551.0,33.0,134.0,632.0,923.0,184.0,76.0,75.0,3.0,14243.0,43.0,339.0,Ligue 1 2020-2021,ligue 1,2020-2021,2020
vs Lille,21,38.0,18810.0,16993.0,1791.0,533.0,9.0,178.0,638.0,745.0,146.0,70.0,57.0,1.0,14859.0,26.0,303.0,Ligue 1 2020-2021,ligue 1,2020-2021,2020
vs Lorient,27,38.0,21369.0,19386.0,1957.0,488.0,15.0,203.0,627.0,940.0,163.0,81.0,61.0,2.0,17386.0,26.0,352.0,Ligue 1 2020-2021,ligue 1,2020-2021,2020
vs Lyon,29,38.0,17698.0,15819.0,1835.0,523.0,16.0,152.0,638.0,671.0,166.0,74.0,61.0,3.0,13965.0,44.0,309.0,Ligue 1 2020-2021,ligue 1,2020-2021,2020
vs Marseille,31,38.0,17666.0,15621.0,1948.0,526.0,21.0,138.0,729.0,882.0,195.0,76.0,75.0,0.0,13749.0,97.0,305.0,Ligue 1 2020-2021,ligue 1,2020-2021,2020
vs Metz,27,38.0,20494.0,18463.0,1987.0,530.0,29.0,133.0,742.0,895.0,205.0,109.0,69.0,1.0,16391.0,44.0,323.0,Ligue 1 2020-2021,ligue 1,2020-2021,2020
vs Monaco,30,38.0,17419.0,15501.0,1862.0,526.0,10.0,190.0,536.0,782.0,124.0,40.0,64.0,0.0,13479.0,56.0,327.0,Ligue 1 2020-2021,ligue 1,2020-2021,2020
vs Montpellier,25,38.0,20043.0,18127.0,1880.0,516.0,23.0,161.0,743.0,764.0,214.0,95.0,85.0,2.0,16330.0,36.0,276.0,Ligue 1 2020-2021,ligue 1,2020-2021,2020
vs Nantes,25,38.0,21456.0,19341.0,2060.0,530.0,14.0,173.0,657.0,991.0,173.0,73.0,68.0,3.0,17198.0,55.0,338.0,Ligue 1 2020-2021,ligue 1,2020-2021,2020
vs Nice,31,38.0,18253.0,16401.0,1792.0,464.0,19.0,157.0,746.0,744.0,215.0,87.0,80.0,4.0,14737.0,60.0,278.0,Ligue 1 2020-2021,ligue 1,2020-2021,2020
vs Nîmes,33,38.0,21162.0,19228.0,1878.0,437.0,24.0,193.0,780.0,904.0,200.0,93.0,76.0,2.0,17110.0,56.0,355.0,Ligue 1 2020-2021,ligue 1,2020-2021,2020
vs Paris S-G,33,38.0,15345.0,13582.0,1705.0,512.0,23.0,164.0,530.0,556.0,148.0,66.0,61.0,0.0,12123.0,58.0,281.0,Ligue 1 2020-2021,ligue 1,2020-2021,2020
vs Reims,29,38.0,21250.0,19397.0,1813.0,465.0,28.0,158.0,775.0,809.0,182.0,85.0,74.0,0.0,17443.0,40.0,272.0,Ligue 1 2020-2021,ligue 1,2020-2021,2020
vs Rennes,32,38.0,16512.0,14661.0,1794.0,509.0,36.0,143.0,515.0,767.0,126.0,54.0,47.0,4.0,12782.0,57.0,302.0,Ligue 1 2020-2021,ligue 1,2020-2021,2020
vs Saint-Étienne,40,38.0,19010.0,16849.0,2120.0,527.0,25.0,170.0,644.0,1035.0,183.0,71.0,88.0,1.0,14835.0,41.0,327.0,Ligue 1 2020-2021,ligue 1,2020-2021,2020
vs Strasbourg,26,38.0,20605.0,18667.0,1888.0,505.0,19.0,137.0,698.0,839.0,187.0,95.0,74.0,1.0,16696.0,50.0,296.0,Ligue 1 2020-2021,ligue 1,2020-2021,2020
vs ADO Den Haag,37,34.0,19120.0,17476.0,1597.0,350.0,16.0,166.0,723.0,753.0,222.0,121.0,70.0,1.0,15387.0,47.0,269.0,Eredivisie 2020-2021,eredivisie,2020-2021,2020
vs Ajax,30,34.0,12508.0,10911.0,1541.0,414.0,13.0,115.0,381.0,536.0,105.0,41.0,43.0,1.0,8931.0,56.0,283.0,Eredivisie 2020-2021,eredivisie,2020-2021,2020
vs AZ Alkmaar,25,34.0,15573.0,14071.0,1435.0,349.0,18.0,130.0,550.0,560.0,128.0,72.0,35.0,0.0,12006.0,67.0,250.0,Eredivisie 2020-2021,eredivisie,2020-2021,2020
vs Emmen,32,34.0,16468.0,14904.0,1526.0,398.0,22.0,108.0,598.0,630.0,182.0,91.0,46.0,1.0,12740.0,38.0,252.0,Eredivisie 2020-2021,eredivisie,2020-2021,2020
vs Feyenoord,30,34.0,15755.0,14142.0,1561.0,398.0,19.0,115.0,527.0,593.0,139.0,73.0,55.0,0.0,12268.0,52.0,290.0,Eredivisie 2020-2021,eredivisie,2020-2021,2020
vs Fortuna Sittard,30,34.0,17844.0,16064.0,1695.0,425.0,20.0,151.0,736.0,767.0,190.0,106.0,59.0,1.0,13571.0,85.0,301.0,Eredivisie 2020-2021,eredivisie,2020-2021,2020
vs Groningen,29,34.0,16304.0,14523.0,1702.0,405.0,24.0,124.0,512.0,776.0,157.0,94.0,46.0,2.0,12347.0,79.0,302.0,Eredivisie 2020-2021,eredivisie,2020-2021,2020
vs Heerenveen,24,34.0,18584.0,16923.0,1605.0,381.0,27.0,163.0,743.0,698.0,225.0,106.0,74.0,4.0,14575.0,56.0,330.0,Eredivisie 2020-2021,eredivisie,2020-2021,2020
