Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,League,league_name,season,season_start
Swansea City,26,46.0,19512.0,24361.0,80.1,345844.0,117837.0,8584.0,9637.0,89.1,8732.0,9968.0,87.6,1801.0,3643.0,49.4,35,43.2,45.8,-8.2,385.0,1409.0,316.0,129.0,1697.0,Championship 2024-2025,championship,2024-2025,2024
Watford,32,46.0,17157.0,21736.0,78.9,290767.0,105241.0,8309.0,9256.0,89.8,6878.0,8173.0,84.2,1488.0,3163.0,47.0,33,38.6,37.7,-5.6,384.0,1192.0,266.0,69.0,1434.0,Championship 2024-2025,championship,2024-2025,2024
West Brom,30,46.0,18953.0,23412.0,81.0,335804.0,113930.0,8293.0,9238.0,89.8,8577.0,9811.0,87.4,1692.0,3302.0,51.2,43,46.2,43.5,-3.2,449.0,1373.0,307.0,105.0,1655.0,Championship 2024-2025,championship,2024-2025,2024
Augsburg,29,34.0,10545.0,14262.0,73.9,199672.0,80511.0,4147.0,4989.0,83.1,4851.0,5902.0,82.2,1272.0,2491.0,51.1,35,27.7,37.7,7.3,299.0,919.0,284.0,89.0,1137.0,Bundesliga 2023-2024,bundesliga,2023-2024,2023
Bayern Munich,30,34.0,19987.0,22946.0,87.1,340799.0,109694.0,9254.0,10094.0,91.7,8928.0,9742.0,91.6,1476.0,2208.0,66.8,71,65.9,72.8,5.1,506.0,1563.0,458.0,86.0,1941.0,Bundesliga 2023-2024,bundesliga,2023-2024,2023
Bochum,25,34.0,9786.0,14203.0,68.9,185281.0,85808.0,4234.0,5278.0,80.2,3854.0,5032.0,76.6,1393.0,2934.0,47.5,30,30.4,33.0,-0.4,371.0,902.0,265.0,85.0,1151.0,Bundesliga 2023-2024,bundesliga,2023-2024,2023
Darmstadt 98,32,34.0,11807.0,15336.0,77.0,223927.0,86971.0,4830.0,5582.0,86.5,5247.0,6139.0,85.5,1494.0,2813.0,53.1,21,22.8,28.9,-1.8,302.0,873.0,226.0,65.0,1083.0,Bundesliga 2023-2024,bundesliga,2023-2024,2023
Dortmund,32,34.0,17191.0,20445.0,84.1,300426.0,100507.0,7696.0,8552.0,90.0,7352.0,8202.0,89.6,1651.0,2584.0,63.9,49,45.6,48.0,3.4,389.0,1144.0,301.0,46.0,1452.0,Bundesliga 2023-2024,bundesliga,2023-2024,2023
Eint Frankfurt,34,34.0,15017.0,18809.0,79.8,260025.0,91225.0,6582.0,7496.0,87.8,6907.0,7959.0,86.8,1204.0,2409.0,50.0,36,34.1,38.5,1.9,292.0,1007.0,276.0,60.0,1305.0,Bundesliga 2023-2024,bundesliga,2023-2024,2023
Freiburg,25,34.0,12337.0,16023.0,77.0,223388.0,83596.0,5228.0,6120.0,85.4,5515.0,6445.0,85.6,1296.0,2579.0,50.3,32,32.4,34.7,-0.4,296.0,936.0,246.0,81.0,1208.0,Bundesliga 2023-2024,bundesliga,2023-2024,2023
Gladbach,27,34.0,13544.0,16946.0,79.9,232267.0,84618.0,6222.0,7073.0,88.0,5785.0,6704.0,86.3,1162.0,2210.0,52.6,43,35.5,37.3,7.5,374.0,801.0,261.0,83.0,1227.0,Bundesliga 2023-2024,bundesliga,2023-2024,2023
Heidenheim,22,34.0,10264.0,14339.0,71.6,206040.0,85936.0,3699.0,4713.0,78.5,4741.0,5858.0,80.9,1578.0,2863.0,55.1,34,27.5,30.0,6.5,279.0,730.0,201.0,73.0,983.0,Bundesliga 2023-2024,bundesliga,2023-2024,2023
Hoffenheim,30,34.0,13457.0,17038.0,79.0,240505.0,94518.0,5931.0,6757.0,87.8,5840.0,6864.0,85.1,1372.0,2563.0,53.5,47,39.9,42.6,7.1,346.0,1069.0,292.0,76.0,1359.0,Bundesliga 2023-2024,bundesliga,2023-2024,2023
Köln,26,34.0,11704.0,15411.0,75.9,209861.0,79468.0,4930.0,5779.0,85.3,5377.0,6369.0,84.4,1146.0,2378.0,48.2,17,27.2,30.9,-10.2,319.0,821.0,217.0,85.0,1086.0,Bundesliga 2023-2024,bundesliga,2023-2024,2023
Leverkusen,24,34.0,21192.0,24301.0,87.2,322890.0,106373.0,12041.0,12986.0,92.7,7316.0,8125.0,90.0,1249.0,1977.0,63.2,71,55.2,66.8,15.8,490.0,1716.0,457.0,72.0,1997.0,Bundesliga 2023-2024,bundesliga,2023-2024,2023
Mainz 05,30,34.0,10974.0,15120.0,72.6,201446.0,81453.0,4718.0,5730.0,82.3,4623.0,5826.0,79.4,1323.0,2702.0,49.0,31,32.0,35.2,-1.0,346.0,939.0,248.0,78.0,1169.0,Bundesliga 2023-2024,bundesliga,2023-2024,2023
RB Leipzig,26,34.0,16254.0,19590.0,83.0,282017.0,96743.0,6994.0,7859.0,89.0,7624.0,8554.0,89.1,1287.0,2207.0,58.3,53,47.7,52.2,5.3,404.0,1185.0,334.0,75.0,1541.0,Bundesliga 2023-2024,bundesliga,2023-2024,2023
Stuttgart,27,34.0,19201.0,22456.0,85.5,312129.0,108823.0,9516.0,10371.0,91.8,7721.0,8581.0,90.0,1352.0,2320.0,58.3,60,53.3,58.8,6.7,413.0,1338.0,356.0,80.0,1618.0,Bundesliga 2023-2024,bundesliga,2023-2024,2023
Union Berlin,30,34.0,11004.0,14784.0,74.4,204399.0,86273.0,4534.0,5371.0,84.4,4773.0,5802.0,82.3,1356.0,2658.0,51.0,23,25.0,28.4,-2.0,300.0,859.0,233.0,80.0,1146.0,Bundesliga 2023-2024,bundesliga,2023-2024,2023
Werder Bremen,30,34.0,12821.0,16418.0,78.1,237961.0,91530.0,5250.0,6169.0,85.1,5760.0,6739.0,85.5,1549.0,2676.0,57.9,33,35.6,38.2,-2.6,321.0,882.0,276.0,83.0,1172.0,Bundesliga 2023-2024,bundesliga,2023-2024,2023
Wolfsburg,28,34.0,13092.0,16624.0,78.8,232194.0,87396.0,5883.0,6706.0,87.7,5603.0,6605.0,84.8,1288.0,2422.0,53.2,27,28.5,38.6,-1.5,310.0,954.0,263.0,67.0,1235.0,Bundesliga 2023-2024,bundesliga,2023-2024,2023
Arsenal,25,38.0,19094.0,22558.0,84.6,309533.0,102210.0,9719.0,10643.0,91.3,7809.0,8765.0,89.1,1178.0,2162.0,54.5,62,55.3,57.8,6.7,513.0,1546.0,548.0,68.0,2106.0,Premier League 2023-2024,premier league,2023-2024,2023
Aston Villa,31,38.0,16133.0,19363.0,83.3,281128.0,95293.0,7110.0,7878.0,90.3,7381.0,8273.0,89.2,1330.0,2368.0,56.2,55,48.6,42.5,6.4,398.0,1160.0,363.0,67.0,1451.0,Premier League 2023-2024,premier league,2023-2024,2023
Bournemouth,30,38.0,11899.0,15920.0,74.7,220978.0,83235.0,4976.0,5868.0,84.8,5270.0,6214.0,84.8,1393.0,2964.0,47.0,39,40.5,33.7,-1.5,414.0,1074.0,352.0,88.0,1314.0,Premier League 2023-2024,premier league,2023-2024,2023
Brentford,28,38.0,12551.0,16818.0,74.6,225971.0,88492.0,5616.0,6628.0,84.7,5236.0,6432.0,81.4,1382.0,2776.0,49.8,38,42.7,40.0,-4.7,332.0,965.0,333.0,106.0,1283.0,Premier League 2023-2024,premier league,2023-2024,2023
Brighton,30,38.0,21810.0,25029.0,87.1,341060.0,113686.0,11574.0,12473.0,92.8,8261.0,9125.0,90.5,1296.0,2164.0,59.9,36,41.6,43.7,-5.6,429.0,1484.0,384.0,81.0,1780.0,Premier League 2023-2024,premier league,2023-2024,2023
Burnley,31,38.0,13937.0,17959.0,77.6,246047.0,83556.0,6311.0,7267.0,86.8,6017.0,7042.0,85.4,1324.0,2755.0,48.1,30,29.7,26.6,0.3,326.0,976.0,216.0,54.0,1181.0,Premier League 2023-2024,premier league,2023-2024,2023
Chelsea,32,38.0,20039.0,23364.0,85.8,328448.0,109853.0,10006.0,10877.0,92.0,8176.0,9060.0,90.2,1365.0,2328.0,58.6,51,51.4,43.1,-0.4,419.0,1351.0,352.0,51.0,1615.0,Premier League 2023-2024,premier league,2023-2024,2023
Crystal Palace,26,38.0,12915.0,16754.0,77.1,225542.0,84922.0,6040.0,6920.0,87.3,5338.0,6287.0,84.9,1204.0,2608.0,46.2,43,38.7,31.5,4.3,353.0,995.0,273.0,60.0,1176.0,Premier League 2023-2024,premier league,2023-2024,2023
Everton,26,38.0,11349.0,15514.0,73.2,208537.0,88374.0,5198.0,6091.0,85.3,4386.0,5405.0,81.1,1469.0,3057.0,48.1,17,38.1,31.8,-21.1,339.0,958.0,284.0,77.0,1129.0,Premier League 2023-2024,premier league,2023-2024,2023
Fulham,25,38.0,16311.0,20237.0,80.6,290238.0,100538.0,7028.0,7907.0,88.9,7277.0,8347.0,87.2,1586.0,2853.0,55.6,40,37.6,33.6,2.4,379.0,1117.0,355.0,94.0,1467.0,Premier League 2023-2024,premier league,2023-2024,2023
Liverpool,30,38.0,20376.0,24379.0,83.6,346550.0,118702.0,9656.0,10641.0,90.7,8627.0,9763.0,88.4,1637.0,2814.0,58.2,60,63.7,55.6,-3.7,598.0,1666.0,506.0,80.0,2110.0,Premier League 2023-2024,premier league,2023-2024,2023
Luton Town,28,38.0,11048.0,15099.0,73.2,201475.0,81352.0,4969.0,5784.0,85.9,4443.0,5431.0,81.8,1289.0,2879.0,44.8,33,29.5,27.5,3.5,315.0,835.0,250.0,90.0,1113.0,Premier League 2023-2024,premier league,2023-2024,2023
Manchester City,25,38.0,24616.0,27758.0,88.7,394064.0,112270.0,12895.0,13721.0,94.0,9449.0,10306.0,91.7,1652.0,2498.0,66.1,69,60.2,62.1,8.8,545.0,1890.0,484.0,65.0,2060.0,Premier League 2023-2024,premier league,2023-2024,2023
Manchester Utd,31,38.0,15785.0,19538.0,80.8,260507.0,91226.0,7892.0,8866.0,89.0,5965.0,6943.0,85.9,1355.0,2517.0,53.8,36,40.1,34.6,-4.1,434.0,1202.0,338.0,50.0,1479.0,Premier League 2023-2024,premier league,2023-2024,2023
Newcastle Utd,32,38.0,16117.0,19852.0,81.2,274265.0,96401.0,7681.0,8623.0,89.1,6722.0,7757.0,86.7,1358.0,2504.0,54.2,55,51.3,43.5,3.7,424.0,1107.0,380.0,76.0,1557.0,Premier League 2023-2024,premier league,2023-2024,2023
