Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,League
Valladolid,38,42.8,38.0,19507.0,2681.0,8158.0,8153.0,3393.0,523.0,19502.0,624.0,289.0,46.3,266.0,42.6,9680.0,54312.0,27524.0,476.0,316.0,120.0,513.0,268.0,11933.0,976.0,La Liga 2024-2025
Villarreal,31,47.6,38.0,22112.0,2612.0,7831.0,9120.0,5352.0,983.0,22105.0,627.0,279.0,44.5,278.0,44.3,12034.0,63384.0,34540.0,693.0,503.0,202.0,560.0,289.0,14383.0,1510.0,La Liga 2024-2025
Atalanta,32,55.3,38.0,25020.0,2035.0,6907.0,11325.0,7007.0,1076.0,25013.0,645.0,257.0,39.8,330.0,51.2,15076.0,80503.0,42064.0,897.0,696.0,254.0,574.0,362.0,17329.0,1808.0,Serie A 2024-2025
Bologna,30,58.1,38.0,23304.0,2070.0,6703.0,10984.0,5817.0,831.0,23297.0,555.0,221.0,39.8,266.0,47.9,13684.0,70992.0,33468.0,639.0,422.0,167.0,598.0,361.0,15512.0,1457.0,Serie A 2024-2025
Cagliari,28,44.9,38.0,19802.0,2531.0,7637.0,8203.0,4166.0,645.0,19799.0,552.0,228.0,41.3,274.0,49.6,10679.0,52998.0,25903.0,506.0,339.0,115.0,585.0,294.0,11974.0,1140.0,Serie A 2024-2025
Como,38,54.6,38.0,23246.0,2359.0,7668.0,10461.0,5315.0,791.0,23244.0,622.0,264.0,42.4,288.0,46.3,14108.0,70678.0,35128.0,658.0,463.0,202.0,577.0,360.0,15729.0,1371.0,Serie A 2024-2025
Empoli,34,41.7,38.0,18255.0,2279.0,6509.0,8088.0,3861.0,562.0,18252.0,505.0,212.0,42.0,238.0,47.1,8486.0,43445.0,20518.0,428.0,284.0,102.0,594.0,349.0,9986.0,1004.0,Serie A 2024-2025
Fiorentina,34,51.0,38.0,21431.0,2419.0,7306.0,9857.0,4479.0,671.0,21423.0,600.0,270.0,45.0,254.0,42.3,12538.0,66795.0,32278.0,620.0,479.0,164.0,535.0,306.0,14051.0,1226.0,Serie A 2024-2025
Genoa,37,45.6,38.0,20080.0,2523.0,7477.0,8829.0,3958.0,644.0,20078.0,505.0,187.0,37.0,260.0,51.5,10006.0,52887.0,25471.0,470.0,343.0,112.0,593.0,289.0,11902.0,967.0,Serie A 2024-2025
Hellas Verona,32,38.7,38.0,17659.0,2055.0,5973.0,8025.0,3869.0,532.0,17657.0,508.0,228.0,44.9,233.0,45.9,8757.0,47190.0,22203.0,449.0,338.0,100.0,533.0,254.0,9765.0,998.0,Serie A 2024-2025
Inter,26,59.4,38.0,26215.0,2510.0,7834.0,12203.0,6361.0,1048.0,26206.0,407.0,158.0,38.8,199.0,48.9,16253.0,81857.0,40921.0,694.0,566.0,155.0,423.0,242.0,19251.0,1717.0,Serie A 2024-2025
Juventus,29,57.2,38.0,25202.0,2320.0,7729.0,11766.0,5913.0,856.0,25196.0,658.0,309.0,47.0,300.0,45.6,15347.0,86896.0,45140.0,810.0,558.0,216.0,568.0,293.0,18089.0,1548.0,Serie A 2024-2025
Lazio,27,55.1,38.0,23200.0,2262.0,6760.0,11033.0,5654.0,928.0,23193.0,628.0,296.0,47.1,266.0,42.4,13530.0,76731.0,39821.0,774.0,587.0,189.0,469.0,310.0,16281.0,1580.0,Serie A 2024-2025
Lecce,31,43.8,38.0,19445.0,2594.0,7211.0,8380.0,4085.0,605.0,19441.0,547.0,237.0,43.3,248.0,45.3,9704.0,52572.0,25490.0,519.0,349.0,121.0,572.0,290.0,11350.0,1062.0,Serie A 2024-2025
Milan,35,53.9,38.0,22849.0,2115.0,7299.0,10263.0,5518.0,966.0,22841.0,721.0,343.0,47.6,309.0,42.9,14001.0,80439.0,44096.0,915.0,648.0,269.0,513.0,288.0,16145.0,1572.0,Serie A 2024-2025
Monza,36,48.5,38.0,21338.0,2852.0,8271.0,9181.0,4056.0,480.0,21335.0,507.0,220.0,43.4,227.0,44.8,12954.0,65264.0,31645.0,533.0,413.0,89.0,510.0,334.0,14106.0,1081.0,Serie A 2024-2025
Napoli,27,54.6,38.0,23892.0,2258.0,7471.0,11310.0,5295.0,869.0,23887.0,611.0,244.0,39.9,286.0,46.8,13244.0,69492.0,35365.0,739.0,443.0,207.0,473.0,326.0,16735.0,1530.0,Serie A 2024-2025
Parma,32,44.2,38.0,19903.0,2706.0,7204.0,8455.0,4468.0,655.0,19896.0,587.0,249.0,42.4,276.0,47.0,11305.0,58058.0,29684.0,578.0,416.0,168.0,548.0,297.0,12339.0,1049.0,Serie A 2024-2025
Roma,28,53.9,38.0,24126.0,2375.0,7151.0,11355.0,5819.0,861.0,24118.0,563.0,210.0,37.3,266.0,47.2,14077.0,72568.0,36058.0,691.0,579.0,162.0,545.0,283.0,16857.0,1488.0,Serie A 2024-2025
Torino,31,47.5,38.0,20697.0,2400.0,6911.0,9482.0,4475.0,605.0,20693.0,452.0,169.0,37.4,236.0,52.2,12098.0,62802.0,31118.0,529.0,389.0,107.0,490.0,272.0,13424.0,1103.0,Serie A 2024-2025
Udinese,31,47.2,38.0,20351.0,2410.0,6993.0,9142.0,4451.0,694.0,20347.0,623.0,281.0,45.1,294.0,47.2,11222.0,61191.0,29910.0,566.0,424.0,127.0,558.0,295.0,12776.0,1140.0,Serie A 2024-2025
Venezia,36,45.1,38.0,19451.0,2614.0,7044.0,8341.0,4288.0,633.0,19445.0,601.0,248.0,41.3,290.0,48.3,10476.0,56455.0,28256.0,507.0,383.0,124.0,621.0,398.0,11442.0,1057.0,Serie A 2024-2025
Angers,30,41.2,34.0,17919.0,2146.0,6594.0,7732.0,3813.0,512.0,17913.0,613.0,249.0,40.6,331.0,54.0,9398.0,51759.0,26951.0,502.0,365.0,98.0,493.0,297.0,10991.0,943.0,Ligue 1 2024-2025
Auxerre,29,42.5,34.0,18188.0,2265.0,6744.0,7753.0,3877.0,614.0,18183.0,622.0,258.0,41.5,324.0,52.1,10101.0,51428.0,24986.0,484.0,350.0,137.0,452.0,346.0,10927.0,1078.0,Ligue 1 2024-2025
Brest,30,48.4,34.0,19884.0,2240.0,6822.0,8962.0,4265.0,644.0,19875.0,490.0,209.0,42.7,245.0,50.0,10454.0,55353.0,26772.0,470.0,348.0,117.0,509.0,246.0,12586.0,1084.0,Ligue 1 2024-2025
Le Havre,31,43.1,34.0,17975.0,2197.0,6737.0,7822.0,3637.0,581.0,17965.0,512.0,233.0,45.5,236.0,46.1,9506.0,52339.0,26445.0,538.0,347.0,93.0,448.0,311.0,11013.0,1033.0,Ligue 1 2024-2025
Lens,33,54.1,34.0,22167.0,1929.0,6346.0,10186.0,5833.0,848.0,22162.0,582.0,249.0,42.8,297.0,51.0,12325.0,60837.0,30074.0,570.0,479.0,122.0,576.0,341.0,14727.0,1440.0,Ligue 1 2024-2025
Lille,27,57.6,34.0,23278.0,1932.0,6099.0,11352.0,5991.0,854.0,23268.0,598.0,283.0,47.3,288.0,48.2,13642.0,71203.0,37395.0,669.0,512.0,158.0,513.0,300.0,16614.0,1603.0,Ligue 1 2024-2025
Lyon,31,56.4,34.0,22636.0,2155.0,6644.0,10377.0,5810.0,999.0,22626.0,546.0,238.0,43.6,277.0,50.7,13430.0,67925.0,36807.0,709.0,483.0,201.0,456.0,281.0,15904.0,1600.0,Ligue 1 2024-2025
Marseille,32,63.3,34.0,26602.0,1928.0,6930.0,13580.0,6271.0,850.0,26592.0,607.0,278.0,45.8,300.0,49.4,16260.0,75565.0,39382.0,664.0,499.0,197.0,471.0,313.0,20224.0,1703.0,Ligue 1 2024-2025
Monaco,28,55.0,34.0,21883.0,1745.0,5633.0,10914.0,5558.0,969.0,21876.0,613.0,266.0,43.4,300.0,48.9,12485.0,65950.0,34414.0,670.0,534.0,187.0,601.0,341.0,14447.0,1629.0,Ligue 1 2024-2025
Montpellier,35,45.3,34.0,18133.0,2072.0,6036.0,8263.0,4032.0,540.0,18129.0,609.0,262.0,43.0,302.0,49.6,9615.0,54614.0,27149.0,529.0,362.0,138.0,478.0,296.0,11348.0,1030.0,Ligue 1 2024-2025
Nantes,30,40.4,34.0,17874.0,2137.0,6120.0,8089.0,3839.0,644.0,17869.0,525.0,227.0,43.2,278.0,53.0,9492.0,48016.0,23741.0,502.0,344.0,141.0,485.0,286.0,10932.0,1044.0,Ligue 1 2024-2025
Nice,31,47.5,34.0,20206.0,2171.0,6488.0,9270.0,4693.0,843.0,20200.0,687.0,295.0,42.9,346.0,50.4,10937.0,58506.0,32981.0,701.0,413.0,171.0,540.0,315.0,13013.0,1312.0,Ligue 1 2024-2025
Paris S-G,28,68.0,34.0,29502.0,1991.0,6704.0,14734.0,8262.0,1211.0,29495.0,802.0,364.0,45.4,393.0,49.0,18244.0,92964.0,49950.0,936.0,702.0,347.0,488.0,329.0,23027.0,2114.0,Ligue 1 2024-2025
Reims,34,44.1,34.0,18663.0,2437.0,6983.0,7699.0,4213.0,649.0,18661.0,629.0,279.0,44.4,312.0,49.6,9968.0,59074.0,30711.0,586.0,420.0,139.0,576.0,304.0,11542.0,1140.0,Ligue 1 2024-2025
Rennes,35,50.9,34.0,20688.0,1999.0,6281.0,9624.0,4970.0,763.0,20680.0,643.0,270.0,42.0,327.0,50.9,11438.0,61463.0,31644.0,663.0,429.0,186.0,508.0,344.0,13788.0,1421.0,Ligue 1 2024-2025
Saint-Étienne,32,47.1,34.0,19848.0,2437.0,6917.0,8493.0,4607.0,600.0,19844.0,558.0,239.0,42.8,294.0,52.7,10318.0,51180.0,26053.0,529.0,334.0,138.0,550.0,309.0,12920.0,1254.0,Ligue 1 2024-2025
Strasbourg,30,50.1,34.0,21307.0,2567.0,8555.0,9120.0,3825.0,614.0,21305.0,629.0,282.0,44.8,304.0,48.3,12112.0,56806.0,29750.0,563.0,365.0,170.0,514.0,263.0,14530.0,1191.0,Ligue 1 2024-2025
Toulouse,27,45.0,34.0,18606.0,1884.0,6030.0,8440.0,4363.0,789.0,18602.0,616.0,277.0,45.0,306.0,49.7,10414.0,51124.0,26397.0,543.0,369.0,155.0,527.0,311.0,11568.0,1201.0,Ligue 1 2024-2025
Ajax,37,57.6,34.0,24237.0,2455.0,7179.0,11271.0,5973.0,1054.0,24228.0,579.0,254.0,43.9,286.0,49.4,14664.0,74175.0,38441.0,683.0,485.0,180.0,512.0,283.0,17214.0,1678.0,Eredivisie 2024-2025
Almere City,33,42.9,34.0,17731.0,2197.0,5986.0,7348.0,4588.0,698.0,17731.0,613.0,268.0,43.7,313.0,51.1,9009.0,50740.0,24656.0,499.0,372.0,115.0,569.0,339.0,9745.0,1106.0,Eredivisie 2024-2025
AZ Alkmaar,30,52.7,34.0,21765.0,2041.0,6172.0,10017.0,5774.0,961.0,21763.0,601.0,270.0,44.9,308.0,51.2,12471.0,66665.0,34725.0,665.0,509.0,218.0,518.0,262.0,14233.0,1468.0,Eredivisie 2024-2025
