Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,League
Swansea City,29,50.8,46.0,26094.0,2621.0,8469.0,11320.0,6523.0,848.0,26088.0,467.0,267.0,57.2,199.0,42.6,13420.0,65938.0,31551.0,565.0,428.0,131.0,614.0,337.0,15215.0,1686.0,Championship 2020-2021
Watford,34,53.7,46.0,27588.0,2848.0,9887.0,11788.0,6178.0,919.0,27578.0,695.0,381.0,54.8,314.0,45.2,14495.0,77908.0,41112.0,693.0,460.0,179.0,777.0,358.0,17092.0,1670.0,Championship 2020-2021
Wycombe,28,40.0,46.0,19129.0,2696.0,6554.0,7483.0,5345.0,871.0,19121.0,537.0,273.0,50.8,264.0,49.2,7368.0,44141.0,20599.0,461.0,328.0,147.0,755.0,397.0,7272.0,1023.0,Championship 2020-2021
Aberdeen,37,50.6,38.0,,,,,,,,,,,,,,,,,,,,,,,Scottish Premiership 2020-2021
Celtic,34,66.6,38.0,,,,,,,,,,,,,,,,,,,,,,,Scottish Premiership 2020-2021
Dundee United,30,47.0,38.0,,,,,,,,,,,,,,,,,,,,,,,Scottish Premiership 2020-2021
Hamilton Acad.,32,41.0,38.0,,,,,,,,,,,,,,,,,,,,,,,Scottish Premiership 2020-2021
Hibernian,30,49.1,38.0,,,,,,,,,,,,,,,,,,,,,,,Scottish Premiership 2020-2021
Kilmarnock,28,46.7,38.0,,,,,,,,,,,,,,,,,,,,,,,Scottish Premiership 2020-2021
Livingston,34,47.4,38.0,,,,,,,,,,,,,,,,,,,,,,,Scottish Premiership 2020-2021
Motherwell,35,45.8,38.0,,,,,,,,,,,,,,,,,,,,,,,Scottish Premiership 2020-2021
Rangers,28,65.7,38.0,,,,,,,,,,,,,,,,,,,,,,,Scottish Premiership 2020-2021
Ross County,30,48.0,38.0,,,,,,,,,,,,,,,,,,,,,,,Scottish Premiership 2020-2021
St Johnstone,27,44.8,38.0,,,,,,,,,,,,,,,,,,,,,,,Scottish Premiership 2020-2021
St Mirren,29,48.1,38.0,,,,,,,,,,,,,,,,,,,,,,,Scottish Premiership 2020-2021
Augsburg,28,38.6,34.0,16178.0,2334.0,6414.0,6784.0,3190.0,508.0,16173.0,473.0,233.0,49.3,240.0,50.7,8252.0,43431.0,20950.0,411.0,281.0,104.0,512.0,304.0,8347.0,808.0,Bundesliga 2019-2020
Bayern Munich,29,65.1,34.0,27878.0,1923.0,7313.0,13410.0,7376.0,1215.0,27872.0,741.0,480.0,64.8,261.0,35.2,17382.0,92867.0,49916.0,930.0,624.0,266.0,515.0,309.0,20486.0,2285.0,Bundesliga 2019-2020
Dortmund,27,60.4,34.0,27633.0,1949.0,7849.0,13650.0,6343.0,852.0,27631.0,750.0,468.0,62.4,282.0,37.6,16995.0,85828.0,43712.0,792.0,608.0,199.0,494.0,351.0,20513.0,1729.0,Bundesliga 2019-2020
Düsseldorf,28,45.6,34.0,18732.0,2030.0,6468.0,8196.0,4250.0,542.0,18728.0,453.0,257.0,56.7,196.0,43.3,9240.0,50961.0,25340.0,487.0,352.0,97.0,476.0,272.0,11271.0,1256.0,Bundesliga 2019-2020
Eint Frankfurt,27,50.9,34.0,20419.0,1985.0,6428.0,9309.0,4903.0,762.0,20417.0,520.0,330.0,63.5,190.0,36.5,10145.0,57981.0,30952.0,677.0,441.0,147.0,523.0,301.0,12165.0,1380.0,Bundesliga 2019-2020
Freiburg,26,48.1,34.0,19615.0,2565.0,7346.0,8247.0,4202.0,658.0,19609.0,452.0,249.0,55.1,203.0,44.9,10684.0,59004.0,30501.0,537.0,412.0,120.0,521.0,259.0,11966.0,1116.0,Bundesliga 2019-2020
Gladbach,25,52.4,34.0,21776.0,2267.0,7659.0,9822.0,4533.0,785.0,21770.0,638.0,387.0,60.7,251.0,39.3,13011.0,67728.0,35910.0,650.0,429.0,183.0,491.0,321.0,14209.0,1292.0,Bundesliga 2019-2020
Hertha BSC,32,44.7,34.0,18882.0,2245.0,6610.0,8985.0,3495.0,524.0,18879.0,526.0,351.0,66.7,175.0,33.3,9692.0,57318.0,29175.0,546.0,422.0,123.0,521.0,345.0,11260.0,1058.0,Bundesliga 2019-2020
Hoffenheim,31,51.6,34.0,21896.0,2499.0,8107.0,9908.0,4074.0,701.0,21892.0,512.0,299.0,58.4,213.0,41.6,11882.0,62387.0,32328.0,598.0,400.0,148.0,478.0,324.0,14282.0,1250.0,Bundesliga 2019-2020
Köln,29,46.7,34.0,19055.0,2172.0,6627.0,8619.0,4007.0,625.0,19051.0,450.0,272.0,60.4,179.0,39.8,9962.0,52836.0,25870.0,494.0,342.0,92.0,570.0,300.0,11111.0,1145.0,Bundesliga 2019-2020
Leverkusen,24,63.2,34.0,26856.0,2245.0,7685.0,14063.0,5334.0,845.0,26854.0,710.0,450.0,63.4,260.0,36.6,15221.0,81517.0,40657.0,761.0,575.0,217.0,600.0,360.0,18938.0,1463.0,Bundesliga 2019-2020
Mainz 05,25,43.2,34.0,18148.0,2210.0,6311.0,7907.0,4161.0,635.0,18145.0,614.0,379.0,61.7,235.0,38.3,9831.0,54963.0,28563.0,524.0,399.0,128.0,600.0,346.0,10146.0,1133.0,Bundesliga 2019-2020
Paderborn 07,27,45.9,34.0,19472.0,2478.0,7836.0,8041.0,3854.0,551.0,19468.0,689.0,382.0,55.4,307.0,44.6,10969.0,65414.0,33453.0,682.0,435.0,174.0,655.0,362.0,11400.0,993.0,Bundesliga 2019-2020
RB Leipzig,29,55.3,34.0,24052.0,2074.0,6715.0,11858.0,5694.0,917.0,24047.0,623.0,388.0,62.3,235.0,37.7,13506.0,70728.0,38909.0,759.0,509.0,223.0,560.0,320.0,16137.0,1685.0,Bundesliga 2019-2020
Schalke 04,29,49.0,34.0,19874.0,2237.0,6728.0,9032.0,4373.0,597.0,19872.0,687.0,421.0,61.3,266.0,38.7,10821.0,63707.0,32858.0,603.0,450.0,139.0,625.0,417.0,11915.0,1191.0,Bundesliga 2019-2020
Union Berlin,26,41.9,34.0,17693.0,2129.0,6444.0,7580.0,3871.0,555.0,17688.0,456.0,259.0,56.8,197.0,43.2,8742.0,45422.0,22165.0,387.0,323.0,85.0,509.0,248.0,9350.0,929.0,Bundesliga 2019-2020
Werder Bremen,30,48.8,34.0,20589.0,2279.0,6731.0,9795.0,4255.0,634.0,20583.0,470.0,259.0,55.1,211.0,44.9,12593.0,59550.0,29999.0,509.0,408.0,111.0,552.0,326.0,12816.0,1304.0,Bundesliga 2019-2020
Wolfsburg,26,48.4,34.0,19700.0,1974.0,6269.0,8974.0,4673.0,693.0,19696.0,612.0,352.0,57.5,260.0,42.5,10467.0,56332.0,29899.0,620.0,449.0,148.0,545.0,373.0,11512.0,1234.0,Bundesliga 2019-2020
Arsenal,29,53.8,38.0,24424.0,2737.0,8368.0,10648.0,5628.0,821.0,24421.0,697.0,411.0,59.0,286.0,41.0,14410.0,85069.0,46708.0,815.0,534.0,209.0,547.0,370.0,16527.0,1630.0,Premier League 2019-2020
Aston Villa,28,44.1,38.0,19977.0,2658.0,7038.0,8203.0,4969.0,695.0,19974.0,569.0,352.0,61.9,217.0,38.1,10317.0,61373.0,31557.0,639.0,476.0,139.0,546.0,313.0,11546.0,1229.0,Premier League 2019-2020
Bournemouth,27,44.1,38.0,20872.0,2556.0,7472.0,8683.0,4916.0,717.0,20868.0,602.0,325.0,54.0,277.0,46.0,12070.0,62723.0,31212.0,601.0,424.0,136.0,571.0,384.0,11946.0,1238.0,Premier League 2019-2020
Brighton,25,52.2,38.0,24387.0,2721.0,8174.0,10724.0,5693.0,770.0,24385.0,584.0,335.0,57.4,249.0,42.6,13074.0,73950.0,37898.0,669.0,502.0,165.0,626.0,399.0,15782.0,1661.0,Premier League 2019-2020
Burnley,22,41.9,38.0,18827.0,2224.0,5596.0,8993.0,4410.0,617.0,18823.0,454.0,246.0,54.2,208.0,45.8,8828.0,46545.0,21653.0,437.0,352.0,71.0,509.0,291.0,9969.0,882.0,Premier League 2019-2020
Chelsea,27,60.4,38.0,29489.0,2281.0,8311.0,13996.0,7423.0,1063.0,29482.0,718.0,460.0,64.1,258.0,35.9,18488.0,98638.0,51643.0,983.0,725.0,222.0,583.0,414.0,20848.0,1880.0,Premier League 2019-2020
Crystal Palace,25,44.8,38.0,20928.0,2377.0,7276.0,9017.0,4876.0,793.0,20925.0,698.0,432.0,61.9,266.0,38.1,10305.0,58519.0,29301.0,596.0,428.0,198.0,611.0,479.0,12187.0,1208.0,Premier League 2019-2020
Everton,24,49.0,38.0,22035.0,2514.0,7389.0,9561.0,5301.0,838.0,22034.0,609.0,374.0,61.4,235.0,38.6,12432.0,65428.0,32588.0,623.0,502.0,146.0,593.0,345.0,13344.0,1421.0,Premier League 2019-2020
Leicester City,24,57.1,38.0,26247.0,2187.0,7814.0,12226.0,6415.0,925.0,26240.0,688.0,377.0,54.8,311.0,45.2,16018.0,77180.0,39583.0,739.0,561.0,223.0,602.0,328.0,17485.0,1601.0,Premier League 2019-2020
Liverpool,24,62.9,38.0,29749.0,2077.0,7168.0,14888.0,7909.0,1193.0,29744.0,658.0,387.0,58.8,271.0,41.2,20166.0,94610.0,50195.0,967.0,782.0,252.0,607.0,306.0,21151.0,1925.0,Premier League 2019-2020
Manchester City,24,66.2,38.0,31884.0,2009.0,6806.0,15609.0,9720.0,1473.0,31873.0,721.0,487.0,67.5,235.0,32.6,23022.0,118327.0,66426.0,1199.0,964.0,377.0,456.0,341.0,24428.0,2453.0,Premier League 2019-2020
Manchester Utd,29,55.8,38.0,25838.0,2167.0,7222.0,11840.0,6993.0,878.0,25824.0,747.0,446.0,59.7,301.0,40.3,14498.0,83016.0,46282.0,926.0,681.0,255.0,559.0,396.0,17632.0,1779.0,Premier League 2019-2020
Newcastle Utd,28,39.0,38.0,18911.0,2401.0,7097.0,8182.0,3875.0,542.0,18910.0,674.0,400.0,59.3,274.0,40.7,9917.0,54621.0,27300.0,537.0,426.0,138.0,594.0,288.0,10526.0,826.0,Premier League 2019-2020
Norwich City,30,49.3,38.0,23409.0,3125.0,9058.0,9868.0,4701.0,661.0,23407.0,706.0,427.0,60.5,278.0,39.4,14090.0,74844.0,38544.0,673.0,476.0,177.0,591.0,405.0,14835.0,1159.0,Premier League 2019-2020
Sheffield Utd,26,43.1,38.0,21000.0,2180.0,6190.0,8918.0,6070.0,733.0,20999.0,535.0,346.0,64.7,187.0,35.0,9508.0,48303.0,23773.0,493.0,375.0,116.0,519.0,292.0,12015.0,1334.0,Premier League 2019-2020
Southampton,25,48.9,38.0,22200.0,2123.0,6196.0,10753.0,5497.0,811.0,22196.0,680.0,423.0,62.2,257.0,37.8,10579.0,58592.0,29795.0,628.0,459.0,182.0,654.0,362.0,12363.0,1308.0,Premier League 2019-2020
Tottenham,29,52.0,38.0,24729.0,2568.0,7603.0,11826.0,5549.0,710.0,24725.0,747.0,449.0,60.1,297.0,39.8,15489.0,76394.0,39387.0,768.0,573.0,182.0,577.0,437.0,15997.0,1398.0,Premier League 2019-2020
Watford,26,42.9,38.0,20081.0,2134.0,6250.0,8911.0,5148.0,805.0,20073.0,576.0,321.0,55.7,254.0,44.1,10429.0,54446.0,27529.0,578.0,446.0,162.0,549.0,348.0,11126.0,1152.0,Premier League 2019-2020
West Ham,29,44.1,38.0,20993.0,2159.0,6259.0,9681.0,5265.0,746.0,20989.0,663.0,397.0,59.9,264.0,39.8,11155.0,62372.0,30145.0,667.0,485.0,169.0,496.0,322.0,12348.0,1370.0,Premier League 2019-2020
Wolves,21,48.3,38.0,22660.0,1987.0,6969.0,10797.0,5105.0,779.0,22656.0,817.0,509.0,62.3,308.0,37.7,11543.0,66813.0,36391.0,858.0,559.0,229.0,540.0,338.0,14176.0,1320.0,Premier League 2019-2020
Alavés,32,41.5,38.0,17865.0,2032.0,6060.0,8359.0,3622.0,508.0,17859.0,497.0,251.0,50.5,246.0,49.5,9373.0,44654.0,20855.0,403.0,307.0,100.0,535.0,309.0,9525.0,936.0,La Liga 2019-2020
Athletic Club,26,48.7,38.0,20857.0,2064.0,6212.0,9835.0,5031.0,594.0,20847.0,587.0,337.0,57.4,250.0,42.6,10354.0,58313.0,30842.0,604.0,493.0,110.0,576.0,299.0,12422.0,1273.0,La Liga 2019-2020
Atlético Madrid,30,48.6,38.0,21860.0,1918.0,6182.0,10585.0,5274.0,807.0,21852.0,543.0,348.0,64.1,195.0,35.9,11872.0,58628.0,30072.0,598.0,516.0,156.0,586.0,377.0,13506.0,1323.0,La Liga 2019-2020
Barcelona,28,66.4,38.0,31713.0,2419.0,7683.0,15606.0,8628.0,1066.0,31707.0,793.0,524.0,66.1,269.0,33.9,20416.0,102227.0,57254.0,923.0,864.0,243.0,444.0,354.0,24606.0,2036.0,La Liga 2019-2020
Betis,27,56.7,38.0,23715.0,2485.0,7853.0,10431.0,5665.0,845.0,23707.0,713.0,445.0,62.4,268.0,37.6,14024.0,78775.0,41021.0,834.0,634.0,200.0,548.0,355.0,16065.0,1463.0,La Liga 2019-2020
Celta Vigo,30,51.7,38.0,22576.0,2291.0,7505.0,10374.0,4906.0,585.0,22567.0,610.0,370.0,60.7,240.0,39.3,12921.0,68433.0,33492.0,670.0,521.0,133.0,541.0,375.0,14460.0,1358.0,La Liga 2019-2020
Eibar,26,46.3,38.0,19501.0,1777.0,5164.0,9086.0,5479.0,633.0,19491.0,458.0,260.0,56.8,198.0,43.2,9587.0,48746.0,21965.0,424.0,409.0,110.0,564.0,355.0,10333.0,1246.0,La Liga 2019-2020
Espanyol,31,47.4,38.0,20282.0,2092.0,6860.0,9234.0,4417.0,604.0,20278.0,489.0,281.0,57.5,208.0,42.5,10645.0,59325.0,29721.0,561.0,405.0,103.0,576.0,331.0,11783.0,1222.0,La Liga 2019-2020
Getafe,30,45.0,38.0,17737.0,1484.0,4842.0,7903.0,5206.0,650.0,17730.0,476.0,274.0,57.6,202.0,42.4,7551.0,40426.0,18906.0,416.0,330.0,82.0,635.0,318.0,8211.0,1179.0,La Liga 2019-2020
Granada,27,43.8,38.0,18071.0,2226.0,6282.0,7633.0,4377.0,585.0,18066.0,553.0,300.0,54.2,253.0,45.8,9792.0,52441.0,25249.0,511.0,381.0,111.0,486.0,290.0,9720.0,994.0,La Liga 2019-2020
Leganés,29,43.9,38.0,18841.0,1764.0,5798.0,8465.0,4791.0,636.0,18836.0,581.0,342.0,58.9,239.0,41.1,9273.0,49830.0,24609.0,498.0,412.0,122.0,544.0,291.0,10246.0,1145.0,La Liga 2019-2020
Levante,29,48.3,38.0,20210.0,2479.0,7642.0,8291.0,4454.0,632.0,20205.0,637.0,386.0,60.6,251.0,39.4,10797.0,61650.0,32153.0,711.0,417.0,157.0,537.0,302.0,12313.0,1350.0,La Liga 2019-2020
Mallorca,32,45.0,38.0,19626.0,2340.0,6588.0,8406.0,4870.0,686.0,19616.0,709.0,392.0,55.3,317.0,44.7,11405.0,65851.0,34539.0,740.0,527.0,201.0,625.0,353.0,11691.0,1201.0,La Liga 2019-2020
Osasuna,31,47.4,38.0,20122.0,2002.0,6073.0,9400.0,4869.0,661.0,20114.0,525.0,315.0,60.0,210.0,40.0,9935.0,51175.0,25607.0,562.0,428.0,124.0,611.0,306.0,10840.0,1346.0,La Liga 2019-2020
Real Madrid,26,58.8,38.0,27693.0,2234.0,7711.0,12551.0,7671.0,1038.0,27682.0,769.0,484.0,62.9,285.0,37.1,17146.0,92265.0,47544.0,951.0,727.0,302.0,518.0,315.0,19981.0,1951.0,La Liga 2019-2020
Real Sociedad,27,56.2,38.0,24037.0,2340.0,7553.0,11352.0,5327.0,778.0,24032.0,591.0,355.0,60.1,234.0,39.6,14006.0,75872.0,40635.0,737.0,523.0,149.0,552.0,357.0,15827.0,1573.0,La Liga 2019-2020
Sevilla,26,57.9,38.0,25650.0,2229.0,7794.0,11678.0,6387.0,920.0,25643.0,667.0,413.0,61.9,254.0,38.1,14440.0,74929.0,39085.0,803.0,571.0,211.0,541.0,352.0,17430.0,1804.0,La Liga 2019-2020
Valencia,28,49.0,38.0,21847.0,2592.0,7697.0,9694.0,4654.0,638.0,21839.0,549.0,345.0,62.8,203.0,37.0,12893.0,70910.0,36309.0,671.0,491.0,114.0,521.0,283.0,14386.0,1367.0,La Liga 2019-2020
Valladolid,30,44.7,38.0,19410.0,2162.0,6607.0,9057.0,3980.0,480.0,19404.0,569.0,338.0,59.4,231.0,40.6,9985.0,55513.0,27378.0,510.0,403.0,110.0,537.0,324.0,11102.0,1096.0,La Liga 2019-2020
Villarreal,25,52.9,38.0,24137.0,2532.0,7874.0,11259.0,5231.0,772.0,24126.0,690.0,431.0,62.5,259.0,37.5,13189.0,71106.0,37620.0,694.0,518.0,209.0,601.0,310.0,16111.0,1472.0,La Liga 2019-2020
Atalanta,30,57.2,38.0,26093.0,1876.0,6557.0,12183.0,7584.0,1117.0,26083.0,616.0,347.0,56.3,267.0,43.3,16491.0,84807.0,43655.0,978.0,780.0,256.0,595.0,358.0,17836.0,1854.0,Serie A 2019-2020
Bologna,31,52.6,38.0,22738.0,2314.0,6600.0,10533.0,5822.0,794.0,22732.0,628.0,349.0,55.6,278.0,44.3,13270.0,75441.0,38917.0,799.0,556.0,203.0,617.0,331.0,14486.0,1649.0,Serie A 2019-2020
Brescia,32,40.6,38.0,18739.0,2524.0,6842.0,7804.0,4306.0,653.0,18735.0,450.0,275.0,61.1,175.0,38.9,9591.0,55133.0,30316.0,537.0,385.0,86.0,557.0,316.0,10769.0,1231.0,Serie A 2019-2020
Cagliari,33,45.7,38.0,21020.0,2568.0,7154.0,9248.0,4843.0,586.0,21015.0,538.0,324.0,60.2,214.0,39.8,11102.0,64793.0,34422.0,662.0,564.0,100.0,543.0,337.0,13049.0,1278.0,Serie A 2019-2020
Fiorentina,33,47.4,38.0,21343.0,2205.0,6723.0,9390.0,5490.0,845.0,21332.0,670.0,428.0,63.9,242.0,36.1,12273.0,71566.0,39481.0,857.0,545.0,195.0,595.0,388.0,13488.0,1432.0,Serie A 2019-2020
Genoa,34,49.5,38.0,22193.0,2703.0,7647.0,9844.0,4922.0,653.0,22178.0,565.0,335.0,59.3,230.0,40.7,12672.0,64976.0,33616.0,583.0,434.0,103.0,558.0,349.0,14203.0,1269.0,Serie A 2019-2020
Hellas Verona,30,49.8,38.0,21661.0,2367.0,6427.0,10342.0,5111.0,744.0,21652.0,546.0,328.0,60.1,217.0,39.7,11821.0,64502.0,33903.0,728.0,553.0,146.0,536.0,307.0,13229.0,1554.0,Serie A 2019-2020
Inter,29,54.2,38.0,24766.0,2441.0,7448.0,11450.0,6087.0,1024.0,24755.0,498.0,311.0,62.4,187.0,37.6,13950.0,76296.0,41980.0,797.0,520.0,190.0,515.0,292.0,17092.0,1806.0,Serie A 2019-2020
Juventus,30,58.1,38.0,27421.0,2020.0,6575.0,13503.0,7570.0,863.0,27407.0,689.0,434.0,63.0,254.0,36.9,17726.0,83654.0,42833.0,879.0,767.0,211.0,510.0,293.0,20049.0,1734.0,Serie A 2019-2020
Lazio,27,50.4,38.0,23332.0,2356.0,7008.0,10481.0,6081.0,950.0,23314.0,580.0,360.0,62.1,217.0,37.4,13144.0,80519.0,45995.0,935.0,658.0,212.0,503.0,270.0,15748.0,1658.0,Serie A 2019-2020
Lecce,30,44.8,38.0,21113.0,2771.0,7565.0,9066.0,4702.0,718.0,21099.0,464.0,296.0,63.8,168.0,36.2,11985.0,65854.0,36369.0,752.0,536.0,144.0,481.0,318.0,13564.0,1349.0,Serie A 2019-2020
Milan,32,54.9,38.0,24800.0,2257.0,6836.0,11724.0,6509.0,936.0,24791.0,656.0,402.0,61.3,254.0,38.7,15448.0,81062.0,42849.0,816.0,704.0,219.0,598.0,342.0,16958.0,1702.0,Serie A 2019-2020
Napoli,25,59.2,38.0,28084.0,2139.0,6780.0,14082.0,7442.0,917.0,28079.0,587.0,362.0,61.7,225.0,38.3,18571.0,94242.0,53505.0,979.0,803.0,194.0,427.0,296.0,21074.0,2008.0,Serie A 2019-2020
Parma,25,43.8,38.0,20080.0,2717.0,7279.0,8488.0,4533.0,730.0,20074.0,564.0,326.0,57.8,235.0,41.7,11250.0,63880.0,33929.0,673.0,502.0,185.0,582.0,355.0,12051.0,1210.0,Serie A 2019-2020
Roma,31,52.7,38.0,23255.0,2266.0,6676.0,10889.0,5948.0,999.0,23241.0,671.0,417.0,62.1,253.0,37.7,12899.0,80074.0,42749.0,944.0,718.0,236.0,537.0,282.0,15834.0,1638.0,Serie A 2019-2020
Sampdoria,31,42.7,38.0,20099.0,2280.0,6197.0,9151.0,4989.0,705.0,20087.0,507.0,307.0,60.6,200.0,39.4,10309.0,56300.0,30093.0,613.0,463.0,100.0,505.0,295.0,11802.0,1358.0,Serie A 2019-2020
Sassuolo,31,57.5,38.0,25903.0,2438.0,7367.0,12657.0,6132.0,843.0,25897.0,757.0,468.0,61.8,288.0,38.0,14874.0,86686.0,48546.0,902.0,678.0,234.0,522.0,339.0,18445.0,1575.0,Serie A 2019-2020
SPAL,34,46.9,38.0,20738.0,2614.0,7307.0,9038.0,4632.0,620.0,20731.0,519.0,357.0,68.8,162.0,31.2,11194.0,62194.0,32378.0,696.0,461.0,141.0,518.0,354.0,13190.0,1225.0,Serie A 2019-2020
Torino,27,47.4,38.0,20846.0,2533.0,7181.0,9045.0,4883.0,737.0,20838.0,715.0,449.0,62.8,266.0,37.2,10971.0,63687.0,33973.0,843.0,544.0,156.0,605.0,360.0,12474.0,1202.0,Serie A 2019-2020
Udinese,25,44.7,38.0,21128.0,2448.0,7177.0,9500.0,4716.0,706.0,21128.0,550.0,350.0,63.6,199.0,36.2,12203.0,67349.0,36437.0,709.0,539.0,163.0,538.0,328.0,13279.0,1261.0,Serie A 2019-2020
Amiens,27,45.6,28.0,15949.0,1587.0,4731.0,8179.0,3192.0,350.0,15944.0,409.0,244.0,59.7,165.0,40.3,7853.0,42492.0,21131.0,384.0,299.0,82.0,543.0,358.0,9610.0,999.0,Ligue 1 2019-2020
Angers,26,45.3,28.0,16445.0,1346.0,5096.0,7662.0,3853.0,511.0,16444.0,479.0,291.0,60.8,187.0,39.0,7730.0,42925.0,23294.0,542.0,385.0,127.0,455.0,344.0,10448.0,1080.0,Ligue 1 2019-2020
Bordeaux,26,53.6,28.0,18253.0,1724.0,5742.0,9723.0,2955.0,385.0,18251.0,507.0,273.0,53.8,233.0,46.0,10991.0,52483.0,26706.0,441.0,350.0,101.0,457.0,285.0,12191.0,989.0,Ligue 1 2019-2020
Brest,24,49.8,28.0,17263.0,2041.0,6000.0,7885.0,3546.0,470.0,17258.0,364.0,209.0,57.4,155.0,42.6,9330.0,48143.0,25023.0,415.0,307.0,66.0,464.0,283.0,10983.0,1133.0,Ligue 1 2019-2020
Dijon,28,46.5,28.0,16323.0,1848.0,5938.0,7538.0,3047.0,489.0,16322.0,543.0,312.0,57.5,231.0,42.5,8571.0,49178.0,25530.0,513.0,372.0,112.0,469.0,303.0,10015.0,897.0,Ligue 1 2019-2020
Lille,25,52.9,28.0,17279.0,1255.0,4060.0,9261.0,4127.0,551.0,17271.0,522.0,307.0,58.8,215.0,41.2,9397.0,52108.0,27799.0,544.0,429.0,136.0,442.0,300.0,11171.0,1066.0,Ligue 1 2019-2020
Lyon,27,56.2,28.0,19207.0,1629.0,5456.0,9834.0,4080.0,558.0,19201.0,578.0,341.0,59.0,237.0,41.0,11551.0,60851.0,32940.0,563.0,442.0,142.0,484.0,293.0,13191.0,1196.0,Ligue 1 2019-2020
Marseille,23,53.5,28.0,18065.0,1485.0,5084.0,8972.0,4199.0,516.0,18059.0,510.0,316.0,62.0,194.0,38.0,11047.0,59654.0,31913.0,639.0,468.0,139.0,441.0,298.0,11831.0,1099.0,Ligue 1 2019-2020
Metz,24,45.3,28.0,15860.0,1638.0,5207.0,7745.0,3123.0,368.0,15856.0,561.0,337.0,60.1,224.0,39.9,7743.0,50513.0,25532.0,578.0,463.0,105.0,461.0,302.0,9502.0,840.0,Ligue 1 2019-2020
Monaco,28,50.9,28.0,17559.0,1547.0,4862.0,8731.0,4142.0,656.0,17555.0,500.0,308.0,61.6,192.0,38.4,10067.0,56025.0,31702.0,646.0,416.0,155.0,401.0,259.0,11605.0,1295.0,Ligue 1 2019-2020
Montpellier,27,47.6,28.0,15917.0,1628.0,5080.0,7394.0,3597.0,463.0,15912.0,449.0,218.0,48.6,231.0,51.4,7983.0,43243.0,23427.0,425.0,297.0,79.0,461.0,192.0,9652.0,1096.0,Ligue 1 2019-2020
Nantes,29,48.0,28.0,16839.0,1459.0,5037.0,8268.0,3742.0,477.0,16837.0,561.0,322.0,57.4,238.0,42.4,9108.0,51561.0,26102.0,548.0,434.0,136.0,474.0,305.0,10514.0,1028.0,Ligue 1 2019-2020
Nice,31,54.6,28.0,18875.0,1893.0,6345.0,9323.0,3417.0,458.0,18870.0,626.0,364.0,58.1,262.0,41.9,10225.0,55202.0,31327.0,499.0,394.0,139.0,479.0,281.0,13324.0,1255.0,Ligue 1 2019-2020
Nîmes,28,45.0,28.0,14493.0,1345.0,4519.0,6626.0,3515.0,486.0,14491.0,469.0,233.0,49.7,236.0,50.3,7068.0,39938.0,21216.0,421.0,295.0,91.0,465.0,250.0,8049.0,953.0,Ligue 1 2019-2020
Paris S-G,31,65.2,27.0,21903.0,1328.0,4729.0,12011.0,5325.0,855.0,21895.0,675.0,406.0,60.1,268.0,39.7,13031.0,67065.0,37548.0,711.0,568.0,194.0,410.0,233.0,16642.0,1669.0,Ligue 1 2019-2020
Reims,26,48.9,28.0,16410.0,1640.0,6000.0,7221.0,3385.0,488.0,16405.0,519.0,301.0,58.0,218.0,42.0,8780.0,53250.0,29387.0,597.0,375.0,114.0,459.0,231.0,10261.0,1035.0,Ligue 1 2019-2020
Rennes,26,49.6,28.0,16431.0,1665.0,5490.0,7998.0,3138.0,456.0,16426.0,488.0,261.0,53.5,227.0,46.5,9926.0,53981.0,28245.0,557.0,389.0,107.0,435.0,263.0,10319.0,929.0,Ligue 1 2019-2020
Saint-Étienne,31,48.2,28.0,16336.0,1527.0,5344.0,7827.0,3335.0,434.0,16331.0,485.0,289.0,59.6,196.0,40.4,8001.0,50278.0,27056.0,515.0,352.0,96.0,476.0,296.0,9974.0,969.0,Ligue 1 2019-2020
Strasbourg,25,49.6,27.0,15640.0,1461.0,4811.0,7586.0,3427.0,469.0,15636.0,426.0,257.0,60.3,169.0,39.7,9288.0,49549.0,26561.0,492.0,388.0,80.0,440.0,255.0,9971.0,973.0,Ligue 1 2019-2020
Toulouse,30,44.2,28.0,15562.0,1755.0,5101.0,7114.0,3522.0,492.0,15556.0,471.0,287.0,60.9,184.0,39.1,8756.0,48343.0,26213.0,556.0,379.0,96.0,475.0,293.0,9271.0,945.0,Ligue 1 2019-2020
ADO Den Haag,34,43.3,26.0,12949.0,1758.0,4377.0,6151.0,2543.0,365.0,12945.0,301.0,189.0,62.8,111.0,36.9,5524.0,36186.0,16950.0,292.0,227.0,67.0,431.0,233.0,7164.0,731.0,Eredivisie 2019-2020
Ajax,29,63.7,25.0,19356.0,1170.0,3778.0,9191.0,6567.0,1118.0,19353.0,505.0,337.0,66.7,167.0,33.1,12900.0,67077.0,38868.0,709.0,576.0,180.0,432.0,332.0,13480.0,1747.0,Eredivisie 2019-2020
AZ Alkmaar,24,60.2,25.0,18757.0,1618.0,5206.0,9237.0,4453.0,769.0,18747.0,496.0,333.0,67.1,162.0,32.7,11449.0,61905.0,32120.0,585.0,455.0,186.0,417.0,267.0,13533.0,1482.0,Eredivisie 2019-2020
