Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att.1,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,League
vs Bristol City,2,46.0,46.0,1.0,0.0,4.0,1.0,39.8,0.32,-5.2,-0.11,291.0,775.0,37.5,1164.0,178.0,49.1,39.4,299.0,67.9,49.6,446.0,21.0,4.7,58.0,1.26,16.2,Championship 2020-2021
vs Cardiff City,2,46.0,66.0,6.0,3.0,16.0,1.0,61.1,0.28,-3.9,-0.09,251.0,905.0,27.7,1390.0,225.0,48.5,34.8,345.0,67.0,49.9,613.0,31.0,5.1,43.0,0.93,14.6,Championship 2020-2021
vs Coventry City,2,46.0,49.0,3.0,1.0,5.0,3.0,40.1,0.24,-5.9,-0.13,298.0,828.0,36.0,1281.0,255.0,46.3,37.2,347.0,67.7,51.7,536.0,26.0,4.9,62.0,1.35,17.1,Championship 2020-2021
vs Derby County,2,46.0,36.0,3.0,3.0,5.0,2.0,41.5,0.28,7.5,0.16,259.0,756.0,34.3,1175.0,193.0,46.8,38.3,333.0,61.9,47.8,666.0,36.0,5.4,43.0,0.93,13.7,Championship 2020-2021
vs Huddersfield,3,46.0,50.0,0.0,4.0,5.0,4.0,42.3,0.29,-3.7,-0.08,274.0,788.0,34.8,1161.0,132.0,50.0,39.3,320.0,64.7,49.5,534.0,17.0,3.2,48.0,1.04,17.7,Championship 2020-2021
vs Luton Town,2,46.0,41.0,3.0,1.0,8.0,1.0,41.7,0.27,1.7,0.04,319.0,954.0,33.4,1335.0,204.0,53.0,35.4,363.0,68.0,50.4,733.0,34.0,4.6,47.0,1.02,13.1,Championship 2020-2021
vs Middlesbrough,2,46.0,55.0,2.0,0.0,10.0,3.0,48.1,0.32,-3.9,-0.08,297.0,811.0,36.6,1204.0,213.0,42.9,37.0,405.0,72.8,51.6,793.0,40.0,5.0,67.0,1.46,14.4,Championship 2020-2021
vs Millwall,1,46.0,47.0,4.0,1.0,8.0,4.0,37.1,0.23,-5.9,-0.13,255.0,843.0,30.2,1370.0,232.0,43.2,34.9,347.0,72.3,50.9,690.0,28.0,4.1,45.0,0.98,13.8,Championship 2020-2021
vs Norwich City,3,46.0,75.0,8.0,3.0,5.0,1.0,69.2,0.27,-4.8,-0.11,325.0,900.0,36.1,1116.0,177.0,52.9,39.4,397.0,78.1,54.4,573.0,13.0,2.3,45.0,0.98,16.9,Championship 2020-2021
vs Nott'ham Forest,2,46.0,37.0,4.0,1.0,3.0,4.0,40.0,0.27,7.0,0.15,320.0,860.0,37.2,1192.0,158.0,50.4,39.3,346.0,74.9,53.9,747.0,26.0,3.5,33.0,0.72,14.1,Championship 2020-2021
vs Preston,3,46.0,49.0,5.0,1.0,7.0,2.0,47.6,0.27,0.6,0.01,275.0,908.0,30.3,1179.0,192.0,55.5,40.2,327.0,77.7,55.5,594.0,23.0,3.9,47.0,1.02,15.3,Championship 2020-2021
vs QPR,2,46.0,57.0,5.0,0.0,5.0,2.0,58.6,0.33,3.6,0.08,336.0,966.0,34.8,1311.0,216.0,51.0,33.0,413.0,72.2,54.0,729.0,14.0,1.9,54.0,1.17,16.8,Championship 2020-2021
vs Reading,2,46.0,62.0,6.0,1.0,10.0,0.0,51.4,0.24,-10.6,-0.23,280.0,744.0,37.6,1201.0,229.0,45.0,37.5,306.0,66.7,50.7,554.0,20.0,3.6,53.0,1.15,16.6,Championship 2020-2021
vs Rotherham Utd,2,46.0,44.0,5.0,1.0,6.0,1.0,40.5,0.23,-2.5,-0.05,307.0,986.0,31.1,1236.0,201.0,53.5,35.0,385.0,84.4,57.8,774.0,50.0,6.5,40.0,0.87,12.2,Championship 2020-2021
vs Sheffield Weds,3,46.0,40.0,3.0,0.0,5.0,2.0,40.8,0.28,2.8,0.06,230.0,730.0,31.5,1249.0,219.0,42.6,37.0,338.0,58.6,45.9,653.0,29.0,4.4,72.0,1.57,17.5,Championship 2020-2021
vs Stoke City,3,46.0,50.0,1.0,1.0,9.0,3.0,40.1,0.28,-6.9,-0.15,261.0,947.0,27.6,1413.0,211.0,51.2,34.4,352.0,63.4,48.1,785.0,32.0,4.1,64.0,1.39,16.1,Championship 2020-2021
vs Swansea City,2,46.0,56.0,6.0,2.0,7.0,1.0,48.3,0.28,-6.7,-0.15,301.0,811.0,37.1,1342.0,211.0,47.6,38.4,304.0,56.6,44.6,629.0,17.0,2.7,54.0,1.17,14.7,Championship 2020-2021
vs Watford,2,46.0,63.0,10.0,1.0,11.0,2.0,57.1,0.3,-3.9,-0.09,316.0,831.0,38.0,1137.0,173.0,51.5,40.5,358.0,68.4,50.8,677.0,17.0,2.5,67.0,1.46,16.2,Championship 2020-2021
vs Wycombe,2,46.0,39.0,7.0,0.0,8.0,1.0,41.3,0.25,3.3,0.07,281.0,780.0,36.0,1214.0,269.0,46.5,39.1,376.0,57.4,46.0,642.0,33.0,5.1,42.0,0.91,14.5,Championship 2020-2021
vs Aberdeen,2,38.0,36.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,Scottish Premiership 2020-2021
vs Celtic,3,38.0,78.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,Scottish Premiership 2020-2021
vs Dundee United,3,38.0,32.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,Scottish Premiership 2020-2021
vs Hamilton Acad.,3,38.0,34.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,Scottish Premiership 2020-2021
vs Hibernian,3,38.0,48.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,Scottish Premiership 2020-2021
vs Kilmarnock,3,38.0,43.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,Scottish Premiership 2020-2021
vs Livingston,2,38.0,42.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,Scottish Premiership 2020-2021
vs Motherwell,4,38.0,39.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,Scottish Premiership 2020-2021
vs Rangers,2,38.0,92.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,Scottish Premiership 2020-2021
vs Ross County,2,38.0,35.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,Scottish Premiership 2020-2021
vs St Johnstone,3,38.0,36.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,Scottish Premiership 2020-2021
vs St Mirren,3,38.0,37.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,Scottish Premiership 2020-2021
vs Augsburg,2,34.0,45.0,3.0,4.0,2.0,0.0,45.7,0.31,0.7,0.02,208.0,476.0,43.7,1288.0,196.0,28.4,31.3,249.0,44.2,39.7,362.0,13.0,3.6,68.0,2.0,18.4,Bundesliga 2019-2020
vs Bayern Munich,2,34.0,100.0,6.0,2.0,7.0,3.0,90.3,0.34,-6.7,-0.2,262.0,687.0,38.1,1081.0,207.0,44.0,37.0,398.0,53.0,41.7,647.0,20.0,3.1,32.0,0.94,12.0,Bundesliga 2019-2020
vs Dortmund,2,34.0,84.0,2.0,0.0,8.0,0.0,76.4,0.4,-7.6,-0.22,180.0,471.0,38.2,956.0,136.0,38.3,34.9,233.0,45.1,40.5,391.0,9.0,2.3,38.0,1.12,16.0,Bundesliga 2019-2020
vs Düsseldorf,2,34.0,36.0,4.0,1.0,6.0,0.0,34.9,0.27,-1.1,-0.03,179.0,463.0,38.7,983.0,154.0,32.9,32.2,302.0,46.4,41.0,537.0,26.0,4.8,40.0,1.18,15.2,Bundesliga 2019-2020
vs Eint Frankfurt,3,34.0,59.0,2.0,0.0,13.0,2.0,52.5,0.3,-4.5,-0.13,232.0,608.0,38.2,1149.0,183.0,36.5,34.6,304.0,62.2,47.0,709.0,36.0,5.1,45.0,1.32,14.9,Bundesliga 2019-2020
vs Freiburg,3,34.0,48.0,5.0,3.0,3.0,2.0,44.6,0.28,-1.4,-0.04,225.0,521.0,43.2,1031.0,158.0,37.0,34.3,267.0,52.4,42.9,505.0,20.0,4.0,34.0,1.0,14.9,Bundesliga 2019-2020
vs Gladbach,1,34.0,66.0,4.0,1.0,4.0,2.0,67.0,0.33,3.0,0.09,234.0,576.0,40.6,1225.0,177.0,38.0,34.3,227.0,48.5,41.1,442.0,23.0,5.2,39.0,1.15,14.8,Bundesliga 2019-2020
vs Hertha BSC,3,34.0,48.0,3.0,0.0,6.0,3.0,42.0,0.32,-3.0,-0.09,122.0,354.0,34.5,890.0,145.0,31.6,31.7,221.0,33.0,35.3,413.0,16.0,3.9,44.0,1.29,16.9,Bundesliga 2019-2020
vs Hoffenheim,2,34.0,53.0,3.0,1.0,8.0,1.0,53.2,0.32,1.2,0.04,192.0,473.0,40.6,962.0,140.0,37.4,34.9,243.0,46.5,41.1,445.0,16.0,3.6,56.0,1.65,17.2,Bundesliga 2019-2020
vs Köln,1,34.0,51.0,2.0,1.0,12.0,1.0,47.3,0.3,-2.7,-0.08,181.0,509.0,35.6,1073.0,179.0,32.1,32.5,267.0,61.8,47.4,551.0,27.0,4.9,50.0,1.47,15.6,Bundesliga 2019-2020
vs Leverkusen,1,34.0,61.0,2.0,0.0,4.0,4.0,54.6,0.29,-2.4,-0.07,250.0,637.0,39.2,987.0,130.0,45.6,37.3,271.0,69.0,50.1,528.0,16.0,3.0,38.0,1.12,13.5,Bundesliga 2019-2020
vs Mainz 05,2,34.0,44.0,3.0,0.0,5.0,2.0,43.8,0.29,1.8,0.05,210.0,457.0,46.0,1090.0,197.0,30.8,32.2,264.0,45.8,40.5,504.0,18.0,3.6,42.0,1.24,16.5,Bundesliga 2019-2020
vs Paderborn 07,2,34.0,37.0,2.0,0.0,5.0,0.0,33.5,0.24,-3.5,-0.1,204.0,475.0,42.9,1156.0,142.0,31.8,32.6,283.0,37.8,36.6,414.0,22.0,5.3,54.0,1.59,16.5,Bundesliga 2019-2020
vs RB Leipzig,2,34.0,81.0,5.0,2.0,9.0,0.0,62.7,0.29,-18.3,-0.54,228.0,526.0,43.3,1140.0,176.0,32.4,32.5,311.0,50.5,42.7,456.0,23.0,5.0,51.0,1.5,14.7,Bundesliga 2019-2020
vs Schalke 04,2,34.0,38.0,2.0,0.0,4.0,3.0,33.9,0.26,-1.1,-0.03,185.0,467.0,39.6,985.0,151.0,34.1,33.9,269.0,48.7,41.8,362.0,8.0,2.2,30.0,0.88,15.6,Bundesliga 2019-2020
vs Union Berlin,2,34.0,41.0,4.0,1.0,11.0,3.0,37.0,0.25,-1.0,-0.03,181.0,533.0,34.0,1182.0,214.0,33.8,32.1,249.0,53.8,43.3,495.0,29.0,5.9,44.0,1.29,16.2,Bundesliga 2019-2020
vs Werder Bremen,2,34.0,42.0,3.0,0.0,4.0,2.0,39.9,0.26,-0.1,0.0,224.0,467.0,48.0,993.0,167.0,34.7,33.9,233.0,52.4,43.9,473.0,22.0,4.7,45.0,1.32,16.8,Bundesliga 2019-2020
vs Wolfsburg,2,34.0,48.0,4.0,2.0,5.0,0.0,49.5,0.29,1.5,0.04,208.0,565.0,36.8,1130.0,213.0,37.9,34.2,285.0,48.1,40.5,465.0,19.0,4.1,48.0,1.41,16.2,Bundesliga 2019-2020
vs Arsenal,2,38.0,56.0,3.0,1.0,9.0,0.0,52.8,0.35,-3.2,-0.08,242.0,539.0,44.9,840.0,146.0,46.1,36.7,261.0,58.2,44.6,524.0,16.0,3.1,35.0,0.92,16.3,Premier League 2019-2020
vs Aston Villa,4,38.0,41.0,1.0,1.0,8.0,1.0,37.3,0.24,-2.7,-0.07,240.0,577.0,41.6,903.0,181.0,45.4,36.9,274.0,60.9,45.0,654.0,31.0,4.7,23.0,0.61,11.9,Premier League 2019-2020
vs Bournemouth,2,38.0,40.0,4.0,3.0,7.0,2.0,40.7,0.31,2.7,0.07,214.0,624.0,34.3,918.0,136.0,47.6,38.3,250.0,74.8,52.4,497.0,40.0,8.0,35.0,0.92,13.7,Premier League 2019-2020
vs Brighton,1,38.0,39.0,1.0,2.0,5.0,4.0,39.5,0.27,4.5,0.12,171.0,551.0,31.0,893.0,172.0,39.9,35.8,310.0,62.9,47.6,537.0,22.0,4.1,37.0,0.97,14.3,Premier League 2019-2020
vs Burnley,1,38.0,43.0,3.0,0.0,7.0,2.0,38.3,0.28,-2.7,-0.07,191.0,660.0,28.9,1075.0,201.0,43.6,36.5,276.0,69.2,49.3,571.0,23.0,4.0,47.0,1.24,14.1,Premier League 2019-2020
vs Chelsea,2,38.0,69.0,7.0,2.0,7.0,0.0,67.4,0.29,-1.6,-0.04,222.0,639.0,34.7,922.0,147.0,46.2,37.6,316.0,67.4,48.2,656.0,24.0,3.7,18.0,0.47,11.7,Premier League 2019-2020
vs Crystal Palace,2,38.0,31.0,3.0,2.0,2.0,2.0,29.3,0.22,0.3,0.01,189.0,466.0,40.6,775.0,160.0,41.2,35.1,252.0,58.3,45.5,461.0,20.0,4.3,27.0,0.71,13.8,Premier League 2019-2020
vs Everton,1,38.0,44.0,1.0,0.0,8.0,2.0,46.1,0.29,4.1,0.11,206.0,573.0,36.0,934.0,172.0,41.0,35.8,285.0,66.7,49.5,607.0,21.0,3.5,36.0,0.95,14.2,Premier League 2019-2020
vs Leicester City,1,38.0,67.0,5.0,1.0,5.0,2.0,62.4,0.29,-2.6,-0.07,215.0,587.0,36.6,800.0,157.0,49.1,39.2,294.0,66.0,47.9,578.0,17.0,2.9,37.0,0.97,14.6,Premier League 2019-2020
vs Liverpool,2,38.0,85.0,5.0,2.0,11.0,2.0,74.6,0.31,-8.4,-0.22,234.0,782.0,29.9,944.0,173.0,54.6,40.6,351.0,76.1,53.2,705.0,25.0,3.5,41.0,1.08,14.7,Premier League 2019-2020
vs Manchester City,2,38.0,102.0,6.0,5.0,8.0,2.0,88.2,0.3,-11.8,-0.31,254.0,742.0,34.2,992.0,160.0,51.1,39.4,380.0,61.8,46.9,645.0,25.0,3.9,15.0,0.39,10.4,Premier League 2019-2020
vs Manchester Utd,1,38.0,66.0,10.0,1.0,5.0,1.0,62.7,0.24,-2.3,-0.06,222.0,688.0,32.3,914.0,124.0,51.4,39.1,310.0,70.3,51.2,487.0,10.0,2.1,27.0,0.71,15.0,Premier League 2019-2020
vs Newcastle Utd,1,38.0,38.0,0.0,1.0,6.0,0.0,41.5,0.31,3.5,0.09,142.0,384.0,37.0,848.0,215.0,31.6,32.3,212.0,54.7,43.0,454.0,36.0,7.9,32.0,0.84,14.3,Premier League 2019-2020
vs Norwich City,3,38.0,26.0,2.0,0.0,3.0,1.0,30.3,0.23,5.3,0.14,223.0,520.0,42.9,837.0,148.0,41.7,36.4,238.0,71.8,50.7,372.0,10.0,2.7,45.0,1.18,19.1,Premier League 2019-2020
vs Sheffield Utd,2,38.0,39.0,1.0,0.0,5.0,3.0,38.1,0.34,2.1,0.05,158.0,520.0,30.4,1051.0,207.0,35.4,35.3,297.0,49.8,42.4,643.0,22.0,3.4,37.0,0.97,13.9,Premier League 2019-2020
vs Southampton,2,38.0,51.0,2.0,2.0,5.0,0.0,49.3,0.26,-1.7,-0.04,209.0,614.0,34.0,1009.0,180.0,43.0,36.7,291.0,61.9,46.7,548.0,18.0,3.3,49.0,1.29,17.8,Premier League 2019-2020
vs Tottenham,2,38.0,61.0,3.0,1.0,6.0,5.0,50.4,0.3,-5.6,-0.15,210.0,578.0,36.3,915.0,168.0,46.6,37.9,247.0,61.5,47.2,504.0,16.0,3.2,44.0,1.16,16.9,Premier League 2019-2020
vs Watford,1,38.0,36.0,7.0,0.0,1.0,1.0,38.7,0.26,3.7,0.1,142.0,459.0,30.9,889.0,187.0,35.1,33.8,274.0,53.6,44.2,544.0,18.0,3.3,36.0,0.95,14.7,Premier League 2019-2020
vs West Ham,4,38.0,49.0,4.0,1.0,10.0,0.0,47.8,0.29,-1.2,-0.03,163.0,441.0,37.0,863.0,169.0,36.3,33.7,253.0,50.6,41.4,563.0,33.0,5.9,25.0,0.66,12.4,Premier League 2019-2020
vs Wolves,1,38.0,51.0,4.0,1.0,5.0,2.0,49.6,0.32,0.6,0.02,192.0,528.0,36.4,863.0,165.0,40.9,35.8,265.0,66.0,49.0,534.0,22.0,4.1,37.0,0.97,15.3,Premier League 2019-2020
vs Alavés,3,38.0,34.0,6.0,0.0,5.0,0.0,36.2,0.3,2.2,0.06,182.0,528.0,34.5,911.0,137.0,43.4,37.4,230.0,57.8,47.0,409.0,19.0,4.6,43.0,1.13,16.8,La Liga 2019-2020
vs Athletic Club,2,38.0,41.0,8.0,1.0,4.0,1.0,39.5,0.22,-0.5,-0.01,228.0,636.0,35.8,897.0,161.0,48.6,39.1,319.0,62.7,47.4,582.0,25.0,4.3,34.0,0.89,14.7,La Liga 2019-2020
vs Atlético Madrid,2,38.0,51.0,6.0,0.0,3.0,1.0,54.0,0.32,4.0,0.1,242.0,653.0,37.1,951.0,157.0,45.8,37.9,344.0,63.1,48.3,441.0,19.0,4.3,38.0,1.0,15.2,La Liga 2019-2020
vs Barcelona,2,38.0,86.0,6.0,5.0,3.0,2.0,75.2,0.32,-8.8,-0.23,196.0,561.0,34.9,790.0,156.0,47.0,38.6,271.0,70.1,51.7,301.0,16.0,5.3,31.0,0.82,14.1,La Liga 2019-2020
vs Betis,2,38.0,48.0,6.0,1.0,10.0,0.0,48.9,0.27,0.9,0.02,238.0,646.0,36.8,863.0,130.0,48.6,40.0,316.0,71.8,52.0,457.0,21.0,4.6,36.0,0.95,14.7,La Liga 2019-2020
vs Celta Vigo,3,38.0,37.0,6.0,3.0,4.0,0.0,43.8,0.25,6.8,0.18,192.0,550.0,34.9,816.0,144.0,48.2,39.0,234.0,67.1,49.5,506.0,15.0,3.0,46.0,1.21,15.8,La Liga 2019-2020
vs Eibar,2,38.0,39.0,7.0,1.0,6.0,1.0,42.2,0.23,4.2,0.11,287.0,801.0,35.8,1160.0,167.0,50.3,38.8,356.0,61.0,46.6,667.0,20.0,3.0,25.0,0.66,13.0,La Liga 2019-2020
vs Espanyol,2,38.0,27.0,4.0,1.0,4.0,2.0,32.8,0.24,7.8,0.21,250.0,681.0,36.7,918.0,168.0,47.8,39.1,330.0,73.3,52.2,530.0,28.0,5.3,46.0,1.21,15.6,La Liga 2019-2020
vs Getafe,1,38.0,43.0,6.0,2.0,7.0,1.0,36.9,0.26,-5.1,-0.13,304.0,797.0,38.1,1022.0,133.0,54.3,41.5,334.0,72.5,51.7,629.0,20.0,3.2,56.0,1.47,16.5,La Liga 2019-2020
vs Granada,2,38.0,52.0,5.0,2.0,7.0,2.0,38.3,0.28,-11.7,-0.31,212.0,562.0,37.7,873.0,146.0,42.5,37.1,278.0,68.7,51.0,497.0,26.0,5.2,32.0,0.84,14.5,La Liga 2019-2020
vs Leganés,2,38.0,30.0,3.0,4.0,2.0,0.0,36.7,0.22,6.7,0.18,233.0,671.0,34.7,901.0,175.0,49.9,39.7,321.0,68.8,51.3,566.0,33.0,5.8,43.0,1.13,15.2,La Liga 2019-2020
vs Levante,2,38.0,47.0,5.0,1.0,3.0,2.0,43.5,0.29,-1.5,-0.04,247.0,610.0,40.5,858.0,151.0,47.2,38.4,306.0,67.0,48.7,531.0,18.0,3.4,48.0,1.26,15.3,La Liga 2019-2020
vs Mallorca,3,38.0,40.0,8.0,2.0,1.0,1.0,38.8,0.24,-0.2,-0.01,226.0,528.0,42.8,808.0,142.0,38.7,36.0,320.0,67.2,49.0,506.0,15.0,3.0,32.0,0.84,13.4,La Liga 2019-2020
vs Osasuna,3,38.0,46.0,8.0,1.0,4.0,0.0,41.8,0.23,-4.2,-0.11,233.0,777.0,30.0,951.0,140.0,54.7,40.9,332.0,77.4,53.6,597.0,11.0,1.8,33.0,0.87,15.5,La Liga 2019-2020
vs Real Madrid,2,38.0,70.0,11.0,1.0,4.0,1.0,73.2,0.28,4.2,0.11,278.0,695.0,40.0,963.0,171.0,48.1,38.3,336.0,69.0,50.3,574.0,14.0,2.4,39.0,1.03,15.0,La Liga 2019-2020
vs Real Sociedad,2,38.0,56.0,4.0,1.0,7.0,2.0,46.3,0.3,-7.7,-0.2,226.0,701.0,32.2,924.0,149.0,52.8,40.3,286.0,74.5,53.3,532.0,15.0,2.8,29.0,0.76,13.7,La Liga 2019-2020
vs Sevilla,2,38.0,54.0,7.0,2.0,5.0,1.0,51.4,0.27,-1.6,-0.04,261.0,730.0,35.8,926.0,148.0,53.7,41.1,311.0,74.9,51.4,637.0,22.0,3.5,27.0,0.71,12.7,La Liga 2019-2020
vs Valencia,2,38.0,46.0,5.0,2.0,4.0,1.0,47.0,0.34,2.0,0.05,212.0,569.0,37.3,827.0,138.0,46.9,38.6,273.0,66.3,50.5,509.0,17.0,3.3,56.0,1.47,16.5,La Liga 2019-2020
vs Valladolid,3,38.0,32.0,3.0,2.0,2.0,1.0,33.7,0.24,2.7,0.07,232.0,546.0,42.5,812.0,163.0,43.0,36.8,284.0,69.4,50.8,492.0,19.0,3.9,38.0,1.0,14.3,La Liga 2019-2020
vs Villarreal,2,38.0,63.0,10.0,1.0,4.0,1.0,61.6,0.3,-0.4,-0.01,259.0,659.0,39.3,916.0,152.0,50.5,39.2,302.0,64.9,48.9,478.0,16.0,3.3,59.0,1.55,17.1,La Liga 2019-2020
vs Atalanta,3,38.0,98.0,7.0,4.0,12.0,2.0,87.2,0.3,-8.8,-0.23,249.0,614.0,40.6,1030.0,172.0,42.6,36.1,379.0,46.2,38.3,578.0,19.0,3.3,35.0,0.92,14.3,Serie A 2019-2020
vs Bologna,2,38.0,52.0,5.0,1.0,6.0,4.0,46.1,0.25,-1.9,-0.05,222.0,547.0,40.6,867.0,151.0,41.3,34.7,357.0,52.9,39.6,564.0,15.0,2.7,25.0,0.66,12.2,Serie A 2019-2020
vs Brescia,3,38.0,35.0,4.0,1.0,6.0,1.0,36.5,0.23,2.5,0.07,161.0,356.0,45.2,790.0,179.0,31.1,31.1,273.0,40.3,35.2,496.0,31.0,6.3,31.0,0.82,13.2,Serie A 2019-2020
vs Cagliari,3,38.0,52.0,4.0,0.0,3.0,2.0,37.4,0.23,-12.6,-0.33,130.0,322.0,40.4,742.0,187.0,27.8,30.6,310.0,37.4,34.5,581.0,22.0,3.8,22.0,0.58,13.1,Serie A 2019-2020
vs Fiorentina,3,38.0,51.0,9.0,1.0,9.0,3.0,51.4,0.23,3.4,0.09,147.0,383.0,38.4,873.0,186.0,30.7,32.0,325.0,35.4,32.8,554.0,19.0,3.4,35.0,0.92,13.9,Serie A 2019-2020
vs Genoa,2,38.0,47.0,11.0,2.0,3.0,1.0,50.5,0.23,4.5,0.12,141.0,359.0,39.3,795.0,173.0,30.6,31.6,252.0,46.0,37.4,555.0,17.0,3.1,25.0,0.66,14.6,Serie A 2019-2020
vs Hellas Verona,2,38.0,47.0,8.0,1.0,5.0,2.0,45.5,0.25,0.5,0.01,237.0,635.0,37.3,967.0,166.0,47.7,38.4,310.0,56.1,41.1,578.0,22.0,3.8,35.0,0.92,13.7,Serie A 2019-2020
vs Inter,2,38.0,81.0,10.0,0.0,11.0,1.0,70.3,0.27,-9.7,-0.25,181.0,463.0,39.1,904.0,182.0,36.7,35.1,302.0,43.4,36.6,591.0,21.0,3.6,27.0,0.71,12.3,Serie A 2019-2020
vs Juventus,3,38.0,76.0,13.0,2.0,9.0,3.0,69.0,0.24,-4.0,-0.1,209.0,527.0,39.7,901.0,161.0,40.5,35.3,333.0,48.6,37.4,535.0,9.0,1.7,24.0,0.63,12.4,Serie A 2019-2020
vs Lazio,1,38.0,79.0,15.0,2.0,6.0,2.0,78.7,0.28,1.7,0.04,118.0,318.0,37.1,789.0,194.0,26.9,31.2,318.0,33.3,33.6,608.0,23.0,3.8,37.0,0.97,13.6,Serie A 2019-2020
vs Lecce,2,38.0,52.0,11.0,2.0,7.0,0.0,51.7,0.23,-0.3,-0.01,126.0,342.0,36.8,774.0,184.0,31.1,31.6,271.0,37.3,32.7,534.0,26.0,4.9,33.0,0.87,14.2,Serie A 2019-2020
vs Milan,3,38.0,63.0,8.0,3.0,3.0,3.0,61.6,0.28,1.6,0.04,184.0,487.0,37.8,864.0,168.0,38.4,34.8,326.0,47.5,37.5,550.0,22.0,4.0,28.0,0.74,12.9,Serie A 2019-2020
vs Napoli,2,38.0,61.0,5.0,0.0,6.0,1.0,57.7,0.23,-2.3,-0.06,198.0,487.0,40.7,870.0,188.0,37.8,34.0,352.0,44.9,35.3,630.0,24.0,3.8,13.0,0.34,10.6,Serie A 2019-2020
vs Parma,2,38.0,56.0,4.0,0.0,5.0,3.0,50.7,0.3,-2.3,-0.06,125.0,320.0,39.1,777.0,189.0,28.2,30.8,295.0,34.2,33.4,462.0,23.0,5.0,35.0,0.92,14.3,Serie A 2019-2020
vs Roma,3,38.0,77.0,12.0,3.0,10.0,4.0,67.4,0.26,-5.6,-0.15,179.0,450.0,39.8,930.0,194.0,33.8,32.0,332.0,41.0,35.6,565.0,19.0,3.4,16.0,0.42,11.4,Serie A 2019-2020
vs Sampdoria,2,38.0,48.0,9.0,3.0,4.0,0.0,47.4,0.21,-0.6,-0.02,132.0,373.0,35.4,886.0,203.0,28.9,30.3,323.0,36.2,33.9,640.0,17.0,2.7,19.0,0.5,11.9,Serie A 2019-2020
vs Sassuolo,3,38.0,69.0,5.0,3.0,4.0,0.0,57.6,0.27,-11.4,-0.3,168.0,364.0,46.2,780.0,160.0,32.1,31.8,303.0,37.6,33.7,424.0,8.0,1.9,31.0,0.82,15.8,Serie A 2019-2020
vs SPAL,3,38.0,27.0,5.0,0.0,3.0,0.0,34.0,0.22,7.0,0.18,140.0,399.0,35.1,883.0,162.0,30.8,32.3,294.0,43.2,36.6,541.0,20.0,3.7,16.0,0.42,12.7,Serie A 2019-2020
vs Torino,3,38.0,46.0,7.0,0.0,7.0,2.0,41.0,0.23,-3.0,-0.08,155.0,410.0,37.8,851.0,183.0,32.9,32.7,282.0,46.1,38.0,595.0,32.0,5.4,39.0,1.03,13.7,Serie A 2019-2020
vs Udinese,1,38.0,37.0,0.0,0.0,4.0,0.0,36.2,0.26,-0.8,-0.02,131.0,342.0,38.3,794.0,145.0,30.7,31.5,286.0,34.3,33.8,560.0,26.0,4.6,43.0,1.13,15.9,Serie A 2019-2020
vs Amiens,1,28.0,31.0,3.0,1.0,3.0,1.0,27.1,0.27,-2.9,-0.1,188.0,440.0,42.7,779.0,130.0,42.2,35.8,168.0,66.1,48.1,343.0,17.0,5.0,44.0,1.57,17.3,Ligue 1 2019-2020
vs Angers,2,28.0,28.0,1.0,1.0,3.0,1.0,28.8,0.24,1.8,0.07,116.0,317.0,36.6,646.0,149.0,30.8,31.6,225.0,52.4,41.6,429.0,16.0,3.7,18.0,0.64,12.8,Ligue 1 2019-2020
vs Bordeaux,1,28.0,40.0,2.0,2.0,7.0,0.0,31.8,0.28,-8.2,-0.29,154.0,498.0,30.9,740.0,82.0,49.1,38.4,193.0,69.9,48.8,340.0,15.0,4.4,27.0,0.96,14.9,Ligue 1 2019-2020
vs Brest,2,28.0,34.0,1.0,0.0,2.0,2.0,26.9,0.23,-5.1,-0.18,176.0,399.0,44.1,659.0,116.0,38.2,34.9,252.0,58.3,43.7,419.0,25.0,6.0,23.0,0.82,13.4,Ligue 1 2019-2020
vs Dijon,2,28.0,27.0,1.0,0.0,1.0,1.0,26.3,0.25,0.3,0.01,109.0,319.0,34.2,631.0,121.0,34.1,33.0,207.0,50.2,41.0,340.0,11.0,3.2,28.0,1.0,16.3,Ligue 1 2019-2020
vs Lille,1,28.0,35.0,5.0,0.0,5.0,0.0,41.7,0.28,6.7,0.24,163.0,449.0,36.3,668.0,127.0,43.9,37.3,233.0,67.0,46.9,400.0,17.0,4.3,18.0,0.64,12.9,Ligue 1 2019-2020
