Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,League
vs Lyon,27,28.0,530.0,303.0,266.0,222.0,42.0,237.0,578.0,41.0,341.0,251.0,71.0,180.0,315.0,845.0,543.0,11.0,Ligue 1 2019-2020
vs Marseille,23,28.0,492.0,289.0,234.0,204.0,54.0,194.0,510.0,38.0,316.0,248.0,89.0,159.0,321.0,813.0,522.0,10.0,Ligue 1 2019-2020
vs Metz,24,28.0,526.0,319.0,235.0,238.0,53.0,224.0,561.0,39.9,337.0,224.0,67.0,157.0,285.0,811.0,462.0,5.0,Ligue 1 2019-2020
vs Monaco,28,28.0,451.0,260.0,204.0,200.0,47.0,192.0,500.0,38.4,308.0,284.0,91.0,193.0,329.0,780.0,535.0,17.0,Ligue 1 2019-2020
vs Montpellier,27,28.0,423.0,236.0,207.0,166.0,50.0,231.0,449.0,51.4,218.0,270.0,72.0,198.0,297.0,720.0,596.0,6.0,Ligue 1 2019-2020
vs Nantes,29,28.0,543.0,343.0,277.0,216.0,50.0,238.0,560.0,42.5,322.0,279.0,81.0,198.0,312.0,855.0,485.0,15.0,Ligue 1 2019-2020
vs Nice,31,28.0,543.0,327.0,259.0,217.0,67.0,262.0,626.0,41.9,364.0,253.0,88.0,165.0,332.0,875.0,404.0,5.0,Ligue 1 2019-2020
vs Nîmes,28,28.0,486.0,329.0,261.0,191.0,34.0,236.0,469.0,50.3,233.0,257.0,84.0,173.0,257.0,743.0,605.0,7.0,Ligue 1 2019-2020
vs Paris S-G,31,27.0,501.0,305.0,252.0,184.0,65.0,268.0,674.0,39.8,406.0,233.0,80.0,153.0,296.0,797.0,559.0,14.0,Ligue 1 2019-2020
vs Reims,26,28.0,449.0,266.0,203.0,189.0,57.0,218.0,519.0,42.0,301.0,263.0,83.0,180.0,272.0,721.0,547.0,9.0,Ligue 1 2019-2020
vs Rennes,26,28.0,490.0,300.0,230.0,208.0,52.0,227.0,488.0,46.5,261.0,257.0,77.0,180.0,325.0,815.0,460.0,10.0,Ligue 1 2019-2020
vs Saint-Étienne,31,28.0,491.0,306.0,225.0,211.0,55.0,196.0,485.0,40.4,289.0,235.0,64.0,171.0,370.0,861.0,559.0,12.0,Ligue 1 2019-2020
vs Strasbourg,25,27.0,424.0,266.0,187.0,185.0,52.0,169.0,426.0,39.7,257.0,210.0,59.0,151.0,277.0,701.0,526.0,8.0,Ligue 1 2019-2020
vs Toulouse,30,28.0,477.0,268.0,223.0,188.0,66.0,184.0,471.0,39.1,287.0,241.0,81.0,160.0,299.0,776.0,521.0,10.0,Ligue 1 2019-2020
vs ADO Den Haag,34,26.0,345.0,218.0,157.0,147.0,41.0,112.0,301.0,37.2,189.0,166.0,49.0,117.0,186.0,531.0,524.0,5.0,Eredivisie 2019-2020
vs Ajax,29,25.0,499.0,288.0,308.0,144.0,47.0,167.0,504.0,33.1,337.0,330.0,122.0,208.0,372.0,871.0,667.0,5.0,Eredivisie 2019-2020
vs AZ Alkmaar,24,25.0,430.0,260.0,215.0,178.0,37.0,162.0,495.0,32.7,333.0,293.0,84.0,209.0,287.0,717.0,480.0,11.0,Eredivisie 2019-2020
vs Emmen,29,26.0,458.0,282.0,195.0,217.0,46.0,223.0,539.0,41.4,316.0,280.0,77.0,203.0,305.0,763.0,417.0,3.0,Eredivisie 2019-2020
vs Feyenoord,30,25.0,503.0,307.0,242.0,203.0,58.0,202.0,569.0,35.5,367.0,271.0,79.0,192.0,306.0,809.0,454.0,6.0,Eredivisie 2019-2020
vs Fortuna Sittard,27,26.0,364.0,228.0,164.0,156.0,44.0,102.0,315.0,32.4,213.0,225.0,57.0,168.0,240.0,604.0,434.0,6.0,Eredivisie 2019-2020
vs Groningen,25,26.0,382.0,238.0,194.0,148.0,40.0,148.0,430.0,34.4,282.0,241.0,70.0,171.0,252.0,634.0,551.0,3.0,Eredivisie 2019-2020
vs Heerenveen,24,26.0,560.0,364.0,311.0,190.0,59.0,305.0,637.0,47.9,332.0,261.0,99.0,162.0,317.0,877.0,482.0,11.0,Eredivisie 2019-2020
vs Heracles Almelo,23,26.0,532.0,322.0,258.0,193.0,81.0,205.0,465.0,44.1,260.0,266.0,98.0,168.0,317.0,849.0,457.0,16.0,Eredivisie 2019-2020
vs PSV Eindhoven,29,26.0,491.0,278.0,275.0,182.0,34.0,183.0,531.0,34.5,348.0,330.0,117.0,213.0,330.0,821.0,509.0,8.0,Eredivisie 2019-2020
vs RKC Waalwijk,28,26.0,479.0,301.0,234.0,206.0,39.0,196.0,457.0,42.9,261.0,278.0,91.0,187.0,256.0,735.0,493.0,4.0,Eredivisie 2019-2020
vs Sparta R'dam,23,26.0,424.0,247.0,221.0,167.0,36.0,172.0,406.0,42.4,234.0,235.0,77.0,158.0,257.0,681.0,499.0,10.0,Eredivisie 2019-2020
vs Twente,25,26.0,414.0,253.0,178.0,175.0,61.0,157.0,393.0,39.9,236.0,255.0,71.0,184.0,283.0,697.0,459.0,12.0,Eredivisie 2019-2020
vs Utrecht,30,25.0,442.0,275.0,241.0,164.0,37.0,162.0,414.0,39.1,252.0,256.0,80.0,176.0,265.0,707.0,518.0,14.0,Eredivisie 2019-2020
vs Vitesse,25,26.0,433.0,270.0,233.0,150.0,50.0,188.0,399.0,47.1,211.0,243.0,96.0,147.0,278.0,711.0,577.0,11.0,Eredivisie 2019-2020
vs VVV-Venlo,25,26.0,434.0,271.0,240.0,150.0,44.0,199.0,432.0,46.1,233.0,211.0,69.0,142.0,208.0,642.0,457.0,4.0,Eredivisie 2019-2020
vs Willem II,24,26.0,552.0,332.0,277.0,228.0,47.0,238.0,518.0,45.9,280.0,236.0,67.0,169.0,286.0,838.0,475.0,9.0,Eredivisie 2019-2020
vs Zwolle,30,26.0,455.0,290.0,188.0,210.0,57.0,191.0,442.0,43.2,251.0,240.0,68.0,172.0,252.0,707.0,427.0,15.0,Eredivisie 2019-2020
vs Aves,44,34.0,509.0,352.0,230.0,215.0,64.0,216.0,502.0,43.0,286.0,290.0,80.0,210.0,336.0,845.0,625.0,5.0,Primeira Liga 2019-2020
vs B-SAD,41,34.0,510.0,,203.0,248.0,59.0,188.0,449.0,41.9,261.0,296.0,71.0,225.0,,,636.0,9.0,Primeira Liga 2019-2020
vs Benfica,28,34.0,509.0,353.0,258.0,206.0,45.0,250.0,589.0,42.4,339.0,389.0,127.0,262.0,447.0,956.0,826.0,8.0,Primeira Liga 2019-2020
vs Boavista,27,34.0,545.0,366.0,249.0,233.0,63.0,219.0,470.0,46.6,251.0,282.0,102.0,180.0,280.0,825.0,567.0,8.0,Primeira Liga 2019-2020
vs Braga,36,34.0,473.0,310.0,258.0,174.0,41.0,200.0,506.0,39.5,306.0,356.0,102.0,254.0,440.0,913.0,808.0,13.0,Primeira Liga 2019-2020
vs Famalicão,26,34.0,532.0,362.0,283.0,187.0,62.0,245.0,529.0,46.3,284.0,292.0,91.0,201.0,427.0,959.0,550.0,10.0,Primeira Liga 2019-2020
vs Gil Vicente FC,27,34.0,546.0,361.0,284.0,207.0,55.0,167.0,433.0,38.6,266.0,285.0,79.0,206.0,354.0,900.0,632.0,7.0,Primeira Liga 2019-2020
vs Marítimo,30,34.0,523.0,342.0,217.0,237.0,69.0,186.0,496.0,37.5,310.0,259.0,73.0,186.0,353.0,876.0,571.0,11.0,Primeira Liga 2019-2020
vs Moreirense,27,34.0,528.0,356.0,228.0,228.0,72.0,172.0,460.0,37.4,288.0,301.0,79.0,222.0,385.0,913.0,578.0,5.0,Primeira Liga 2019-2020
vs Paços de Ferreira,31,34.0,491.0,323.0,252.0,194.0,45.0,170.0,404.0,42.1,234.0,302.0,102.0,200.0,306.0,797.0,735.0,8.0,Primeira Liga 2019-2020
vs Portimonense,32,34.0,565.0,358.0,256.0,263.0,46.0,202.0,486.0,41.6,284.0,314.0,106.0,208.0,370.0,935.0,684.0,7.0,Primeira Liga 2019-2020
vs Porto,28,34.0,628.0,427.0,348.0,235.0,45.0,292.0,700.0,41.7,408.0,330.0,117.0,213.0,351.0,979.0,798.0,12.0,Primeira Liga 2019-2020
vs Rio Ave,27,34.0,448.0,289.0,192.0,201.0,55.0,173.0,466.0,37.1,293.0,319.0,91.0,228.0,402.0,850.0,643.0,5.0,Primeira Liga 2019-2020
vs Santa Clara,29,34.0,472.0,309.0,213.0,200.0,59.0,170.0,399.0,42.6,229.0,234.0,72.0,162.0,307.0,779.0,727.0,7.0,Primeira Liga 2019-2020
vs Sporting CP,36,34.0,608.0,360.0,287.0,258.0,63.0,221.0,613.0,36.1,392.0,329.0,123.0,206.0,398.0,1006.0,626.0,12.0,Primeira Liga 2019-2020
vs Tondela,30,34.0,579.0,391.0,273.0,252.0,54.0,226.0,462.0,48.9,236.0,289.0,69.0,220.0,352.0,931.0,562.0,6.0,Primeira Liga 2019-2020
vs Vitória,32,34.0,589.0,396.0,359.0,179.0,51.0,246.0,633.0,38.9,387.0,359.0,113.0,246.0,355.0,944.0,840.0,9.0,Primeira Liga 2019-2020
vs Vitória Setúbal,31,34.0,573.0,376.0,229.0,274.0,70.0,221.0,536.0,41.2,315.0,263.0,71.0,192.0,294.0,867.0,537.0,5.0,Primeira Liga 2019-2020
vs Barnsley,32,46.0,769.0,488.0,416.0,285.0,68.0,290.0,687.0,42.2,397.0,555.0,193.0,362.0,647.0,1416.0,1057.0,8.0,Championship 2019-2020
vs Birmingham City,32,46.0,741.0,459.0,325.0,326.0,90.0,265.0,678.0,39.1,413.0,461.0,162.0,299.0,421.0,1162.0,1133.0,15.0,Championship 2019-2020
vs Blackburn,27,46.0,708.0,463.0,367.0,267.0,74.0,243.0,593.0,41.0,350.0,433.0,135.0,298.0,474.0,1182.0,1023.0,18.0,Championship 2019-2020
vs Brentford,29,46.0,772.0,455.0,377.0,315.0,80.0,300.0,766.0,39.2,466.0,497.0,195.0,302.0,578.0,1350.0,1005.0,13.0,Championship 2019-2020
vs Bristol City,32,46.0,668.0,413.0,290.0,306.0,72.0,263.0,666.0,39.5,403.0,396.0,131.0,265.0,437.0,1105.0,976.0,11.0,Championship 2019-2020
vs Cardiff City,29,46.0,674.0,433.0,339.0,274.0,61.0,202.0,524.0,38.5,322.0,409.0,162.0,247.0,373.0,1047.0,1180.0,14.0,Championship 2019-2020
vs Charlton Ath,33,46.0,624.0,378.0,334.0,222.0,68.0,230.0,528.0,43.6,298.0,394.0,119.0,275.0,445.0,1069.0,893.0,11.0,Championship 2019-2020
vs Derby County,31,46.0,703.0,443.0,306.0,300.0,97.0,246.0,663.0,37.1,417.0,424.0,154.0,270.0,474.0,1177.0,885.0,15.0,Championship 2019-2020
vs Fulham,28,46.0,819.0,460.0,424.0,305.0,90.0,281.0,708.0,39.7,427.0,426.0,169.0,257.0,462.0,1281.0,1046.0,15.0,Championship 2019-2020
vs Huddersfield,39,46.0,795.0,487.0,389.0,340.0,66.0,364.0,794.0,45.8,430.0,451.0,129.0,322.0,471.0,1266.0,911.0,11.0,Championship 2019-2020
vs Hull City,33,46.0,710.0,462.0,359.0,278.0,73.0,265.0,637.0,41.6,372.0,440.0,164.0,276.0,463.0,1173.0,942.0,8.0,Championship 2019-2020
vs Leeds United,28,46.0,735.0,452.0,373.0,279.0,83.0,275.0,698.0,39.4,423.0,580.0,188.0,392.0,573.0,1308.0,1284.0,14.0,Championship 2019-2020
vs Luton Town,28,46.0,769.0,485.0,383.0,298.0,88.0,276.0,660.0,41.8,384.0,447.0,120.0,327.0,475.0,1244.0,821.0,14.0,Championship 2019-2020
vs Middlesbrough,30,46.0,792.0,512.0,401.0,297.0,94.0,342.0,753.0,45.4,411.0,445.0,163.0,282.0,419.0,1211.0,948.0,19.0,Championship 2019-2020
vs Millwall,26,46.0,667.0,413.0,342.0,264.0,61.0,255.0,567.0,45.0,312.0,429.0,122.0,307.0,352.0,1019.0,1074.0,10.0,Championship 2019-2020
vs Nott'ham Forest,30,46.0,768.0,466.0,356.0,295.0,117.0,281.0,715.0,39.3,434.0,423.0,173.0,250.0,443.0,1211.0,952.0,15.0,Championship 2019-2020
vs Preston,26,46.0,592.0,381.0,341.0,207.0,44.0,242.0,487.0,49.7,245.0,403.0,141.0,262.0,417.0,1009.0,1079.0,18.0,Championship 2019-2020
vs QPR,29,46.0,785.0,504.0,370.0,343.0,72.0,299.0,772.0,38.7,473.0,422.0,147.0,275.0,495.0,1280.0,865.0,12.0,Championship 2019-2020
vs Reading,31,46.0,762.0,481.0,355.0,319.0,88.0,304.0,814.0,37.3,510.0,378.0,151.0,227.0,496.0,1258.0,856.0,12.0,Championship 2019-2020
vs Sheffield Weds,29,46.0,721.0,446.0,343.0,294.0,84.0,284.0,681.0,41.7,397.0,426.0,178.0,248.0,401.0,1122.0,993.0,10.0,Championship 2019-2020
vs Stoke City,35,46.0,613.0,376.0,294.0,242.0,77.0,220.0,500.0,44.0,280.0,424.0,147.0,277.0,322.0,935.0,1037.0,18.0,Championship 2019-2020
vs Swansea City,29,46.0,694.0,416.0,364.0,258.0,72.0,236.0,581.0,40.6,345.0,468.0,162.0,306.0,549.0,1243.0,914.0,12.0,Championship 2019-2020
vs West Brom,25,46.0,787.0,471.0,378.0,318.0,91.0,305.0,755.0,40.4,450.0,477.0,196.0,281.0,533.0,1320.0,968.0,21.0,Championship 2019-2020
vs Wigan Athletic,30,46.0,684.0,428.0,363.0,254.0,67.0,265.0,674.0,39.3,409.0,430.0,153.0,277.0,378.0,1062.0,939.0,11.0,Championship 2019-2020
vs Aberdeen,26,30.0,,0.0,,,,,,,,,,,0.0,,,,Scottish Premiership 2019-2020
vs Celtic,30,30.0,,0.0,,,,,,,,,,,0.0,,,,Scottish Premiership 2019-2020
vs Hamilton Acad.,31,30.0,,0.0,,,,,,,,,,,0.0,,,,Scottish Premiership 2019-2020
vs Hearts,34,30.0,,0.0,,,,,,,,,,,0.0,,,,Scottish Premiership 2019-2020
vs Hibernian,30,30.0,,0.0,,,,,,,,,,,0.0,,,,Scottish Premiership 2019-2020
vs Kilmarnock,30,30.0,,0.0,,,,,,,,,,,0.0,,,,Scottish Premiership 2019-2020
vs Livingston,30,30.0,,0.0,,,,,,,,,,,0.0,,,,Scottish Premiership 2019-2020
vs Motherwell,25,30.0,,0.0,,,,,,,,,,,0.0,,,,Scottish Premiership 2019-2020
vs Rangers,27,29.0,,0.0,,,,,,,,,,,0.0,,,,Scottish Premiership 2019-2020
vs Ross County,27,30.0,,0.0,,,,,,,,,,,0.0,,,,Scottish Premiership 2019-2020
vs St Johnstone,24,29.0,,0.0,,,,,,,,,,,0.0,,,,Scottish Premiership 2019-2020
vs St Mirren,28,30.0,,0.0,,,,,,,,,,,0.0,,,,Scottish Premiership 2019-2020
vs Augsburg,30,34.0,526.0,328.0,241.0,217.0,68.0,190.0,407.0,46.7,217.0,406.0,92.0,314.0,394.0,920.0,710.0,16.0,Bundesliga 2018-2019
vs Bayern Munich,24,34.0,572.0,366.0,364.0,169.0,39.0,257.0,683.0,37.6,426.0,467.0,131.0,336.0,382.0,954.0,935.0,20.0,Bundesliga 2018-2019
vs Dortmund,23,34.0,678.0,442.0,326.0,283.0,69.0,297.0,737.0,40.3,440.0,475.0,114.0,361.0,395.0,1073.0,631.0,13.0,Bundesliga 2018-2019
vs Düsseldorf,24,34.0,460.0,316.0,192.0,204.0,64.0,203.0,435.0,46.7,232.0,342.0,91.0,251.0,332.0,792.0,583.0,10.0,Bundesliga 2018-2019
vs Eint Frankfurt,30,34.0,594.0,348.0,327.0,223.0,44.0,229.0,522.0,43.9,293.0,409.0,90.0,319.0,440.0,1034.0,787.0,8.0,Bundesliga 2018-2019
vs Freiburg,28,34.0,505.0,335.0,220.0,224.0,61.0,205.0,441.0,46.5,236.0,374.0,106.0,268.0,339.0,844.0,647.0,14.0,Bundesliga 2018-2019
vs Gladbach,22,34.0,507.0,318.0,246.0,196.0,65.0,207.0,487.0,42.5,280.0,398.0,115.0,283.0,370.0,877.0,703.0,15.0,Bundesliga 2018-2019
vs Hannover 96,32,34.0,641.0,396.0,290.0,284.0,67.0,252.0,529.0,47.6,277.0,405.0,97.0,308.0,361.0,1002.0,635.0,11.0,Bundesliga 2018-2019
vs Hertha BSC,26,34.0,541.0,318.0,265.0,229.0,47.0,209.0,514.0,40.7,305.0,360.0,86.0,274.0,368.0,909.0,692.0,10.0,Bundesliga 2018-2019
vs Hoffenheim,29,34.0,601.0,354.0,317.0,209.0,75.0,240.0,596.0,40.3,356.0,428.0,127.0,301.0,428.0,1029.0,815.0,11.0,Bundesliga 2018-2019
vs Leverkusen,21,34.0,623.0,379.0,286.0,286.0,51.0,229.0,555.0,41.3,326.0,483.0,109.0,374.0,490.0,1113.0,764.0,15.0,Bundesliga 2018-2019
vs Mainz 05,28,34.0,633.0,397.0,323.0,236.0,74.0,240.0,556.0,43.2,316.0,388.0,117.0,271.0,351.0,984.0,809.0,9.0,Bundesliga 2018-2019
vs Nürnberg,27,34.0,508.0,317.0,204.0,221.0,83.0,215.0,468.0,45.9,253.0,351.0,100.0,251.0,358.0,866.0,698.0,5.0,Bundesliga 2018-2019
vs RB Leipzig,23,34.0,634.0,381.0,342.0,235.0,57.0,243.0,555.0,43.8,312.0,466.0,114.0,352.0,496.0,1130.0,753.0,9.0,Bundesliga 2018-2019
vs Schalke 04,32,34.0,629.0,383.0,299.0,270.0,60.0,252.0,610.0,41.3,358.0,355.0,95.0,260.0,392.0,1021.0,698.0,5.0,Bundesliga 2018-2019
vs Stuttgart,26,34.0,466.0,282.0,229.0,193.0,44.0,158.0,397.0,39.8,239.0,376.0,99.0,277.0,358.0,824.0,747.0,13.0,Bundesliga 2018-2019
vs Werder Bremen,24,34.0,525.0,324.0,279.0,204.0,42.0,193.0,413.0,46.7,220.0,465.0,111.0,354.0,416.0,941.0,770.0,14.0,Bundesliga 2018-2019
vs Wolfsburg,25,34.0,510.0,321.0,250.0,197.0,63.0,180.0,436.0,41.3,256.0,420.0,100.0,320.0,393.0,903.0,795.0,10.0,Bundesliga 2018-2019
vs Arsenal,28,38.0,641.0,362.0,306.0,247.0,88.0,232.0,536.0,43.3,304.0,496.0,132.0,364.0,525.0,1166.0,841.0,28.0,Premier League 2018-2019
vs Bournemouth,28,38.0,643.0,388.0,297.0,272.0,74.0,287.0,578.0,49.7,291.0,472.0,102.0,370.0,423.0,1066.0,830.0,14.0,Premier League 2018-2019
vs Brighton,21,38.0,583.0,346.0,272.0,223.0,88.0,247.0,516.0,47.9,269.0,367.0,87.0,280.0,399.0,982.0,711.0,13.0,Premier League 2018-2019
vs Burnley,23,38.0,477.0,291.0,236.0,189.0,52.0,163.0,370.0,44.1,207.0,329.0,84.0,245.0,307.0,784.0,952.0,11.0,Premier League 2018-2019
vs Cardiff City,25,38.0,546.0,326.0,283.0,217.0,46.0,214.0,474.0,45.1,260.0,373.0,117.0,256.0,314.0,860.0,987.0,15.0,Premier League 2018-2019
vs Chelsea,24,38.0,712.0,403.0,371.0,266.0,75.0,253.0,702.0,36.0,449.0,561.0,194.0,367.0,568.0,1280.0,978.0,21.0,Premier League 2018-2019
vs Crystal Palace,26,38.0,763.0,422.0,358.0,307.0,98.0,290.0,667.0,43.5,377.0,432.0,132.0,300.0,426.0,1189.0,886.0,14.0,Premier League 2018-2019
vs Everton,23,38.0,728.0,430.0,329.0,324.0,75.0,258.0,586.0,44.0,328.0,462.0,139.0,323.0,410.0,1138.0,1046.0,20.0,Premier League 2018-2019
vs Fulham,28,38.0,700.0,428.0,298.0,306.0,96.0,214.0,566.0,37.8,352.0,377.0,110.0,267.0,446.0,1146.0,765.0,18.0,Premier League 2018-2019
vs Huddersfield,31,38.0,612.0,387.0,302.0,269.0,41.0,213.0,443.0,48.1,230.0,437.0,115.0,322.0,427.0,1039.0,1014.0,19.0,Premier League 2018-2019
vs Leicester City,25,38.0,629.0,378.0,292.0,262.0,75.0,272.0,664.0,41.0,392.0,434.0,134.0,300.0,480.0,1109.0,928.0,19.0,Premier League 2018-2019
vs Liverpool,23,38.0,687.0,412.0,411.0,231.0,45.0,263.0,619.0,42.5,356.0,477.0,141.0,336.0,499.0,1186.0,1101.0,21.0,Premier League 2018-2019
vs Manchester City,21,38.0,688.0,379.0,469.0,192.0,27.0,296.0,733.0,40.4,437.0,493.0,191.0,302.0,448.0,1136.0,1133.0,27.0,Premier League 2018-2019
vs Manchester Utd,28,38.0,655.0,385.0,330.0,249.0,76.0,231.0,552.0,41.8,321.0,430.0,129.0,301.0,442.0,1097.0,898.0,21.0,Premier League 2018-2019
vs Newcastle Utd,24,38.0,608.0,367.0,281.0,257.0,70.0,207.0,443.0,46.7,236.0,389.0,116.0,273.0,351.0,959.0,922.0,18.0,Premier League 2018-2019
vs Southampton,30,38.0,601.0,348.0,320.0,222.0,59.0,221.0,508.0,43.5,287.0,406.0,134.0,272.0,377.0,978.0,889.0,23.0,Premier League 2018-2019
vs Tottenham,28,38.0,651.0,383.0,338.0,245.0,68.0,302.0,672.0,44.9,370.0,501.0,141.0,360.0,504.0,1155.0,937.0,33.0,Premier League 2018-2019
vs Watford,25,38.0,669.0,392.0,328.0,255.0,86.0,251.0,543.0,46.2,292.0,418.0,125.0,293.0,451.0,1120.0,998.0,17.0,Premier League 2018-2019
vs West Ham,26,38.0,669.0,414.0,307.0,290.0,72.0,279.0,668.0,41.8,389.0,457.0,115.0,342.0,409.0,1078.0,807.0,16.0,Premier League 2018-2019
vs Wolves,21,38.0,666.0,410.0,304.0,295.0,67.0,264.0,595.0,44.4,331.0,437.0,119.0,318.0,387.0,1053.0,828.0,24.0,Premier League 2018-2019
vs Alavés,26,38.0,554.0,330.0,259.0,240.0,55.0,213.0,489.0,43.6,276.0,363.0,91.0,272.0,364.0,918.0,859.0,10.0,La Liga 2018-2019
vs Athletic Club,27,38.0,598.0,402.0,290.0,234.0,74.0,254.0,542.0,46.9,288.0,375.0,81.0,294.0,355.0,953.0,868.0,8.0,La Liga 2018-2019
vs Atlético Madrid,29,38.0,617.0,383.0,331.0,212.0,74.0,205.0,571.0,35.9,366.0,394.0,100.0,294.0,436.0,1053.0,817.0,9.0,La Liga 2018-2019
vs Barcelona,30,38.0,742.0,435.0,426.0,252.0,64.0,307.0,753.0,40.8,446.0,438.0,106.0,332.0,545.0,1287.0,689.0,23.0,La Liga 2018-2019
vs Betis,25,38.0,659.0,392.0,318.0,258.0,83.0,267.0,716.0,37.3,449.0,421.0,114.0,307.0,424.0,1083.0,757.0,16.0,La Liga 2018-2019
vs Celta Vigo,28,38.0,617.0,379.0,290.0,250.0,77.0,246.0,626.0,39.3,380.0,386.0,120.0,266.0,361.0,978.0,727.0,13.0,La Liga 2018-2019
vs Eibar,25,38.0,635.0,393.0,387.0,197.0,51.0,248.0,592.0,41.9,344.0,453.0,98.0,355.0,474.0,1109.0,1263.0,15.0,La Liga 2018-2019
vs Espanyol,25,38.0,578.0,382.0,275.0,208.0,95.0,204.0,522.0,39.1,318.0,441.0,113.0,328.0,420.0,998.0,690.0,17.0,La Liga 2018-2019
vs Getafe,26,38.0,643.0,389.0,336.0,240.0,67.0,277.0,576.0,48.1,299.0,416.0,97.0,319.0,342.0,985.0,878.0,14.0,La Liga 2018-2019
vs Girona,26,38.0,591.0,366.0,304.0,234.0,53.0,221.0,537.0,41.2,316.0,311.0,75.0,236.0,407.0,998.0,858.0,17.0,La Liga 2018-2019
vs Huesca,30,38.0,634.0,399.0,291.0,272.0,71.0,278.0,592.0,47.0,314.0,383.0,102.0,281.0,374.0,1008.0,913.0,9.0,La Liga 2018-2019
vs Leganés,29,38.0,520.0,342.0,255.0,198.0,67.0,216.0,469.0,46.1,253.0,319.0,78.0,241.0,351.0,871.0,916.0,11.0,La Liga 2018-2019
vs Levante,26,38.0,765.0,480.0,367.0,296.0,102.0,336.0,738.0,45.5,402.0,397.0,106.0,291.0,397.0,1162.0,825.0,12.0,La Liga 2018-2019
vs Rayo Vallecano,29,38.0,809.0,491.0,335.0,354.0,120.0,314.0,848.0,37.0,534.0,380.0,120.0,260.0,371.0,1180.0,768.0,15.0,La Liga 2018-2019
vs Real Madrid,27,38.0,651.0,397.0,334.0,243.0,74.0,295.0,755.0,39.1,460.0,465.0,148.0,317.0,449.0,1100.0,856.0,18.0,La Liga 2018-2019
vs Real Sociedad,30,38.0,733.0,478.0,349.0,290.0,94.0,267.0,678.0,39.4,411.0,406.0,89.0,317.0,390.0,1123.0,721.0,11.0,La Liga 2018-2019
vs Sevilla,27,38.0,640.0,396.0,297.0,245.0,98.0,249.0,606.0,41.1,357.0,455.0,128.0,327.0,444.0,1084.0,994.0,15.0,La Liga 2018-2019
vs Valencia,25,38.0,583.0,377.0,270.0,247.0,66.0,246.0,589.0,41.8,343.0,387.0,95.0,292.0,448.0,1031.0,818.0,16.0,La Liga 2018-2019
vs Valladolid,28,38.0,530.0,347.0,260.0,216.0,54.0,183.0,477.0,38.4,294.0,358.0,87.0,271.0,395.0,925.0,825.0,12.0,La Liga 2018-2019
vs Villarreal,26,38.0,595.0,359.0,319.0,205.0,71.0,255.0,603.0,42.3,348.0,403.0,129.0,274.0,439.0,1034.0,786.0,15.0,La Liga 2018-2019
vs Atalanta,27,38.0,755.0,458.0,416.0,275.0,64.0,291.0,654.0,44.5,363.0,475.0,153.0,322.0,472.0,1227.0,893.0,20.0,Serie A 2018-2019
vs Bologna,29,38.0,629.0,409.0,310.0,238.0,81.0,269.0,542.0,49.6,273.0,380.0,125.0,255.0,369.0,998.0,874.0,14.0,Serie A 2018-2019
vs Cagliari,30,38.0,534.0,306.0,251.0,222.0,61.0,166.0,346.0,48.0,180.0,365.0,95.0,270.0,377.0,911.0,860.0,8.0,Serie A 2018-2019
vs Chievo,36,38.0,522.0,315.0,210.0,248.0,64.0,164.0,365.0,44.9,201.0,343.0,85.0,258.0,344.0,866.0,715.0,4.0,Serie A 2018-2019
vs Empoli,29,38.0,590.0,373.0,298.0,230.0,62.0,223.0,556.0,40.1,333.0,444.0,127.0,317.0,406.0,996.0,750.0,10.0,Serie A 2018-2019
vs Fiorentina,27,38.0,661.0,408.0,343.0,238.0,80.0,284.0,590.0,48.1,306.0,412.0,154.0,258.0,383.0,1044.0,916.0,15.0,Serie A 2018-2019
vs Frosinone,33,38.0,562.0,342.0,256.0,239.0,67.0,214.0,427.0,50.1,213.0,384.0,114.0,270.0,334.0,896.0,820.0,13.0,Serie A 2018-2019
vs Genoa,31,38.0,541.0,340.0,272.0,216.0,53.0,212.0,501.0,42.3,289.0,381.0,131.0,250.0,350.0,891.0,981.0,10.0,Serie A 2018-2019
vs Inter,23,38.0,535.0,341.0,285.0,178.0,72.0,225.0,510.0,44.1,285.0,445.0,166.0,279.0,434.0,969.0,1133.0,16.0,Serie A 2018-2019
vs Juventus,31,38.0,581.0,372.0,285.0,212.0,84.0,261.0,637.0,41.0,376.0,418.0,153.0,265.0,362.0,943.0,913.0,15.0,Serie A 2018-2019
vs Lazio,30,38.0,600.0,377.0,324.0,216.0,60.0,268.0,612.0,43.8,344.0,471.0,163.0,308.0,439.0,1039.0,885.0,13.0,Serie A 2018-2019
vs Milan,23,38.0,617.0,382.0,292.0,243.0,82.0,202.0,543.0,37.2,341.0,427.0,161.0,266.0,428.0,1045.0,801.0,10.0,Serie A 2018-2019
vs Napoli,26,38.0,559.0,347.0,274.0,201.0,84.0,234.0,570.0,41.1,336.0,469.0,168.0,301.0,442.0,1001.0,864.0,18.0,Serie A 2018-2019
vs Parma,31,38.0,613.0,408.0,262.0,246.0,105.0,238.0,517.0,46.0,279.0,365.0,88.0,277.0,338.0,951.0,617.0,12.0,Serie A 2018-2019
