Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,League,Season
25,Mohamed Ali Cho,fr FRA,"FW,MF",Nice,20,2004,27,21,"1,621",18.0,3,4,7,3,0,0,2,0,4.0,4.0,4.0,7.9,81,59,133,0.17,0.22,0.39,0.17,0.39,0.22,0.22,0.44,0.22,0.44,Matches,Ligue 1,2024/25
26,Jim Allevinah,ga GAB,FW,Angers,29,1995,28,23,"1,750",19.4,1,3,4,1,0,0,3,0,4.2,4.2,2.5,6.7,57,48,99,0.05,0.15,0.21,0.05,0.21,0.22,0.13,0.35,0.22,0.35,Matches,Ligue 1,2024/25
27,Thiago Almada,ar ARG,"MF,FW",Lyon,23,2001,16,9,951,10.6,1,4,5,1,0,0,3,0,2.0,2.0,2.6,4.6,38,97,50,0.09,0.38,0.47,0.09,0.47,0.19,0.25,0.44,0.19,0.44,Matches,Ligue 1,2024/25
28,Jordan Amavi,fr FRA,DF,Brest,30,1994,11,8,790,8.8,0,0,0,0,0,0,2,0,0.3,0.3,0.2,0.4,22,36,21,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05,Matches,Ligue 1,2024/25
29,Kelvin Amian,fr FRA,DF,Nantes,26,1998,30,23,"2,165",24.1,1,0,1,1,0,0,5,0,1.0,1.0,0.8,1.8,32,73,77,0.04,0.00,0.04,0.04,0.04,0.04,0.03,0.08,0.04,0.08,Matches,Ligue 1,2024/25
30,Michael Amir Murillo,pa PAN,DF,Marseille,28,1996,30,27,"2,437",27.1,1,3,4,1,0,0,3,0,1.5,1.5,3.3,4.8,43,140,100,0.04,0.11,0.15,0.04,0.15,0.06,0.12,0.18,0.06,0.18,Matches,Ligue 1,2024/25
31,Samuel Amo-Ameyaw,eng ENG,"DF,MF",Strasbourg,18,2006,9,3,320,3.6,2,0,2,2,0,0,0,0,0.7,0.7,0.6,1.3,11,12,18,0.56,0.00,0.56,0.56,0.56,0.20,0.16,0.35,0.20,0.35,Matches,Ligue 1,2024/25
32,Mathis Amougou,fr FRA,MF,Saint-Étienne,18,2006,17,9,859,9.5,0,0,0,0,0,0,2,0,0.5,0.5,0.4,0.8,8,36,17,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.09,0.05,0.09,Matches,Ligue 1,2024/25
33,Benjamin André,fr FRA,MF,Lille,33,1990,30,30,"2,692",29.9,0,3,3,0,0,0,12,0,1.4,1.4,1.9,3.3,29,209,72,0.00,0.10,0.10,0.00,0.10,0.05,0.06,0.11,0.05,0.11,Matches,Ligue 1,2024/25
34,Kyllian Antonio,fr FRA,"DF,MF",Lens,16,2008,3,2,139,1.5,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,0,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches,Ligue 1,2024/25
35,Dennis Appiah,fr FRA,DF,Saint-Étienne,32,1992,29,22,"2,128",23.6,0,1,1,0,0,0,2,0,0.2,0.2,2.1,2.3,51,108,110,0.00,0.04,0.04,0.00,0.04,0.01,0.09,0.10,0.01,0.10,Matches,Ligue 1,2024/25
36,Carlens Arcus,ht HAI,DF,Angers,28,1996,28,25,"2,047",22.7,0,1,1,0,0,0,3,0,0.0,0.0,1.4,1.4,39,70,79,0.00,0.04,0.04,0.00,0.04,0.00,0.06,0.06,0.00,0.06,Matches,Ligue 1,2024/25
37,Hákon Arnar Haraldsson,is ISL,"MF,FW",Lille,21,2003,25,21,"1,755",19.5,5,3,8,5,0,0,3,0,3.8,3.8,2.8,6.6,52,102,143,0.26,0.15,0.41,0.26,0.41,0.19,0.14,0.34,0.19,0.34,Matches,Ligue 1,2024/25
38,Marco Asensio,es ESP,"FW,MF",Paris S-G,28,1996,12,8,618,6.9,2,4,6,2,0,0,0,0,5.6,5.6,2.7,8.3,19,36,49,0.29,0.58,0.87,0.29,0.87,0.82,0.39,1.21,0.82,1.21,Matches,Ligue 1,2024/25
39,Lorenz Assignon,tg TOG,"DF,MF",Rennes,24,2000,32,27,"2,357",26.2,3,4,7,3,0,0,9,0,2.2,2.2,3.5,5.7,98,116,206,0.11,0.15,0.27,0.11,0.27,0.08,0.14,0.22,0.08,0.22,Matches,Ligue 1,2024/25
40,Dehmaine Assoumani,fr FRA,"MF,FW",Nantes,19,2005,12,0,98,1.1,0,0,0,0,0,0,0,0,0.1,0.1,0.9,1.0,4,1,15,0.00,0.00,0.00,0.00,0.00,0.08,0.83,0.91,0.08,0.91,Matches,Ligue 1,2024/25
41,Valentin Atangana Edoa,fr FRA,MF,Reims,18,2005,34,33,"2,854",31.7,1,0,1,1,0,0,7,0,2.5,2.5,1.1,3.6,41,93,38,0.03,0.00,0.03,0.03,0.03,0.08,0.03,0.11,0.08,0.11,Matches,Ligue 1,2024/25
42,Florian Ayé,fr FRA,FW,Auxerre,27,1997,26,4,575,6.4,2,0,2,2,0,0,0,0,1.9,1.9,0.1,2.0,5,7,30,0.31,0.00,0.31,0.31,0.31,0.30,0.02,0.32,0.30,0.32,Matches,Ligue 1,2024/25
43,André Ayew,gh GHA,FW,Le Havre,34,1989,27,15,"1,453",16.1,4,1,5,4,0,0,2,0,4.3,4.3,0.2,4.6,5,18,43,0.25,0.06,0.31,0.25,0.31,0.27,0.02,0.28,0.27,0.28,Matches,Ligue 1,2024/25
44,Neil El Aynaoui,fr FRA,MF,Lens,23,2001,24,17,"1,588",17.6,8,1,9,5,3,3,4,0,4.0,1.6,2.0,3.6,11,75,29,0.45,0.06,0.51,0.28,0.34,0.23,0.11,0.34,0.09,0.21,Matches,Ligue 1,2024/25
45,Shavy Babicka,ga GAB,"MF,FW",Toulouse,24,2000,30,11,"1,186",13.2,4,2,6,4,0,0,2,0,3.9,3.9,1.6,5.5,36,21,122,0.30,0.15,0.46,0.30,0.46,0.30,0.12,0.42,0.30,0.42,Matches,Ligue 1,2024/25
46,Juma Bah,sl SLE,DF,Lens,18,2006,10,8,686,7.6,0,0,0,0,0,0,2,0,0.1,0.1,0.2,0.3,3,9,1,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches,Ligue 1,2024/25
47,Theo Bair,ca CAN,FW,Auxerre,24,1999,29,11,939,10.4,2,1,3,2,0,0,1,0,3.0,3.0,1.2,4.2,15,16,42,0.19,0.10,0.29,0.19,0.29,0.29,0.11,0.40,0.29,0.40,Matches,Ligue 1,2024/25
48,Mitchel Bakker,nl NED,"FW,DF",Lille,24,2000,24,14,"1,139",12.7,3,2,5,3,0,0,3,1,3.0,3.0,2.7,5.6,43,57,120,0.24,0.16,0.40,0.24,0.40,0.23,0.21,0.44,0.23,0.44,Matches,Ligue 1,2024/25
49,Darryl Bakola,fr FRA,"DF,MF",Marseille,16,2007,2,0,14,0.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1,2024/25
50,Dilane Bakwa,fr FRA,"MF,DF",Strasbourg,21,2002,30,29,"2,497",27.7,6,8,14,6,0,0,4,0,4.7,4.7,6.6,11.3,107,129,249,0.22,0.29,0.50,0.22,0.50,0.17,0.24,0.41,0.17,0.41,Matches,Ligue 1,2024/25
