Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,League,Season
84,Carlos Benavídez,uy URU,MF,Alavés,26,1998,18,6,487,5.4,1,1,2,1,0,0,3,0,0.3,0.3,0.6,0.9,4,26,5,0.18,0.18,0.37,0.18,0.37,0.05,0.11,0.16,0.05,0.16,Matches,laliga,2024/25
85,Iker Benito,es ESP,"FW,MF",Osasuna,21,2002,2,0,37,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,4,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.00,0.09,Matches,laliga,2024/25
86,Yuri Berchiche,es ESP,DF,Athletic Club,34,1990,30,22,"2,044",22.7,0,2,2,0,0,0,5,0,0.6,0.6,2.2,2.8,43,161,66,0.00,0.09,0.09,0.00,0.09,0.02,0.10,0.12,0.02,0.12,Matches,laliga,2024/25
87,Álex Berenguer,es ESP,"FW,MF",Athletic Club,29,1995,36,28,"2,339",26.0,6,7,13,6,0,1,5,0,6.8,6.0,5.0,11.0,65,78,216,0.23,0.27,0.50,0.23,0.50,0.26,0.19,0.45,0.23,0.42,Matches,laliga,2024/25
88,Marc Bernal,es ESP,MF,Barcelona,17,2007,3,3,242,2.7,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,0,8,2,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.03,0.03,0.03,Matches,laliga,2024/25
89,Juan Bernat,es ESP,"DF,MF",Villarreal,31,1993,10,1,212,2.4,0,1,1,0,0,0,0,0,0.3,0.3,0.4,0.7,4,8,23,0.00,0.42,0.42,0.00,0.42,0.12,0.17,0.29,0.12,0.29,Matches,laliga,2024/25
90,Juan Bernat,es ESP,"MF,DF",Getafe,31,1993,14,9,699,7.8,0,1,1,0,0,0,0,0,0.1,0.1,0.7,0.8,2,14,36,0.00,0.13,0.13,0.00,0.13,0.02,0.09,0.11,0.02,0.11,Matches,laliga,2024/25
91,Juan Berrocal,es ESP,DF,Getafe,25,1999,19,11,"1,063",11.8,0,0,0,0,0,0,8,1,0.4,0.4,0.0,0.4,1,25,1,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches,laliga,2024/25
92,Antonio Blanco,es ESP,MF,Alavés,24,2000,35,32,"2,727",30.3,0,1,1,0,0,0,11,1,0.8,0.8,1.6,2.4,13,146,19,0.00,0.03,0.03,0.00,0.03,0.03,0.05,0.08,0.03,0.08,Matches,laliga,2024/25
93,Daley Blind,nl NED,DF,Girona,34,1990,34,31,"2,780",30.9,0,2,2,0,0,0,2,0,0.5,0.5,1.6,2.1,71,272,61,0.00,0.06,0.06,0.00,0.06,0.02,0.05,0.07,0.02,0.07,Matches,laliga,2024/25
