Empty,Empty,Empty,Empty,Empty,Empty,Empty,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Matches,League,Season
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
26,Tomás Araújo,pt POR,DF,Benfica,22,2002,28,28,"2,311",25.7,1,2,3,1,0,0,1,0,1.0,1.0,0.9,1.9,39,136,57,0.04,0.08,0.12,0.04,0.12,0.04,0.04,0.07,0.04,0.07,Matches,Primeira Liga,2024/25
27,Telmo Arcanjo,cv CPV,FW,Vitória,23,2001,28,17,"1,320",14.7,5,2,7,5,0,0,6,0,3.5,3.5,2.3,5.9,44,53,117,0.34,0.14,0.48,0.34,0.48,0.24,0.16,0.40,0.24,0.40,Matches,Primeira Liga,2024/25
28,Gboly Ariyibi,us USA,"FW,MF",Boavista,29,1995,11,2,343,3.8,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,10,9,22,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.08,0.04,0.08,Matches,Primeira Liga,2024/25
29,Henrique Arreiol,pt POR,MF,Sporting CP,19,2005,3,0,24,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,1,1,0.00,0.00,0.00,0.00,0.00,0.42,0.00,0.42,0.42,0.42,Matches,Primeira Liga,2024/25
30,Bright Arrey-Mbi,de GER,DF,Braga,21,2003,15,13,"1,135",12.6,0,0,0,0,0,0,3,1,0.0,0.0,0.2,0.2,4,41,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.00,0.02,Matches,Primeira Liga,2024/25
31,Afonso Assis,pt POR,MF,Moreirense,18,2006,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2024/25
32,Gustavo Assuncao,pt POR,MF,AVS Futebol,24,2000,23,19,"1,577",17.5,2,0,2,0,2,2,13,1,2.4,0.8,0.5,1.3,11,59,14,0.11,0.00,0.11,0.00,0.00,0.14,0.03,0.16,0.05,0.07,Matches,Primeira Liga,2024/25
33,Otavio Ataide,br BRA,DF,Porto,22,2002,20,18,"1,632",18.1,2,0,2,2,0,0,6,0,1.5,1.5,0.2,1.6,20,121,16,0.11,0.00,0.11,0.11,0.11,0.08,0.01,0.09,0.08,0.09,Matches,Primeira Liga,2024/25
34,João Aurélio,pt POR,"DF,FW",Nacional,35,1988,14,4,409,4.5,1,1,2,1,0,0,1,0,0.4,0.4,0.6,1.0,9,11,19,0.22,0.22,0.44,0.22,0.44,0.08,0.14,0.22,0.08,0.22,Matches,Primeira Liga,2024/25
35,Fredrik Aursnes,no NOR,"MF,FW",Benfica,28,1995,29,28,"2,350",26.1,3,5,8,3,0,0,1,0,2.4,2.4,4.6,7.0,45,165,159,0.11,0.19,0.31,0.11,0.31,0.09,0.17,0.27,0.09,0.27,Matches,Primeira Liga,2024/25
36,Daniel Azevedo,pt POR,GK,Casa Pia,26,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2024/25
37,Ibrahima Ba,sn SEN,DF,Famalicão,19,2005,2,1,103,1.1,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,3,0,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.18,0.18,0.18,Matches,Primeira Liga,2024/25
38,Felix Bacher,at AUT,DF,Estoril,23,2000,23,23,"2,070",23.0,2,0,2,2,0,0,6,0,0.4,0.4,0.0,0.4,3,33,2,0.09,0.00,0.09,0.09,0.09,0.02,0.00,0.02,0.02,0.02,Matches,Primeira Liga,2024/25
39,Miguel Baeza,es ESP,"MF,FW",Nacional,24,2000,5,2,203,2.3,1,0,1,1,0,0,0,0,0.4,0.4,0.0,0.4,2,6,4,0.44,0.00,0.44,0.44,0.44,0.18,0.01,0.19,0.18,0.19,Matches,Primeira Liga,2024/25
40,Alexander Bah,dk DEN,DF,Benfica,26,1997,18,17,"1,412",15.7,0,1,1,0,0,0,2,0,1.0,1.0,1.2,2.2,32,76,127,0.00,0.06,0.06,0.00,0.06,0.06,0.07,0.14,0.06,0.14,Matches,Primeira Liga,2024/25
41,Ney Bahia,br BRA,MF,Santa Clara,20,2004,2,0,62,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,2,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.18,0.18,0.18,Matches,Primeira Liga,2024/25
42,Adrian Bajrami,al ALB,DF,Benfica,22,2002,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2024/25
43,Theofanis Bakoulas,gr GRE,MF,Rio Ave,19,2005,10,5,390,4.3,1,0,1,1,0,0,3,0,0.3,0.3,0.4,0.7,3,10,12,0.23,0.00,0.23,0.23,0.23,0.06,0.09,0.15,0.06,0.15,Matches,Primeira Liga,2024/25
44,Elves Baldé,gw GNB,"MF,FW",Farense,24,1999,20,12,"1,045",11.6,1,2,3,1,0,0,1,1,2.0,2.0,2.7,4.7,29,26,49,0.09,0.17,0.26,0.09,0.26,0.18,0.23,0.41,0.18,0.41,Matches,Primeira Liga,2024/25
45,Mohamed Bamba,ci CIV,MF,Gil Vicente FC,19,2004,11,11,956,10.6,1,0,1,1,0,0,3,0,1.4,1.4,0.1,1.6,3,34,8,0.09,0.00,0.09,0.09,0.09,0.13,0.01,0.15,0.13,0.15,Matches,Primeira Liga,2024/25
46,Robson Bambu,br BRA,DF,Braga,26,1997,15,10,"1,023",11.4,1,0,1,1,0,0,6,0,0.3,0.3,0.1,0.4,8,45,2,0.09,0.00,0.09,0.09,0.09,0.03,0.01,0.03,0.03,0.03,Matches,Primeira Liga,2024/25
47,Chico Banza,ao ANG,FW,Estrela,25,1998,13,8,688,7.6,1,0,1,1,0,0,4,0,1.9,1.9,0.3,2.2,23,11,43,0.13,0.00,0.13,0.13,0.13,0.25,0.04,0.28,0.25,0.28,Matches,Primeira Liga,2024/25
48,Simon Banza,cd COD,FW,Braga,27,1996,1,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2024/25
49,Rafael Barbosa,pt POR,"MF,FW",Farense,28,1996,7,3,359,4.0,0,0,0,0,0,0,2,0,0.2,0.2,0.6,0.8,5,28,21,0.00,0.00,0.00,0.00,0.00,0.04,0.15,0.19,0.04,0.19,Matches,Primeira Liga,2024/25
50,Leandro Barreiro Martins,lu LUX,MF,Benfica,24,2000,27,11,"1,211",13.5,3,1,4,3,0,0,5,0,3.8,3.8,1.6,5.4,12,50,50,0.22,0.07,0.30,0.22,0.30,0.28,0.12,0.40,0.28,0.40,Matches,Primeira Liga,2024/25
