Empty,Empty,Empty,Empty,Empty,Empty,Empty,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Matches,League,Season
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
179,João Ferreira,pt POR,DF,Braga,23,2001,21,13,"1,311",14.6,0,1,1,0,0,0,6,0,0.6,0.6,1.0,1.5,27,69,40,0.00,0.07,0.07,0.00,0.07,0.04,0.07,0.11,0.04,0.11,Matches,Primeira Liga,2024/25
180,Marcelo dos Santos Ferreira,br BRA,DF,Moreirense,35,1989,33,33,"2,970",33.0,1,0,1,1,0,0,7,0,1.0,1.0,0.8,1.7,3,49,3,0.03,0.00,0.03,0.03,0.03,0.03,0.02,0.05,0.03,0.05,Matches,Primeira Liga,2024/25
181,Pedro Ferreira,pt POR,MF,Santa Clara,26,1998,32,20,"1,826",20.3,0,4,4,0,0,0,8,0,1.3,1.3,1.5,2.9,9,50,30,0.00,0.20,0.20,0.00,0.20,0.07,0.08,0.14,0.07,0.14,Matches,Primeira Liga,2024/25
182,Tiago Ferreira,pt POR,"FW,DF",Estrela,22,2002,3,1,53,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,2,6,0.00,0.00,0.00,0.00,0.00,0.05,0.11,0.16,0.05,0.16,Matches,Primeira Liga,2024/25
183,Daniel Figueira,pt POR,GK,Estoril,26,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2024/25
184,Sidoine Fogning,cm CMR,DF,Boavista,22,2001,13,13,"1,170",13.0,0,0,0,0,0,0,3,0,0.2,0.2,0.2,0.3,2,29,2,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.03,0.01,0.03,Matches,Primeira Liga,2024/25
185,Tiago Fonseca Morais,pt POR,"FW,MF",Rio Ave,20,2003,31,18,"1,562",17.4,4,0,4,4,0,1,1,0,3.8,3.0,1.7,4.7,36,63,101,0.23,0.00,0.23,0.23,0.23,0.22,0.10,0.32,0.17,0.27,Matches,Primeira Liga,2024/25
186,José Fontán,es ESP,DF,Arouca,24,2000,29,29,"2,589",28.8,1,0,1,1,0,0,10,0,1.1,1.1,0.1,1.1,9,75,3,0.03,0.00,0.03,0.03,0.03,0.04,0.00,0.04,0.04,0.04,Matches,Primeira Liga,2024/25
187,José Fonte,pt POR,DF,Casa Pia,40,1983,25,24,"2,024",22.5,0,0,0,0,0,0,5,1,0.9,0.9,0.1,1.0,4,32,4,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches,Primeira Liga,2024/25
188,Lucas França,br BRA,GK,Nacional,28,1996,33,33,"2,925",32.5,0,0,0,0,0,0,5,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2024/25
189,André Franco,pt POR,"MF,FW",Porto,26,1998,17,4,435,4.8,1,0,1,1,0,0,4,0,0.5,0.5,1.3,1.8,8,26,19,0.21,0.00,0.21,0.21,0.21,0.11,0.27,0.37,0.11,0.37,Matches,Primeira Liga,2024/25
190,Afonso Freitas,pt POR,DF,Nacional,24,2000,1,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2024/25
191,Iván Fresneda,es ESP,"DF,MF",Sporting CP,19,2004,18,11,961,10.7,3,0,3,3,0,0,2,0,1.9,1.9,1.0,3.0,28,42,70,0.28,0.00,0.28,0.28,0.28,0.18,0.10,0.28,0.18,0.28,Matches,Primeira Liga,2024/25
192,Godfried Frimpong,nl NED,DF,Moreirense,25,1999,30,29,"2,539",28.2,1,3,4,1,0,0,6,0,0.6,0.6,2.8,3.3,28,66,98,0.04,0.11,0.14,0.04,0.14,0.02,0.10,0.12,0.02,0.12,Matches,Primeira Liga,2024/25
193,Kanya Fujimoto,jp JPN,MF,Gil Vicente FC,25,1999,30,28,"2,219",24.7,5,5,10,4,1,1,1,0,4.0,3.2,4.2,7.4,34,93,124,0.20,0.20,0.41,0.16,0.37,0.16,0.17,0.33,0.13,0.30,Matches,Primeira Liga,2024/25
194,Taichi Fukui,jp JPN,MF,Arouca,20,2004,30,25,"2,183",24.3,0,2,2,0,0,0,5,0,0.8,0.8,1.4,2.2,25,103,30,0.00,0.08,0.08,0.00,0.08,0.03,0.06,0.09,0.03,0.09,Matches,Primeira Liga,2024/25
195,Rúben Furtado,pt POR,"FW,MF",Braga,18,2005,4,0,51,0.6,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.6,4,2,5,0.00,0.00,0.00,0.00,0.00,0.87,0.11,0.98,0.87,0.98,Matches,Primeira Liga,2024/25
196,Tiago Gabriel,pt POR,DF,Estrela,19,2004,11,11,980,10.9,1,0,1,1,0,0,2,0,0.6,0.6,0.0,0.6,2,22,1,0.09,0.00,0.09,0.09,0.09,0.05,0.00,0.06,0.05,0.06,Matches,Primeira Liga,2024/25
197,Galeno,br BRA,"FW,DF",Porto,26,1997,18,17,"1,445",16.1,8,0,8,4,4,6,4,0,9.1,4.2,2.2,6.4,56,58,175,0.50,0.00,0.50,0.25,0.25,0.57,0.14,0.71,0.26,0.40,Matches,Primeira Liga,2024/25
198,Tiago Galletto,uy URU,MF,AVS Futebol,22,2002,3,0,90,1.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches,Primeira Liga,2024/25
199,Nino Galović,hr CRO,DF,Arouca,32,1992,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2024/25
200,João Tiago Serrão Garcês,pt POR,MF,Nacional,31,1993,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches,Primeira Liga,2024/25
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Primeira Liga,2024/25
201,García,br BRA,DF,Nacional,22,2002,33,31,"2,799",31.1,0,3,3,0,0,0,5,0,0.4,0.4,3.2,3.6,56,103,109,0.00,0.10,0.10,0.00,0.10,0.01,0.10,0.11,0.01,0.11,Matches,Primeira Liga,2024/25
202,Fabrício Garcia,cv CPV,"FW,DF",Estoril,23,2001,24,15,"1,269",14.1,0,0,0,0,0,0,3,0,1.9,1.9,0.8,2.6,52,15,96,0.00,0.00,0.00,0.00,0.00,0.13,0.05,0.19,0.13,0.19,Matches,Primeira Liga,2024/25
203,Santiago García,es ESP,MF,Gil Vicente FC,22,2001,27,16,"1,475",16.4,4,2,6,4,0,0,10,0,1.4,1.4,1.3,2.7,17,66,46,0.24,0.12,0.37,0.24,0.37,0.09,0.08,0.17,0.09,0.17,Matches,Primeira Liga,2024/25
204,Bruno Gaspar,ao ANG,DF,Vitória,31,1993,13,10,918,10.2,0,0,0,0,0,0,2,0,0.2,0.2,0.9,1.1,17,45,72,0.00,0.00,0.00,0.00,0.00,0.02,0.09,0.11,0.02,0.11,Matches,Primeira Liga,2024/25
205,Mory Gbane,ci CIV,"MF,DF",Gil Vicente FC,23,2000,18,16,"1,471",16.3,1,0,1,1,0,0,3,0,1.2,1.2,0.2,1.4,17,48,10,0.06,0.00,0.06,0.06,0.06,0.07,0.01,0.09,0.07,0.09,Matches,Primeira Liga,2024/25
206,Geovanny,pt POR,MF,Farense,20,2004,6,1,164,1.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,6,5,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches,Primeira Liga,2024/25
207,André Geraldes,pt POR,"MF,DF",Casa Pia,33,1991,26,13,"1,342",14.9,0,1,1,0,0,0,5,0,0.3,0.3,1.1,1.4,14,38,47,0.00,0.07,0.07,0.00,0.07,0.02,0.07,0.10,0.02,0.10,Matches,Primeira Liga,2024/25
208,Ismaël Gharbi,es ESP,"FW,MF",Braga,20,2004,23,13,"1,058",11.8,4,3,7,4,0,0,2,0,2.8,2.8,1.4,4.1,35,46,115,0.34,0.26,0.60,0.34,0.60,0.24,0.12,0.35,0.24,0.35,Matches,Primeira Liga,2024/25
209,Marco van Ginkel,nl NED,"MF,FW",Boavista,31,1992,11,9,682,7.6,1,1,2,0,1,1,2,0,1.6,0.8,0.5,1.2,3,17,22,0.13,0.13,0.26,0.00,0.13,0.21,0.06,0.27,0.10,0.16,Matches,Primeira Liga,2024/25
210,José Gomes,pt POR,DF,Nacional,28,1996,28,27,"2,344",26.0,3,1,4,3,0,0,3,0,1.5,1.5,1.8,3.3,32,65,110,0.12,0.04,0.15,0.12,0.15,0.06,0.07,0.13,0.06,0.13,Matches,Primeira Liga,2024/25
211,Pedro gomes,pt POR,DF,Boavista,21,2003,21,18,"1,452",16.1,0,0,0,0,0,0,7,1,0.9,0.9,0.1,1.0,2,35,16,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.06,0.06,0.06,Matches,Primeira Liga,2024/25
212,Vítor Gomes,pt POR,MF,Rio Ave,36,1987,6,1,93,1.0,0,1,1,0,0,0,0,0,0.0,0.0,0.6,0.6,0,7,1,0.00,0.97,0.97,0.00,0.97,0.00,0.62,0.62,0.00,0.62,Matches,Primeira Liga,2024/25
213,William Gomes,br BRA,"MF,FW",Porto,18,2006,8,0,155,1.7,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.5,4,7,19,0.00,0.00,0.00,0.00,0.00,0.13,0.18,0.32,0.13,0.32,Matches,Primeira Liga,2024/25
214,Victor Gomez,es ESP,DF,Braga,24,2000,27,21,"1,908",21.2,0,2,2,0,0,0,1,0,0.9,0.9,1.9,2.8,38,132,160,0.00,0.09,0.09,0.00,0.09,0.04,0.09,0.13,0.04,0.13,Matches,Primeira Liga,2024/25
215,Nuno Gonçalo Moreira,pt POR,"FW,MF",Casa Pia,25,1999,21,18,"1,491",16.6,5,5,10,5,0,0,3,1,3.0,3.0,2.1,5.1,40,79,89,0.30,0.30,0.60,0.30,0.60,0.18,0.13,0.31,0.18,0.31,Matches,Primeira Liga,2024/25
216,Franscisco Gonçalves,pt POR,DF,Nacional,20,2004,1,0,18,0.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2024/25
217,João Gonçalves,pt POR,GK,Boavista,23,2000,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2024/25
218,Pedro Gonçalves,pt POR,"MF,FW",Sporting CP,26,1998,14,12,870,9.7,5,4,9,5,0,0,3,0,4.2,4.2,4.1,8.4,21,51,70,0.52,0.41,0.93,0.52,0.93,0.44,0.43,0.86,0.44,0.86,Matches,Primeira Liga,2024/25
219,Cristo González,es ESP,MF,Arouca,26,1997,2,2,180,2.0,0,1,1,0,0,0,0,0,0.2,0.2,0.8,1.0,3,10,10,0.00,0.50,0.50,0.00,0.50,0.08,0.42,0.50,0.08,0.50,Matches,Primeira Liga,2024/25
220,Mario González,es ESP,FW,Famalicão,28,1996,16,3,576,6.4,2,2,4,2,0,0,0,0,1.9,1.9,0.5,2.4,3,4,31,0.31,0.31,0.62,0.31,0.62,0.29,0.08,0.37,0.29,0.37,Matches,Primeira Liga,2024/25
221,Nicolás González,es ESP,MF,Porto,22,2002,17,17,"1,441",16.0,5,3,8,5,0,0,6,1,4.3,4.3,0.7,5.0,22,114,42,0.31,0.19,0.50,0.31,0.50,0.27,0.05,0.31,0.27,0.31,Matches,Primeira Liga,2024/25
222,Jean Gorby,fr FRA,MF,Braga,22,2002,24,14,"1,217",13.5,1,0,1,1,0,0,3,0,0.5,0.5,0.2,0.7,4,68,12,0.07,0.00,0.07,0.07,0.07,0.04,0.01,0.05,0.04,0.05,Matches,Primeira Liga,2024/25
223,João Goulart Silva,pt POR,DF,Casa Pia,24,2000,33,32,"2,838",31.5,2,0,2,2,0,0,4,0,1.0,1.0,0.5,1.4,16,50,2,0.06,0.00,0.06,0.06,0.06,0.03,0.02,0.05,0.03,0.05,Matches,Primeira Liga,2024/25
224,Tiago Gouveia,pt POR,"FW,DF",Benfica,23,2001,4,0,103,1.1,1,1,2,1,0,0,1,0,0.8,0.8,0.7,1.5,6,8,17,0.87,0.87,1.75,0.87,1.75,0.70,0.64,1.34,0.70,1.34,Matches,Primeira Liga,2024/25
225,Pablo Gozalbez,es ESP,MF,Arouca,23,2001,17,8,648,7.2,1,0,1,1,0,0,1,0,0.9,0.9,0.5,1.5,9,37,45,0.14,0.00,0.14,0.14,0.14,0.13,0.07,0.20,0.13,0.20,Matches,Primeira Liga,2024/25
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Primeira Liga,2024/25
226,João Graça,pt POR,"MF,FW",Rio Ave,29,1995,16,3,493,5.5,1,0,1,1,0,0,1,0,1.2,1.2,0.1,1.2,11,19,25,0.18,0.00,0.18,0.18,0.18,0.21,0.01,0.22,0.21,0.22,Matches,Primeira Liga,2024/25
227,Samuel Granada,br BRA,FW,AVS Futebol,24,2000,4,3,240,2.7,0,1,1,0,0,0,2,1,0.9,0.9,0.4,1.4,1,4,12,0.00,0.37,0.37,0.00,0.37,0.35,0.16,0.51,0.35,0.51,Matches,Primeira Liga,2024/25
228,Jaume Grau,es ESP,MF,AVS Futebol,27,1997,29,25,"2,119",23.5,2,2,4,2,0,0,13,0,0.6,0.6,1.0,1.6,10,87,11,0.08,0.08,0.17,0.08,0.17,0.02,0.04,0.07,0.02,0.07,Matches,Primeira Liga,2024/25
229,Marko Grujić,rs SRB,MF,Porto,28,1996,2,0,33,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.4,0.4,1,3,5,0.00,0.00,0.00,0.00,0.00,0.00,1.14,1.14,0.00,1.14,Matches,Primeira Liga,2024/25
230,Marko Gudžulić,rs SRB,GK,Estrela,22,2002,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2024/25
231,Rafik Guitane,fr FRA,"FW,MF",Estoril,25,1999,21,9,857,9.5,0,4,4,0,0,0,0,0,1.0,1.0,3.0,4.0,25,47,67,0.00,0.42,0.42,0.00,0.42,0.10,0.32,0.42,0.10,0.42,Matches,Primeira Liga,2024/25
232,Rafik Guitane,fr FRA,FW,Braga,25,1999,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2024/25
233,Deniz Gül,tr TUR,FW,Porto,20,2004,14,5,444,4.9,1,0,1,1,0,0,0,0,1.4,1.4,0.4,1.8,6,9,24,0.20,0.00,0.20,0.20,0.20,0.29,0.09,0.37,0.29,0.37,Matches,Primeira Liga,2024/25
234,Viktor Gyökeres,se SWE,FW,Sporting CP,26,1998,33,31,"2,804",31.2,39,7,46,27,12,12,4,0,30.8,21.4,7.1,28.5,133,68,335,1.25,0.22,1.48,0.87,1.09,0.99,0.23,1.22,0.69,0.92,Matches,Primeira Liga,2024/25
235,Justin de Haas,nl NED,DF,Famalicão,24,2000,29,27,"2,468",27.4,2,0,2,1,1,1,5,0,1.9,1.1,0.2,1.3,9,79,4,0.07,0.00,0.07,0.04,0.04,0.07,0.01,0.08,0.04,0.05,Matches,Primeira Liga,2024/25
236,Habraão,br BRA,FW,Santa Clara,23,2001,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2024/25
237,Tomás Händel,pt POR,MF,Vitória,23,2000,32,29,"2,516",28.0,2,1,3,2,0,0,5,0,1.6,1.6,1.9,3.5,40,174,53,0.07,0.04,0.11,0.07,0.11,0.06,0.07,0.13,0.06,0.13,Matches,Primeira Liga,2024/25
238,Conrad Harder,dk DEN,"FW,MF",Sporting CP,19,2005,28,6,784,8.7,5,5,10,5,0,0,0,0,3.0,3.0,2.9,5.8,21,11,80,0.57,0.57,1.15,0.57,1.15,0.34,0.33,0.67,0.34,0.67,Matches,Primeira Liga,2024/25
239,Thiago Helguera,uy URU,MF,Braga,18,2006,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2024/25
240,Gustavo Henrique,br BRA,"MF,FW",Estrela,25,1999,4,4,228,2.5,0,1,1,0,0,0,0,0,0.0,0.0,0.1,0.2,3,2,14,0.00,0.39,0.39,0.00,0.39,0.01,0.05,0.06,0.01,0.06,Matches,Primeira Liga,2024/25
241,Morten Hjulmand,dk DEN,MF,Sporting CP,25,1999,28,26,"2,214",24.6,2,2,4,1,1,1,11,1,2.0,1.2,1.8,3.0,13,157,32,0.08,0.08,0.16,0.04,0.12,0.08,0.07,0.15,0.05,0.12,Matches,Primeira Liga,2024/25
242,Jordan Holsgrove,sct SCO,MF,Estoril,24,1999,28,26,"2,383",26.5,1,4,5,1,0,0,6,0,1.1,1.1,4.0,5.1,26,176,36,0.04,0.15,0.19,0.04,0.19,0.04,0.15,0.19,0.04,0.19,Matches,Primeira Liga,2024/25
243,Lukáš Horníček,cz CZE,GK,Braga,22,2002,17,17,"1,530",17.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2024/25
244,André Horta,pt POR,MF,Braga,27,1996,12,6,508,5.6,0,4,4,0,0,0,0,0,0.6,0.6,1.2,1.8,21,57,18,0.00,0.71,0.71,0.00,0.71,0.10,0.21,0.31,0.10,0.31,Matches,Primeira Liga,2024/25
245,Ricardo Horta,pt POR,"MF,FW",Braga,29,1994,34,32,"2,837",31.5,10,5,15,10,0,0,2,0,7.9,7.9,5.2,13.1,28,122,166,0.32,0.16,0.48,0.32,0.48,0.25,0.17,0.42,0.25,0.42,Matches,Primeira Liga,2024/25
246,Igor,br BRA,MF,Estrela,21,2003,13,9,800,8.9,0,0,0,0,0,0,4,0,0.2,0.2,1.0,1.1,3,29,3,0.00,0.00,0.00,0.00,0.00,0.02,0.11,0.13,0.02,0.13,Matches,Primeira Liga,2024/25
247,André Inácio,br BRA,"MF,FW",Estrela,22,2002,11,7,638,7.1,1,1,2,1,0,0,1,0,1.8,1.8,1.1,2.9,25,8,34,0.14,0.14,0.28,0.14,0.28,0.25,0.16,0.41,0.25,0.41,Matches,Primeira Liga,2024/25
248,André Inácio,br BRA,"FW,MF",Rio Ave,22,2002,16,13,"1,178",13.1,1,1,2,1,0,0,1,0,2.4,2.4,1.3,3.8,51,33,94,0.08,0.08,0.15,0.08,0.15,0.19,0.10,0.29,0.19,0.29,Matches,Primeira Liga,2024/25
249,Gonçalo Inácio,pt POR,DF,Sporting CP,22,2001,28,25,"2,255",25.1,3,2,5,3,0,0,6,0,2.6,2.6,0.8,3.4,32,184,14,0.12,0.08,0.20,0.12,0.20,0.10,0.03,0.14,0.10,0.14,Matches,Primeira Liga,2024/25
250,Isaac,br BRA,FW,Nacional,20,2004,27,15,"1,233",13.7,3,1,4,3,0,0,3,0,3.2,3.2,0.4,3.6,7,12,58,0.22,0.07,0.29,0.22,0.29,0.23,0.03,0.26,0.23,0.26,Matches,Primeira Liga,2024/25
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Primeira Liga,2024/25
251,Ismael,pt POR,MF,Moreirense,25,1999,29,25,"2,021",22.5,1,1,2,1,0,0,6,0,1.9,1.9,0.7,2.6,14,95,35,0.04,0.04,0.09,0.04,0.09,0.08,0.03,0.12,0.08,0.12,Matches,Primeira Liga,2024/25
252,Franco Israel,uy URU,GK,Sporting CP,24,2000,11,11,990,11.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2024/25
253,Ivan Jaime Pajuelo,es ESP,FW,Porto,23,2000,9,5,443,4.9,2,2,4,2,0,0,1,0,1.2,1.2,0.6,1.9,8,25,37,0.41,0.41,0.81,0.41,0.81,0.25,0.13,0.38,0.25,0.38,Matches,Primeira Liga,2024/25
254,Jason,es ESP,"FW,MF",Arouca,30,1994,32,25,"2,253",25.0,5,1,6,4,1,3,5,0,6.4,4.1,3.4,7.4,27,80,176,0.20,0.04,0.24,0.16,0.20,0.26,0.13,0.39,0.16,0.30,Matches,Primeira Liga,2024/25
255,Jhonatan,br BRA,GK,Rio Ave,33,1991,8,8,720,8.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2024/25
256,Diederrick Joel,cm CMR,FW,Nacional,30,1993,14,8,860,9.6,2,0,2,2,0,1,1,0,2.3,1.5,1.1,2.6,5,16,26,0.21,0.00,0.21,0.21,0.21,0.24,0.11,0.35,0.16,0.27,Matches,Primeira Liga,2024/25
257,Joel Jorquera,es ESP,FW,Moreirense,23,2000,12,4,434,4.8,1,0,1,1,0,0,0,0,0.5,0.5,0.1,0.6,15,15,23,0.21,0.00,0.21,0.21,0.21,0.09,0.03,0.12,0.09,0.12,Matches,Primeira Liga,2024/25
258,Luiz Lúcio Reis Júnior,br BRA,GK,Famalicão,23,2001,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2024/25
259,Samuel Justo,pt POR,MF,Farense,20,2004,5,2,206,2.3,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,1,13,12,0.00,0.00,0.00,0.00,0.00,0.10,0.04,0.14,0.10,0.14,Matches,Primeira Liga,2024/25
260,Issa Kaboré,bf BFA,DF,Benfica,23,2001,3,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2024/25
261,Kaio,br BRA,FW,Vitória,20,2004,17,16,"1,299",14.4,2,3,5,2,0,0,4,0,2.7,2.7,2.3,5.0,45,61,125,0.14,0.21,0.35,0.14,0.35,0.18,0.16,0.35,0.18,0.35,Matches,Primeira Liga,2024/25
262,Kaique,br BRA,GK,Farense,21,2003,6,6,540,6.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2024/25
263,Osman Kakay,sl SLE,DF,Boavista,26,1997,9,6,577,6.4,0,0,0,0,0,0,3,1,0.0,0.0,0.2,0.2,5,16,23,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.00,0.04,Matches,Primeira Liga,2024/25
264,Kali,ao ANG,DF,Casa Pia,20,2003,1,0,1,0.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2024/25
265,Issiaka Kamate,fr FRA,"FW,MF",AVS Futebol,19,2004,8,4,350,3.9,0,0,0,0,0,0,0,0,0.1,0.1,0.4,0.5,8,8,19,0.00,0.00,0.00,0.00,0.00,0.03,0.10,0.13,0.03,0.13,Matches,Primeira Liga,2024/25
266,Jorge Karse,pt POR,DF,Rio Ave,19,2005,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2024/25
267,Kazu,br BRA,DF,Gil Vicente FC,24,2000,11,6,533,5.9,0,0,0,0,0,0,2,0,0.0,0.0,0.3,0.3,7,25,30,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,Matches,Primeira Liga,2024/25
268,Keliano,ao ANG,MF,Estrela,21,2003,21,13,976,10.8,0,1,1,0,0,0,7,0,0.2,0.2,0.2,0.4,8,39,9,0.00,0.09,0.09,0.00,0.09,0.02,0.02,0.04,0.02,0.04,Matches,Primeira Liga,2024/25
269,Kewin,br BRA,GK,Moreirense,28,1995,29,29,"2,610",29.0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2024/25
270,Kikas,pt POR,FW,Estrela,25,1998,32,23,"2,104",23.4,6,1,7,6,0,0,4,0,6.6,6.6,0.9,7.5,26,19,107,0.26,0.04,0.30,0.26,0.30,0.28,0.04,0.32,0.28,0.32,Matches,Primeira Liga,2024/25
271,Gustavo Klismahn,br BRA,"MF,FW",Santa Clara,24,1999,17,9,822,9.1,0,3,3,0,0,0,2,0,0.5,0.5,1.7,2.1,15,35,30,0.00,0.33,0.33,0.00,0.33,0.05,0.18,0.23,0.05,0.23,Matches,Primeira Liga,2024/25
272,Ruben Kluivert,nl NED,DF,Casa Pia,23,2001,21,13,"1,229",13.7,1,0,1,1,0,0,5,0,0.6,0.6,0.1,0.7,2,27,5,0.07,0.00,0.07,0.07,0.07,0.04,0.00,0.05,0.04,0.05,Matches,Primeira Liga,2024/25
273,Koka,eg EGY,"FW,MF",Rio Ave,31,1993,9,0,167,1.9,1,0,1,1,0,0,2,0,0.8,0.8,0.2,1.1,3,4,5,0.54,0.00,0.54,0.54,0.54,0.45,0.13,0.58,0.45,0.58,Matches,Primeira Liga,2024/25
